,name,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,streams,country,id
0,Better Now,0.331,0.68,0.578,0.0,0.135,-5.804,1,0.04,145.038,4,0.341,1782776,Australia,7dt6x5M1jzdTEt8oCbisTK
1,Nice For What,0.0934,0.567,0.913,0.000124,0.114,-6.471,1,0.0736,93.35,4,0.792,1532365,Australia,1cTZMwcBJT0Ka3UJPXOeeN
2,no tears left to cry,0.0375,0.703,0.696,5.65e-06,0.274,-5.482,1,0.0529,121.969,4,0.366,1473908,Australia,5SxkdsY1ufZzoq9iXceLw9
3,Psycho (feat. Ty Dolla $ign),0.546,0.75,0.56,0.0,0.111,-8.094,1,0.105,140.06,4,0.459,1383069,Australia,3swc6WTsr7rl9DqQKQA55C
4,Love Lies (with Normani),0.0956,0.708,0.648,0.0,0.134,-5.626,1,0.0449,143.955,4,0.338,1319825,Australia,45Egmo7icyopuzJN0oMEdk
5,One Kiss (with Dua Lipa),0.037,0.791,0.862,2.19e-05,0.0814,-3.24,0,0.11,123.994,4,0.592,1245881,Australia,7ef4DlsgrMEH11cDZd32M6
6,God's Plan,0.0309,0.758,0.448,8.67e-05,0.558,-9.441,1,0.103,77.176,4,0.373,1090814,Australia,2XW4DbS6NddZxRPm5rMCeY
7,This Is America,0.117,0.854,0.463,0.0,0.354,-6.159,1,0.137,120.024,4,0.549,1063402,Australia,0b9oOr2ZgvyQu88wzixux9
8,Freaky Friday (feat. Chris Brown),0.147,0.755,0.599,0.0,0.109,-5.042,1,0.224,133.123,4,0.755,1029332,Australia,10Igtw8bSDyyFs7KIsKngZ
9,Youngblood,0.0169,0.596,0.854,0.0,0.124,-5.114,0,0.463,120.274,4,0.152,1013314,Australia,55S2PQgSMYAhgoTCcGCDfw
10,Call Out My Name,0.218,0.489,0.598,0.0,0.35,-4.929,1,0.036,134.045,3,0.172,962353,Australia,1gm616Plq4ScqNi7TVkZ5N
11,FRIENDS,0.205,0.626,0.88,0.0,0.128,-2.384,0,0.0504,95.079,4,0.534,903042,Australia,08bNPGLD8AhKpnnERrAc6G
12,The Middle,0.208,0.748,0.652,0.0,0.128,-3.02,1,0.058,106.914,4,0.431,891104,Australia,2ARqIya5NAuvFVHSN3bL0m
13,rockstar (feat. 21 Savage),0.124,0.585,0.52,7.01e-05,0.131,-6.136,0,0.0712,159.801,4,0.129,847089,Australia,0e7ipj03S05BNilyu5bRzt
14,I Like It,0.099,0.816,0.726,0.0,0.372,-3.998,0,0.129,136.048,4,0.65,840242,Australia,58q2HKrzhC3ozto2nDdN4z
15,Paranoid,0.038,0.625,0.536,2.31e-05,0.167,-5.428,1,0.0776,159.914,4,0.253,816992,Australia,3fpVWegR6YOS1Yk5HSMYIq
16,OTW,0.183,0.652,0.678,3.26e-05,0.106,-6.183,1,0.0541,72.989,4,0.28,777369,Australia,6Hgh47WXVKtXN5zGOu0hjI
17,lovely (with Khalid),0.934,0.351,0.296,0.0,0.095,-10.109,0,0.0333,115.284,4,0.12,756878,Australia,0u2P5u6lvoDfwTYjAADbn4
18,1950,0.648,0.6,0.535,4.7e-06,0.162,-7.043,1,0.107,71.912,4,0.269,754736,Australia,0CZ8lquoTX2Dkg7Ak2inwA
19,All The Stars (with SZA),0.0605,0.698,0.633,0.000194,0.0926,-4.946,1,0.0597,96.924,4,0.552,750915,Australia,3GCdLUSnKSMJhs4Tj6CV3s
20,Remind Me to Forget,0.158,0.689,0.505,0.0,0.138,-6.389,1,0.0933,99.017,4,0.312,750217,Australia,6xTU6B6nFwKKTSZ9ySXS80
21,Nothing to Regret,0.243,0.697,0.521,0.0,0.189,-6.519,1,0.031,91.998,4,0.331,704235,Australia,3C2xQqHVkhA1Ht17SzPRke
22,Nevermind,0.159,0.6,0.688,1.29e-05,0.409,-8.339,0,0.201,99.977,4,0.0793,666974,Australia,63SevszngYpZOwf63o61K4
23,SAD!,0.258,0.74,0.613,0.00372,0.123,-4.88,1,0.145,75.023,4,0.473,652802,Australia,3ee8Jmje8o58CHK66QrVC2
24,I Fall Apart,0.0689,0.556,0.538,0.0,0.196,-5.408,0,0.0382,143.95,4,0.291,651186,Australia,75ZvA4QfFiZvzhj2xkaWAh
25,In My Blood,0.0524,0.628,0.715,0.0,0.119,-7.097,1,0.0541,139.991,4,0.429,650171,Australia,79jX8RM5CgPqDKdGEKNW9K
26,Hurt Somebody (With Julia Michaels),0.361,0.83,0.557,0.0,0.249,-5.146,1,0.118,114.966,4,0.492,647637,Australia,026IC4Vj88QjLlnIPDExhz
27,Candy Paint,0.64,0.664,0.667,1.22e-06,0.0753,-5.941,1,0.154,180.064,4,0.381,646994,Australia,32lItqlMi4LBhb4k0BaSaC
28,Playinwitme (feat. Kehlani),0.302,0.687,0.587,0.0,0.278,-5.772,0,0.124,156.575,4,0.676,641597,Australia,43cFjTTCD9Cni4aSL0sORz
29,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",0.194,0.653,0.809,0.0,0.165,-4.057,1,0.0474,92.213,4,0.55,618021,Australia,5CLGzJsGqhCEECcpnFQA8x
30,Look Alive (feat. Drake),0.00104,0.922,0.581,5.86e-05,0.105,-7.495,1,0.27,140.022,4,0.595,611455,Australia,4qKcDkK6siZ7Jp1Jb4m0aL
31,Stay,0.449,0.507,0.48,0.0,0.147,-5.418,1,0.0266,86.046,4,0.35,606966,Australia,4H7WNRErSbONkM06blBoGc
32,IDGAF,0.0403,0.836,0.544,0.0,0.0824,-5.975,1,0.0943,97.028,4,0.51,600110,Australia,76cy1WJvNGJTj78UqeA5zr
33,2002,0.0372,0.697,0.683,0.0,0.137,-2.881,0,0.117,96.133,4,0.603,596236,Australia,6SFStUDQZNaGPKWOx9ZiJB
34,Flames,0.0723,0.609,0.726,8.45e-06,0.0895,-4.346,0,0.0414,93.958,4,0.362,596090,Australia,33IOhptvC2Qoy2UhjiHXLV
35,I Said Hi,0.00753,0.317,0.86,0.0,0.0554,-3.798,1,0.132,72.101,4,0.352,586511,Australia,2MuOQdl7uyEteKYCQtG4XE
36,Spoil My Night (feat. Swae Lee),0.341,0.672,0.717,2.4e-05,0.106,-2.714,1,0.034,160.981,4,0.225,565168,Australia,5VuxWXbt7XENQCtE9TzpTv
37,Ball For Me (feat. Nicki Minaj),0.513,0.797,0.55,0.0,0.0786,-4.166,1,0.24,134.206,4,0.543,559550,Australia,6IaieqiCVvsNvEt6Y7yOFa
38,Meant to Be (feat. Florida Georgia Line),0.047,0.643,0.783,0.0,0.083,-6.458,1,0.0856,154.084,4,0.579,554158,Australia,7iDa6hUg2VgEL1o1HjmfBn
39,Rich & Sad,0.198,0.599,0.571,0.0,0.0969,-4.998,1,0.0665,151.974,4,0.285,554115,Australia,2VdT56BGpdqNHUgOe1j5vc
40,Genius,0.0864,0.622,0.621,9.8e-05,0.121,-4.924,0,0.129,158.946,4,0.567,547553,Australia,73F87Sqh6jQWucOOvz1WFx
41,Youth (feat. Khalid),0.518,0.625,0.589,0.0,0.197,-6.627,0,0.0858,100.003,4,0.33,545116,Australia,3Wf2YGdYT8xVdNsQSoRKk9
42,Bloom,0.031,0.708,0.701,0.0,0.392,-5.196,1,0.0328,120.932,4,0.504,544396,Australia,1hSOt9IeshMkuKP9ri4hOf
43,Plug Walk,0.202,0.876,0.519,0.0,0.108,-6.531,1,0.143,94.981,4,0.158,534406,Australia,6mAz8D1TmlTuef90dbNIiZ
44,Over Now,0.139,0.569,0.777,0.0,0.132,-4.041,0,0.0834,164.027,4,0.181,515694,Australia,09IOPhEh1OMe0HD9b36FJk
45,Let Me,0.239,0.46,0.567,6.04e-06,0.0934,-5.637,1,0.0515,168.419,4,0.189,506667,Australia,7Fg342AJtNsIDdwCfX0paC
46,Church,0.025,0.553,0.68,0.0,0.489,-4.905,0,0.0343,94.078,4,0.245,502979,Australia,2T7YFzXIZZcfv98uDY8U9T
47,Mine,0.0161,0.71,0.789,2.77e-06,0.451,-3.874,1,0.0722,142.929,4,0.717,498854,Australia,7uzmGiiJyRfuViKKK3lVmR
48,Delicate,0.216,0.75,0.404,0.000357,0.0911,-10.178,0,0.0682,95.045,4,0.0499,492906,Australia,6NFyWDv5CjfwuzoCkw47Xf
49,Never Be the Same,0.181,0.637,0.713,0.000637,0.137,-4.333,1,0.0747,129.923,4,0.243,477862,Australia,4eWQlBRaTjPPUlzacqEeoQ
50,Same Bitches (feat. G-Eazy & YG),0.434,0.731,0.774,3.34e-06,0.114,-5.273,0,0.0555,100.005,4,0.219,469447,Australia,688QpQAwqsLdBR6lr13wK1
51,KOD,0.21,0.823,0.783,0.0,0.113,-6.274,1,0.154,141.882,4,0.199,468152,Australia,7yotKA30dwTKNEGomV9ZsI
