,name,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,streams,country,id
0,drivers license,0.721,0.585,0.436,1.31e-05,0.105,-8.761,1,0.0601,143.874,4,0.132,3422003,Canada,7lPN2DXiMsVn7XUKtOW1CS
1,Good Days,0.499,0.436,0.655,8.1e-06,0.688,-8.37,0,0.0583,121.002,4,0.412,1019345,Canada,3YJJjQPAbDT7mGpX3WtQ9A
2,Anyone,0.181,0.686,0.538,3.13e-06,0.113,-8.026,1,0.0345,115.884,4,0.584,936171,Canada,31qCy5ZaophVA81wtlwLc4
3,Mood (feat. iann dior),0.221,0.7,0.722,0.0,0.272,-3.558,0,0.0369,90.989,4,0.756,923250,Canada,3tjFYV6RSFtuktYl3ZtYcq
4,WITHOUT YOU,0.213,0.662,0.413,0.0,0.134,-7.357,1,0.0299,93.005,4,0.467,868304,Canada,27OeeYzk6klgBh83TSvGMA
5,Whoopty,0.2,0.719,0.648,0.0,0.127,-7.6,0,0.125,140.201,4,0.66,859065,Canada,5vGLcdRuSbUhD8ScwsGSdA
6,Levitating (feat. DaBaby),0.00883,0.702,0.825,0.0,0.0674,-3.787,0,0.0601,102.977,4,0.915,805200,Canada,5nujrmhLynf4yMoMtj8AQF
7,Wasted On You,0.373,0.505,0.657,0.00107,0.126,-5.24,0,0.0318,196.0,3,0.252,751178,Canada,3cBsEDNhFI9E82vPj3kvi3
8,"Lemonade (feat. Gunna, Don Toliver & NAV)",0.25,0.8,0.658,0.0,0.111,-6.142,0,0.079,140.042,4,0.462,723386,Canada,7hxHWCCAIIxFLCzvDgnQHX
9,Save Your Tears,0.0212,0.68,0.826,1.24e-05,0.543,-5.487,1,0.0309,118.051,4,0.644,716257,Canada,5QO79kh1waicV47BqGRL3g
10,positions,0.468,0.737,0.802,0.0,0.0931,-4.771,1,0.0878,144.015,4,0.682,707773,Canada,35mvY5S1H3J2QZyna3TFe0
11,Blinding Lights,0.00146,0.514,0.73,9.54e-05,0.0897,-5.934,1,0.0598,171.005,4,0.334,695760,Canada,0VjIjW4GlUZAMYd2vXMi3b
12,Therefore I Am,0.218,0.889,0.34,0.13,0.055,-7.773,0,0.0697,94.009,4,0.716,687887,Canada,54bFM56PmE4YLRnqpW6Tha
13,What You Know Bout Love,0.65,0.709,0.548,1.59e-06,0.133,-8.493,1,0.353,83.995,4,0.543,681061,Canada,1tkg4EHVoqnhR6iFEXb60y
14,34+35,0.237,0.83,0.585,0.0,0.248,-6.476,1,0.094,109.978,4,0.485,670030,Canada,6Im9k8u9iIzKMrmV7BWtlF
15,Monster (Shawn Mendes & Justin Bieber),0.0593,0.64,0.392,0.0,0.0839,-7.246,0,0.0574,145.838,4,0.502,659309,Canada,1HbA4N1MiOsPthALesGFR1
16,willow,0.835,0.392,0.579,0.00179,0.145,-9.195,1,0.164,80.961,4,0.549,638490,Canada,3Uo7WG0vmLQ07WB4BDwy7D
17,Somebodyfs Problem,0.657,0.658,0.538,0.0,0.123,-7.676,1,0.0289,136.967,4,0.62,632910,Canada,42lqBjPYlmL1EXpMDXvhSN
18,you broke me first,0.785,0.667,0.373,0.0,0.0906,-9.389,1,0.05,124.148,4,0.0823,597057,Canada,45bE4HXI0AwGZXfZtMp8JR
19,ROCKSTAR (feat. Roddy Ricch),0.247,0.746,0.69,0.0,0.101,-7.956,1,0.164,89.977,4,0.497,569903,Canada,7ytR5pFWmSjzHJIeQkgog4
20,For The Night (feat. Lil Baby & DaBaby),0.114,0.823,0.586,0.0,0.193,-6.606,0,0.2,125.971,4,0.347,564337,Canada,0PvFJmanyNQMseIFrU708S
21,HOLIDAY,0.12,0.81,0.511,0.0,0.0832,-6.924,0,0.164,151.947,4,0.837,559514,Canada,6zFMeegAMYQo0mt8rXtrli
22,Afterglow,0.698,0.641,0.324,0.0,0.328,-5.851,1,0.0299,110.184,4,0.273,556615,Canada,0E4Y1XIbs8GrAT1YqVy6dq
23,Way Out (feat. Big Sean),0.114,0.945,0.582,0.0,0.103,-8.357,0,0.0719,108.025,4,0.907,531402,Canada,57VeLYXrvNxe8Vs18K2M9W
24,WAP (feat. Megan Thee Stallion),0.0194,0.935,0.454,0.0,0.0824,-7.509,1,0.375,133.073,4,0.357,526682,Canada,4Oun2ylbjFKMPTiaSbbCih
25,Goosebumps,0.325,0.767,0.659,0.0,0.13,-7.429,1,0.0444,124.946,4,0.439,521824,Canada,20McUFi8KCIVdNDLrkTDuZ
26,Someone You Loved,0.751,0.501,0.405,0.0,0.105,-5.679,1,0.0319,109.891,4,0.446,514360,Canada,7qEHsqek33rTcFNT9PFqLf
27,Lonely (with benny blanco),0.864,0.631,0.239,0.0,0.116,-7.071,0,0.0398,79.859,4,0.0927,509399,Canada,4y4spB9m0Q6026KfkAvy9Q
28,Roses - Imanbek Remix,0.0143,0.769,0.719,0.00777,0.359,-5.472,1,0.0474,121.955,4,0.863,499318,Canada,0zLCBJZSiELJf02ucPP9wb
29,Laugh Now Cry Later (feat. Lil Durk),0.244,0.761,0.518,3.47e-05,0.107,-8.871,1,0.134,133.976,4,0.522,488177,Canada,2SAqBLGA283SUiwJ3xOUVI
30,Holy (feat. Chance The Rapper),0.196,0.673,0.704,0.0,0.0898,-8.056,1,0.36,86.919,4,0.372,487163,Canada,5u1n1kITHCxxp8twBcZxWy
31,Watermelon Sugar,0.122,0.548,0.816,0.0,0.335,-4.209,1,0.0465,95.39,4,0.557,485824,Canada,6UelLqGlWMcVH1E5c4H7lY
32,Wonder,0.136,0.442,0.631,2.29e-05,0.133,-5.096,0,0.05,139.774,4,0.129,484169,Canada,6ZuahEctZD6w75peme58hm
33,The Business,0.414,0.798,0.62,0.0192,0.112,-7.079,0,0.232,120.031,4,0.235,471451,Canada,6f3Slt0GbA2bPZlz0aIFXN
34,More Than My Hometown,0.615,0.62,0.869,0.0,0.131,-5.479,1,0.0462,126.019,4,0.597,466775,Canada,5OELUCYgOHKFAvCERnAvfS
35,Prisoner (feat. Dua Lipa),0.0103,0.781,0.67,0.0,0.0761,-3.912,0,0.0452,127.99,4,0.595,459224,Canada,2Oycxb8QbPkpHTo8ZrmG0B
36,Sand In My Boots,0.59,0.403,0.537,0.0,0.112,-6.628,1,0.031,69.877,4,0.414,459051,Canada,0uRrG2jRR5tuifsYIJHEao
37,SO DONE,0.232,0.719,0.598,0.0,0.115,-6.254,1,0.077,142.592,4,0.303,457272,Canada,3qgPpwtuRu5oP8EtFSj8HE
38,Dynamite,0.0112,0.746,0.765,0.0,0.0936,-4.41,0,0.0993,114.044,4,0.737,456855,Canada,4saklk6nie3yiGePpBwUoc
39,865,0.723,0.532,0.584,0.0,0.101,-5.254,1,0.0248,88.003,4,0.367,449702,Canada,0sKEilrw1GrBlG6qsTCrP4
40,7 Summers,0.417,0.466,0.786,6.1e-05,0.125,-5.13,1,0.0328,203.903,4,0.571,448584,Canada,4obHzpwGrjoTuZh2DItEMZ
41,Before You Go,0.604,0.459,0.575,0.0,0.0885,-4.858,1,0.0573,111.881,4,0.183,445985,Canada,2gMXnyrvIjhVBUZwvLZDMP
42,Best Friend (feat. Doja Cat),0.00302,0.84,0.766,3.61e-06,0.0684,-4.12,1,0.136,94.018,4,0.402,444175,Canada,2etHQJxIbV0soyPhelVs9Y
43,Dance Monkey,0.688,0.825,0.593,0.000161,0.17,-6.401,0,0.0988,98.078,4,0.54,441389,Canada,1rgnBhdG2JDFTbYkYRZAku
44,Reminds Me Of You,0.0663,0.613,0.631,0.0,0.169,-6.965,1,0.12,149.992,4,0.33,439785,Canada,5YSHygGN9D0mID1NsVd5my
45,Be Like That - feat. Swae Lee & Khalid,0.0469,0.727,0.626,2.58e-05,0.126,-8.415,1,0.0726,86.97,4,0.322,438078,Canada,5f1joOtoMeyppIcJGZQvqJ
46,Bang!,0.0183,0.74,0.516,0.0,0.0558,-6.233,0,0.0507,139.918,4,0.698,437256,Canada,53BHUFdQphHiZUUG3nx9zn
47,Warning,0.46,0.633,0.664,0.0,0.108,-5.037,1,0.0294,115.058,4,0.268,431767,Canada,64SCQtbRtmO28ks1QhS3w5
48,Wishing Well,0.00336,0.65,0.613,0.0,0.267,-6.13,0,0.128,149.972,4,0.0804,428354,Canada,2U5WueTLIK5WJLD7mvDODv
49,Savage Love (Laxed - Siren Beat),0.234,0.767,0.481,0.0,0.269,-8.52,0,0.0803,150.076,4,0.761,424153,Canada,1xQ6trAsedVPCdbtDAmk0c
