,name,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,streams,country,id
0,Shape of You,0.581,0.825,0.652,0.0,0.0931,-3.183,0,0.0802,95.977,4,0.931,3675133,Germany,5xIODxqlpUnRVA9ewZUCug
1,It Ain't Me (with Selena Gomez),0.119,0.64,0.533,0.0,0.0864,-6.596,1,0.0706,99.968,4,0.515,2133379,Germany,3r1cV21xPMkgCmxk8VqWOB
2,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",0.0631,0.735,0.451,1.3e-05,0.325,-8.374,1,0.0585,117.973,4,0.0862,1999839,Germany,0oOPa0AlLnjCO6eci0HIdH
3,Paris,0.0215,0.653,0.658,1.66e-06,0.0939,-6.428,1,0.0304,99.99,4,0.219,1882635,Germany,1L8LtC2s161XwY6YrtnQjw
4,Scared to Be Lonely,0.0895,0.584,0.54,0.0,0.261,-7.786,0,0.0576,137.972,4,0.195,1727129,Germany,4cawYWrqMRz0T0hOIVxk6j
5,Something Just Like This,0.0498,0.617,0.635,1.44e-05,0.164,-6.769,0,0.0317,103.019,4,0.446,1654120,Germany,200cTjC6si5Xz9af2QeHi2
6,Solo Dance,0.0435,0.744,0.836,0.0,0.194,-2.396,0,0.0507,114.965,4,0.36,1510861,Germany,0ypCvaP431mEM6znlVHNRP
7,Call On Me - Ryan Riback Extended Remix,0.0604,0.67,0.838,0.000611,0.159,-4.031,1,0.0362,104.998,4,0.717,1373092,Germany,1mdJ39D1lrR3aWIOhgeNaE
8,Loin (feat. Dany Synthé & soFLY & Nius) - Pilule violette,0.0232,0.83,0.765,0.0159,0.0754,-4.205,0,0.101,102.028,4,0.367,1354074,Germany,2YC4rnhpt0sTIUcrIRHZSQ
9,Chained To The Rhythm,0.0733,0.448,0.801,0.0,0.146,-5.363,1,0.165,189.798,4,0.462,1336288,Germany,3UDsmMZsEMsvM82OcdqJWu
10,All Time Low,0.0584,0.617,0.567,0.0,0.0933,-4.188,1,0.0828,90.246,4,0.505,1302018,Germany,6BZhkqUtaFJm57Hm5TTQSH
11,Rockabye (feat. Sean Paul & Anne-Marie),0.406,0.72,0.763,0.0,0.18,-4.068,0,0.0523,101.965,4,0.742,1260693,Germany,2Fxmhks0bxGSBdJ92vM42m
12,Tuesday,0.0156,0.841,0.639,0.0654,0.0545,-6.052,0,0.0688,99.002,4,0.675,1255990,Germany,0EDSU9JYeKABA14OcOuM7b
13,Castle on the Hill,0.0232,0.461,0.834,1.14e-05,0.14,-4.868,1,0.0989,135.007,4,0.471,1254580,Germany,5NsCv3I7o0f6vSQScG01f1
14,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),0.153,0.779,0.671,1.12e-05,0.115,-5.829,1,0.0814,104.953,4,0.718,1218399,Germany,5iIgIxtMNeogKaFUfvuAbs
15,Run Up (feat. PARTYNEXTDOOR & Nicki Minaj),0.105,0.803,0.743,2.12e-06,0.099,-3.602,0,0.0681,108.005,4,0.674,1200546,Germany,5w9c2J52mkdntKOmRLeM2m
16,Believer,0.0524,0.779,0.787,0.0,0.14,-4.305,0,0.108,124.982,4,0.708,1191925,Germany,4BD9yUEFI07WaDJ381DDMq
17,Weak,0.137,0.673,0.637,0.0,0.184,-4.518,1,0.0429,123.98,4,0.678,1181896,Germany,5WHTFyqSii0lmT9R21abT8
18,Issues,0.368,0.683,0.427,0.0,0.0604,-6.827,1,0.0777,113.634,4,0.426,1178239,Germany,3YxCKq3YPnTekAofhaHABZ
19,Ohne mein Team,0.16,0.766,0.8,1.6e-05,0.0744,-6.062,0,0.0938,129.999,4,0.635,1149410,Germany,7r55d7IhAj5UGKiYbXBwRP
20,You Don't Know Me - Radio Edit,0.163,0.876,0.669,0.0,0.185,-6.054,0,0.138,124.007,4,0.682,1112051,Germany,53CJANUxooaqGOtdsBTh7O
21,Now and Later,0.273,0.781,0.57,0.0,0.196,-5.874,0,0.188,107.059,4,0.858,1064361,Germany,03SfDYmOPflD23iTL5qjiq
22,Shed a Light,0.112,0.483,0.787,0.0,0.257,-5.244,1,0.102,122.058,4,0.58,1018944,Germany,1T8IRUJBga0JXioJZvxjBR
23,Skin,0.265,0.564,0.745,0.0,0.147,-7.733,1,0.31,170.661,4,0.351,1013804,Germany,0A5gdlrpAuQqZ2iFgnqBFW
24,Alone,0.186,0.676,0.929,0.000405,0.121,-3.194,1,0.0458,97.019,4,0.157,1007515,Germany,1194zYf7UfSXP4omxVTmPa
25,Just Hold On,0.00383,0.647,0.932,1.5e-06,0.0574,-3.515,1,0.0824,114.991,4,0.374,960012,Germany,25sgk305KZfyuqVBQIahim
26,Way down We Go,0.579,0.489,0.505,0.000333,0.104,-8.022,0,0.117,163.255,4,0.337,950243,Germany,4y3OI86AEP6PQoDE6olYhO
27,No Lie,0.0437,0.741,0.891,0.0,0.256,-2.824,1,0.119,102.002,4,0.449,917130,Germany,0dmrz4V5kiezQAqQ3VqGob
28,All Night,0.00251,0.563,0.775,0.0,0.326,-6.433,1,0.0366,144.945,4,0.458,907732,Germany,2Y6m0Qh5HvO3rikg7dlCav
29,Diamanten,0.158,0.468,0.834,0.0,0.282,-5.898,0,0.391,86.8,4,0.553,890688,Germany,6VMAFT0zfide2Jg8MVZAPz
