,name,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,streams,country,id
0,POPOPOP,0.0486,0.833,0.652,0.000134,0.145,-6.194,0,0.308,130.002,4,0.413,4559453,France,18HNGxDOcshRU2Hdu8tMOM
1,H? OH,0.0684,0.832,0.591,0.000394,0.196,-5.481,1,0.148,105.001,4,0.537,2739606,France,1bWafkUCOp6luXRs1cm3w9
2,Dance Monkey,0.688,0.825,0.593,0.000161,0.17,-6.401,0,0.0988,98.078,4,0.54,2304428,France,1rgnBhdG2JDFTbYkYRZAku
3,Journal perso II,0.66,0.522,0.738,0.0,0.111,-6.453,0,0.399,87.924,3,0.296,1964641,France,1ezjFgjNnCf57TW1sacWBH
4,Dernier retrait,0.101,0.733,0.727,0.0,0.14,-5.901,1,0.0908,124.061,4,0.426,1877574,France,1xxKUciQUXkH72PPilWy7K
5,Un peu de haine,0.44,0.77,0.658,0.0,0.22,-7.272,0,0.0593,133.994,4,0.417,1810022,France,5yYfCoMrhcuxMP9CAmA2rU
6,Ma belle,0.764,0.739,0.656,3.8e-06,0.0896,-5.516,1,0.0578,82.011,4,0.47,1676673,France,3Aq1SJ1hWlfazx8IIC6u1D
7,Halloween,0.327,0.67,0.68,0.0,0.177,-5.864,0,0.0546,131.015,4,0.727,1460042,France,15zOksChrybh5ObqKfVPJY
8,NQNTMQMQMB,0.169,0.45,0.87,0.0,0.437,-5.643,0,0.269,154.958,4,0.609,1443436,France,0cFVwGHKYn9MfILYvfksi3
9,Keskivonfer,0.628,0.42,0.725,0.0,0.0806,-5.531,1,0.105,99.249,5,0.509,1408108,France,1as6M25UJBpCHuZuASrzPi
10,Ce monde est cruel,0.599,0.562,0.734,2.76e-05,0.0816,-5.349,0,0.0361,77.501,4,0.463,1399573,France,4sVqufkRucC6hzUBzxKmdd
11,Ignorant,0.188,0.624,0.734,0.0,0.752,-6.49,0,0.256,119.681,4,0.559,1342487,France,4HFNOLnLuwxOHq5lnE0pZQ
12,ASB,0.345,0.476,0.941,0.0,0.407,-3.827,0,0.37,130.046,4,0.652,1327869,France,5NytHkhW5TxcUhynkraLpu
13,Poches pleines,0.27,0.798,0.589,0.0,0.0969,-6.896,0,0.345,131.863,4,0.437,1281263,France,4C19GXhZ9i83Bd11tF38yv
14,Probl?mes,0.377,0.674,0.558,0.0,0.16,-8.928,0,0.0499,86.731,4,0.592,1247467,France,6lZbLMHu98qpkOY0t3efUK
15,Pensionman,0.249,0.722,0.753,0.0,0.112,-5.644,1,0.285,139.911,4,0.565,1245275,France,0d064qWNSKBDMekOIBZvaS
16,No Friends,0.379,0.606,0.875,0.0,0.274,-5.494,1,0.359,134.86,4,0.448,1210525,France,0BP8fwuCtU8HxJprxTL5rZ
17,Perdus,0.817,0.604,0.521,0.0,0.108,-8.114,0,0.0382,137.823,4,0.462,1208224,France,7eMBDipvMwVnYiMe0yrS5x
18,Dans la ville,0.554,0.859,0.637,0.0,0.0963,-6.432,1,0.227,111.01,4,0.311,1192292,France,6OsqTyesS9pc7pYPCFhlmv
19,M?chant,0.325,0.531,0.803,0.0,0.368,-3.929,0,0.339,97.51,5,0.414,1180351,France,75bVc27bDSOAhMAL38cXpV
20,B?timent,0.293,0.663,0.702,0.0,0.0741,-6.793,1,0.136,168.118,4,0.645,1168849,France,7FF6HRsQlc0CtfAbLmrEGX
21,J'pourrai,0.174,0.514,0.821,0.0,0.0889,-3.774,0,0.0611,149.865,4,0.675,1151489,France,69UfXSOLronhkUh4q3v20g
22,Ma star,0.186,0.667,0.817,0.0,0.203,-6.286,0,0.0921,118.021,4,0.354,1129644,France,6LjZ9Hnb8g0Umguqh39a7W
23,Lalala,0.178,0.843,0.39,0.0,0.137,-7.899,1,0.0846,129.972,4,0.495,1107279,France,51Fjme0JiitpyXKuyQiCDo
24,Marie,0.121,0.784,0.748,0.0,0.118,-5.664,1,0.0417,131.999,4,0.679,1102315,France,4NcZKLjdfTJLpaCOspAjQn
25,Pourquoi,0.434,0.721,0.616,0.0,0.15,-7.109,0,0.2,143.857,4,0.48,1072618,France,4CcV1Nsg3zYvpw1qcRXBge
26,Rari,0.186,0.745,0.675,1.19e-06,0.107,-7.222,0,0.0976,137.98,4,0.579,1050866,France,3jUqLa1ed5K25iZuO5TQMT
27,Rappel,0.186,0.769,0.835,0.0,0.309,-5.657,1,0.274,132.918,4,0.443,1016322,France,6WD8BChZNMRIVXySd9sxUc
28,Royal Bacon,0.688,0.719,0.643,0.0,0.134,-5.907,1,0.0629,121.94,4,0.259,1014016,France,3uqREEwqPc02nX8m3SF4jM
29,Tes parents (feat. Ninho),0.256,0.833,0.688,0.0,0.373,-7.3,0,0.245,125.022,4,0.534,1000282,France,0G0ZyEQyc3IBcRnYCvtTwb
30,Se?orita,0.0392,0.759,0.548,0.0,0.0828,-6.049,0,0.029,116.967,4,0.749,999570,France,6v3KW9xbzN5yKLt9YKDYA2
31,Compliqu?,0.524,0.536,0.752,0.0,0.196,-6.556,1,0.0586,76.217,4,0.939,986609,France,2On7uB8PN8JJmBNsms8unQ
32,Elle est bonne sa m?re,0.329,0.787,0.741,1.88e-05,0.341,-5.484,0,0.0592,105.0,4,0.466,966336,France,7j56bK7gq6iV7zsD6lbP4J
33,La vie qu'on m?ne,0.687,0.8,0.756,2.06e-06,0.111,-4.4,0,0.0367,113.204,3,0.456,961774,France,0Jh6iWjna1wk5le0Ahn7No
34,Bitch (feat. Vald),0.602,0.783,0.663,0.0,0.519,-7.884,0,0.312,75.046,4,0.58,945980,France,65hdAdd1skq94ecWH4vfJI
35,Loco Contigo (feat. J. Balvin & Tyga),0.278,0.694,0.758,1.34e-06,0.102,-2.986,1,0.218,192.091,4,0.371,911841,France,6osaMSJh9NguagEDQcZaKx
36,M?dicament,0.713,0.679,0.649,0.0,0.118,-6.814,0,0.083,157.459,3,0.296,877583,France,0udmmo0fTwWbm6VqEHAvYF
37,Dans l'univers,0.326,0.64,0.419,0.000271,0.137,-9.962,1,0.168,131.936,4,0.202,874844,France,2PYXOG6GdxF9sUIH2NfOAD
38,Baian?,0.000741,0.564,0.723,0.672,0.543,-6.983,0,0.0702,121.97,4,0.466,868453,France,7MUazB4rGIqFFIkjT95rCO
39,Maman ne le sait pas (feat. Niska),0.399,0.755,0.875,0.0,0.115,-5.944,0,0.193,145.008,4,0.393,860063,France,5c2HadbVTsMKjja4gohEFI
40,San Pellegrino,0.171,0.729,0.715,0.0,0.282,-5.58,0,0.264,139.934,4,0.45,840012,France,30Mqfip5b5lCDpCLRvsrTq
41,HIGHEST IN THE ROOM,0.0546,0.598,0.427,5.83e-06,0.21,-8.764,0,0.0317,76.469,4,0.0605,827069,France,3eekarcy7kvN4yt5ZFzltW
42,Ransom,0.0204,0.745,0.642,0.0,0.0658,-6.257,0,0.287,179.974,4,0.226,814311,France,1lOe9qE0vR9zwWQAOk6CoO
43,Tricheur,0.407,0.758,0.638,0.0,0.178,-7.984,0,0.253,137.981,4,0.188,798137,France,7C7GtWZmyicqjBDbAWPsCp
44,Du lundi au lundi,0.176,0.819,0.671,7.05e-06,0.0757,-5.765,1,0.195,130.875,4,0.406,794873,France,4vR2zaYAW8CtzwodeFufkI
45,Soleil,0.259,0.702,0.766,0.0,0.174,-6.578,0,0.172,124.011,4,0.512,793773,France,5SNfvgi4TUwx4Si0lFn3G2
46,JCVD,0.479,0.847,0.83,2.54e-06,0.068,-5.873,0,0.034,130.05,4,0.895,791330,France,10iesoGb4mCYTcur1QfdO9
47,Ma vie,0.126,0.531,0.464,0.0,0.106,-9.803,0,0.0954,200.736,3,0.344,785295,France,5eO93haeVLJQPnbazR3bLd
48,Me Gusta,0.413,0.834,0.734,4.01e-05,0.113,-5.948,0,0.341,89.989,4,0.356,775366,France,6P3FBaZfUjeWYExU2ShaPZ
49,Old Town Road - Remix,0.0533,0.878,0.619,0.0,0.113,-5.56,1,0.102,136.041,4,0.639,765708,France,2YpeDb67231RjR0MgVLzsG
50,Reste,0.52,0.745,0.537,0.0,0.103,-7.335,0,0.0503,99.987,4,0.68,762139,France,3ebaeB2BdCEgZmwKv7p2r5
51,RR 9.1,0.0703,0.942,0.564,0.0,0.078,-6.293,1,0.407,126.069,4,0.393,753091,France,28fP6qcMGPfYOjrx8AOWFn
52,Ride It,0.177,0.88,0.751,6.43e-05,0.106,-4.258,0,0.0874,117.948,4,0.884,747849,France,2tnVG71enUj33Ic2nFN6kZ
