,name,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,length,country,music_id
0,Starboy,0.165,0.681,0.594,3.49e-06,0.134,-7.028,1,0.282,186.054,4,0.535,25286465,Global,5aAx2yezTd8zXrkmtKl66Z
1,Closer,0.414,0.748,0.524,0.0,0.111,-5.599,1,0.0338,95.01,4,0.661,22047697,Global,7BKLCZ1jbUBVqRi2FVlTVw
2,Rockabye (feat. Sean Paul & Anne-Marie),0.406,0.72,0.763,0.0,0.18,-4.068,0,0.0523,101.965,4,0.742,19794482,Global,5knuzwU65gJK7IF5yJsuaW
3,Let Me Love You,0.0784,0.476,0.718,1.02e-05,0.122,-5.309,1,0.0576,199.864,4,0.142,17965723,Global,4pdPtRcBmOSQDlJ3Fk945m
4,Don't Wanna Know,0.338,0.783,0.623,0.0,0.0975,-6.126,1,0.08,100.048,4,0.447,16966668,Global,5MFzQMkrl1FOOng9tq6R9r
5,Black Beatles,0.142,0.794,0.632,0.0,0.128,-6.163,1,0.0649,145.926,4,0.355,16831609,Global,6fujklziTHa8uoM5OQSfIo
6,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",0.0631,0.735,0.451,1.3e-05,0.325,-8.374,1,0.0585,117.973,4,0.0862,16797090,Global,3NdDpSvN911VPGivFlV5d0
7,Fake Love,0.105,0.928,0.481,0.0,0.176,-9.35,0,0.287,134.007,4,0.613,16629189,Global,343YBumqHu19cGoGARUTsd
8,24K Magic,0.034,0.818,0.803,0.0,0.153,-4.282,1,0.0797,106.97,4,0.632,16023066,Global,6b8Be6ljOzmkOmFslEb23P
9,Say You Won't Let Go,0.695,0.358,0.557,0.0,0.0902,-7.398,1,0.059,85.043,4,0.494,15571413,Global,5uCax9HTNlzGybIStD3vDh
10,All I Want for Christmas Is You,0.164,0.336,0.627,0.0,0.0708,-7.463,1,0.0384,150.273,4,0.35,15094760,Global,0bYg9bo50gSsH3LtXe2SQn
11,I Feel It Coming,0.426,0.773,0.819,0.0,0.0679,-5.946,0,0.118,92.99,4,0.585,14845976,Global,5GXAXm5YOmYT0kL5jHvYBt
12,One Dance,0.00784,0.791,0.619,0.00423,0.351,-5.886,1,0.0532,103.989,4,0.371,13620191,Global,1xznGGDReH1oQq0xzbwXa3
13,Cold Water (feat. Justin Bieber & MØ),0.0736,0.608,0.798,0.0,0.156,-5.092,0,0.0432,92.943,4,0.501,13143341,Global,6DNtNfH8hXkqOX1sjqmI7p
14,The Greatest,0.0174,0.639,0.785,0.00107,0.0512,-6.167,0,0.174,191.95,4,0.686,13074479,Global,6bLopGnirdrilrpdVB6Um1
15,In the Name of Love,0.0592,0.49,0.485,0.0,0.337,-6.237,0,0.0406,133.889,4,0.196,12854288,Global,04DwTuZ2VBdJCCC5TROn7L
16,Call On Me - Ryan Riback Extended Remix,0.0604,0.67,0.838,0.000611,0.159,-4.031,1,0.0362,104.998,4,0.717,12309223,Global,78rIJddV4X0HkNAInEcYde
17,Chantaje (feat. Maluma),0.187,0.852,0.773,3.05e-05,0.159,-2.921,0,0.0776,102.034,4,0.907,12104974,Global,6mICuAdrwEjh6Y6lroV2Kg
18,Side To Side,0.0408,0.648,0.738,0.0,0.292,-5.883,0,0.247,159.145,4,0.603,11964458,Global,4pLwZjInHj3SimIyN9SnOz
19,Just Hold On,0.00383,0.647,0.932,1.5e-06,0.0574,-3.515,1,0.0824,114.991,4,0.374,11735194,Global,3EmmCZoqpWOTY1g2GBwJoR
20,Last Christmas,0.189,0.735,0.478,2.48e-06,0.355,-12.472,1,0.0293,107.682,4,0.947,11724752,Global,2FRnf9qhLbvw8fu4IBXx78
