,name,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,streams,country,id
0,ROCKSTAR (feat. Roddy Ricch),0.247,0.746,0.69,0.0,0.101,-7.956,1,0.164,89.977,4,0.497,37371773,Global,7ytR5pFWmSjzHJIeQkgog4
1,Blinding Lights,0.00146,0.514,0.73,9.54e-05,0.0897,-5.934,1,0.0598,171.005,4,0.334,32976788,Global,0VjIjW4GlUZAMYd2vXMi3b
2,Roses - Imanbek Remix,0.0167,0.77,0.724,0.0107,0.353,-5.484,1,0.0495,121.975,4,0.898,28290913,Global,24Yi9hE78yPEbZ4kxyoXAI
3,death bed (coffee for your head),0.731,0.726,0.431,0.0,0.696,-8.765,0,0.135,144.026,4,0.348,23021129,Global,7eJMfftS33KTjuF7lTsMCx
4,Rain On Me (with Ariana Grande),0.021,0.672,0.855,0.0,0.323,-3.764,1,0.0397,123.056,4,0.646,22950283,Global,7ju97lgwC2rKQ6wwsf9no9
5,Savage Love (Laxed - Siren Beat),0.234,0.767,0.481,0.0,0.269,-8.52,0,0.0803,150.076,4,0.761,22740503,Global,1xQ6trAsedVPCdbtDAmk0c
6,Watermelon Sugar,0.122,0.548,0.816,0.0,0.335,-4.209,1,0.0465,95.39,4,0.557,22472958,Global,6UelLqGlWMcVH1E5c4H7lY
7,Toosie Slide,0.289,0.83,0.49,3.04e-06,0.113,-8.82,0,0.209,81.604,4,0.845,21834174,Global,466cKvZn1j45IpxDdYZqdA
8,Don't Start Now,0.0123,0.793,0.793,0.0,0.0951,-4.521,0,0.083,123.95,4,0.679,19345469,Global,3PfIrDoz19wz7qK7tYeu62
9,Party Girl,0.749,0.728,0.431,0.0,0.0996,-9.966,0,0.0622,130.022,4,0.629,19272652,Global,5RqR4ZCCKJDcBLIn4sih9l
10,Dance Monkey,0.688,0.825,0.593,0.000161,0.17,-6.401,0,0.0988,98.078,4,0.54,19146458,Global,1rgnBhdG2JDFTbYkYRZAku
11,ily (i love you baby) (feat. Emilee),0.0686,0.674,0.774,0.00188,0.393,-7.567,0,0.0892,112.05,4,0.33,18834510,Global,62aP9fBQKYKxi7PDXwcUAS
12,Break My Heart,0.167,0.73,0.729,1.39e-06,0.349,-3.434,0,0.0883,113.013,4,0.467,18253400,Global,017PF4Q3l4DBUiWoXk4OWT
13,Breaking Me,0.223,0.789,0.72,0.0,0.129,-5.652,0,0.218,122.031,4,0.664,17702989,Global,3H7ihDc1dqLriiWXwsc2po
14,Blueberry Faygo,0.207,0.774,0.554,0.0,0.132,-7.909,1,0.0383,99.034,4,0.349,17199541,Global,22LAwLoDA5b4AaGSkg6bKW
15,Supalonely,0.305,0.863,0.631,3.04e-05,0.123,-4.689,1,0.0534,128.977,4,0.817,15986924,Global,4nK5YrxbMGZstTLbvj6Gxw
16,Stuck with U (with Justin Bieber),0.223,0.597,0.45,0.0,0.382,-6.658,1,0.0418,178.765,3,0.537,15743224,Global,4HBZA5flZLE435QTztThqH
17,The Box,0.104,0.896,0.586,0.0,0.79,-6.687,0,0.0559,116.971,4,0.642,15659539,Global,0nbXyq5TXYPCO7pr3N8S4I
18,THE SCOTTS,0.233,0.716,0.537,0.0,0.157,-7.648,0,0.0514,129.979,4,0.28,15551264,Global,39Yp9wwQiSRIDOvrVg7mbk
19,MAMACITA,0.19,0.88,0.626,0.000755,0.094,-7.062,1,0.0473,105.01,4,0.441,14990507,Global,24IgCW19L8lXKyFZwzFtD3
20,GOOBA,0.0264,0.611,0.688,0.0,0.251,-5.688,1,0.341,178.462,4,0.393,14565894,Global,4NhDYoQTYCdWHTvlbGVgwo
21,Intentions (feat. Quavo),0.3,0.806,0.546,0.0,0.102,-6.637,1,0.0575,147.986,4,0.874,14376888,Global,4umIPjkehX1r7uhmGvXiSV
22,Someone You Loved,0.751,0.501,0.405,0.0,0.105,-5.679,1,0.0319,109.891,4,0.446,14152961,Global,7qEHsqek33rTcFNT9PFqLf
23,Sunday Best,0.183,0.878,0.525,0.0,0.0714,-6.832,1,0.0578,112.022,4,0.694,13131973,Global,1Cv1YLb4q0RzL6pybtaMLo
24,Savage Remix (feat. Beyoncé),0.016,0.822,0.743,0.0,0.127,-4.772,0,0.28,84.459,4,0.636,13012545,Global,5v4GgrXPMghOnBBLmveLac
25,Falling,0.123,0.784,0.43,0.0,0.0887,-8.756,0,0.0364,127.087,4,0.236,12734991,Global,2rRJrJEo19S2J82BDsQ3F7
26,In Your Eyes,0.00285,0.667,0.719,8.1e-05,0.0736,-5.371,0,0.0346,100.021,4,0.717,11961809,Global,7szuecWAPwGoV1e5vGu8tl
27,Say So,0.256,0.787,0.673,3.57e-06,0.0904,-4.577,0,0.158,110.962,4,0.786,11846633,Global,3Dv1eDb0MEgF93GpLXlucZ
28,La Jeepeta - Remix,0.3,0.815,0.715,4.83e-06,0.091,-4.65,0,0.207,176.007,4,0.786,11835356,Global,1mohfLaTJtB2RplHLQVM70
29,Circles,0.192,0.695,0.762,0.00244,0.0863,-3.497,1,0.0395,120.042,4,0.553,11803663,Global,21jGcNKet2qwijlDFuPiPb
30,Tusa,0.295,0.803,0.715,0.000134,0.0574,-3.28,1,0.298,101.085,4,0.574,11746091,Global,7k4t7uLgtOxPwTpFmtJNTY
31,Before You Go,0.604,0.459,0.575,0.0,0.0885,-4.858,1,0.0573,111.881,4,0.183,11646434,Global,2gMXnyrvIjhVBUZwvLZDMP
32,WHATS POPPIN,0.017,0.923,0.604,0.0,0.272,-6.671,0,0.245,145.062,4,0.826,11489358,Global,1jaTQ3nqY3oAAYyCTbIvnM
33,Relación,0.125,0.805,0.562,4.96e-06,0.148,-3.117,0,0.105,172.094,4,0.767,11489058,Global,3ZG8N7aWw2meb6UrI5ZmnZ
34,goosebumps,0.0847,0.841,0.728,0.0,0.149,-3.37,1,0.0484,130.049,4,0.43,11382459,Global,6gBFPUFcJLzWGx4lenP6h2
35,Play Date,0.612,0.68,0.729,0.0,0.224,-5.077,1,0.0475,123.97,4,0.446,11302768,Global,4DpNNXFMMxQEKl7r0ykkWA
36,Hasta Que Dios Diga,0.464,0.691,0.765,3.29e-06,0.203,-4.727,1,0.111,174.021,4,0.855,11012546,Global,06s3QtMJVXw1AJX3UfvZG1
37,TKN (feat. Travis Scott),0.192,0.776,0.509,1.49e-06,0.115,-6.266,0,0.467,94.634,4,0.485,10892987,Global,4w47S36wQGBhGg073q3nt7
38,Lose Somebody,0.344,0.58,0.586,0.0,0.0755,-6.883,1,0.0357,147.988,4,0.507,10875676,Global,1sgDyuLooyvEML4oHspNza
