,name,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,streams,country,id
0,ドライフラワー,0.426,0.463,0.624,0.0,0.221,-5.118,1,0.0274,147.929,4,0.521,2103510,Japan,7dH0dpi751EoguDDg3xx6J
1,Dynamite,0.0112,0.746,0.765,0.0,0.0936,-4.41,0,0.0993,114.044,4,0.737,1833707,Japan,4saklk6nie3yiGePpBwUoc
2,夜に駆ける,0.00299,0.663,0.871,1.8e-06,0.337,-5.287,1,0.03,130.025,4,0.826,1809218,Japan,6MCjmGYlw6mQVWRFVgBRvB
3,勿忘,0.234,0.448,0.447,0.0,0.382,-7.161,0,0.045,78.861,4,0.299,1749255,Japan,0XZyF9lv6diMt4bxThOL0h
4,怪物,0.0699,0.627,0.824,6.57e-05,0.31,-3.419,1,0.118,169.935,4,0.774,1647352,Japan,06XQvnJb53SUYmlWIhUXUi
5,群青,0.305,0.725,0.853,0.0,0.115,-3.193,1,0.0516,134.991,4,0.707,1553498,Japan,1zd35Y44Blc1CwwVbW3Qnk
6,Take a picture,0.0504,0.736,0.871,0.000831,0.313,-4.139,1,0.0577,127.945,4,0.739,1543011,Japan,0iEzzJ3zmNQqATy2MilumS
7,Film out,0.296,0.499,0.709,0.0,0.331,-6.404,1,0.134,164.032,4,0.314,1352473,Japan,3UHPGOkUcE4hE7sqBF4Snt
8,うっせぇわ,0.00485,0.525,0.978,0.0,0.06,-1.072,0,0.0815,178.069,4,0.577,1299926,Japan,6EzZn96uOc9JsVGNRpx06n
9,One Last Kiss,0.692,0.592,0.54,0.00187,0.0965,-11.249,0,0.0587,111.955,4,0.354,1171165,Japan,5RhWszHMSKzb7KiXk4Ae0M
10,ハルジオン,0.0545,0.687,0.873,0.0,0.318,-3.852,1,0.0335,130.024,4,0.884,1129738,Japan,08YwAPnX8sygJUXG9rvhDv
11,炎,0.105,0.477,0.685,0.0,0.277,-4.554,1,0.0325,152.04,4,0.308,1126792,Japan,0cSkn2l67csUljEy0EEBPn
12,Kaikai Kitan,0.0119,0.584,0.911,0.0,0.119,-3.515,0,0.09,92.502,4,0.606,1120229,Japan,6y4GYuZszeXNOXuBFsJlos
13,Poppin' Shakin',0.0921,0.781,0.865,0.0169,0.0879,-5.218,1,0.0798,123.986,4,0.746,1101147,Japan,0jfFu1W96AlrsMqXSZZlSt
14,Make you happy,0.0436,0.78,0.885,2.8e-05,0.105,-3.745,1,0.122,160.087,4,0.808,1098875,Japan,1LnJVIG1BaHTRznuOgR0yc
15,虹,0.071,0.548,0.6,0.0,0.192,-5.049,1,0.0297,143.961,4,0.296,1096760,Japan,7AIj86wFWqm7X1TZ2hzHwS
16,アンコール,0.283,0.682,0.669,1e-06,0.145,-4.741,1,0.0275,81.999,4,0.831,1090477,Japan,465JzFiajJO59sUrDFsxdC
17,Bluma to Lunch,0.034,0.756,0.726,0.000455,0.119,-5.388,1,0.0489,123.98,4,0.792,1067217,Japan,3EYWY7XBj1BkCKX3R3hoZk
18,春を告げる,0.0397,0.548,0.871,0.0,0.357,-5.377,1,0.123,120.009,4,0.487,1045310,Japan,2Gmyw5Vg2X5YW2lM3OC7nD
19,"Stand by me, Stand by you.",0.0879,0.66,0.576,0.0,0.0599,-5.627,1,0.0363,80.978,4,0.561,1041663,Japan,7DyS11kB1YNrfDzQqtjmTh
20,ハルカ,0.0717,0.712,0.817,7.21e-06,0.146,-5.123,1,0.0279,100.016,4,0.679,1040438,Japan,5D9MPWdY2hjSeTIGE5n5kv
21,桜が降る夜は,0.384,0.641,0.957,1.05e-06,0.218,-2.574,1,0.0455,106.995,4,0.71,1040258,Japan,1iEsGutpDvMJG0zYqoKKmQ
22,魔法の絨毯,0.774,0.599,0.309,0.0,0.122,-6.292,0,0.0507,72.285,4,0.584,1003344,Japan,37IPQgBkvbmH9JR5mlY6a8
23,Step and a step,0.184,0.844,0.851,8.53e-05,0.0754,-3.762,1,0.0494,116.038,4,0.541,994844,Japan,5DgAgJbHcm74RyA9YKj6k1
24,裸の心,0.537,0.559,0.448,1.85e-05,0.0915,-4.11,1,0.0275,148.02,4,0.354,984299,Japan,4Jv7U0JJpbQnOrjtDwDZTZ
25,napori,0.417,0.88,0.356,0.0,0.0997,-7.802,1,0.297,129.822,4,0.468,962204,Japan,5Ym4egUmT9wHEvZM2anGG8
26,かくれんぼ,0.417,0.671,0.505,0.0,0.124,-7.575,1,0.0629,156.019,4,0.311,955700,Japan,0JTjZnuciQH4M3620aMDtZ
27,ギラギラ,0.052,0.651,0.861,0.0,0.0878,-4.128,1,0.0568,96.014,4,0.731,943257,Japan,7D7GCO3CtDT1WDcj2W5VDV
28,たぶん,0.157,0.748,0.661,0.00102,0.101,-6.702,1,0.0334,90.003,4,0.743,933637,Japan,398dL22bDbKbAmiOnPaq7o
29,猫 〜THE FIRST TAKE ver.〜,0.539,0.635,0.578,0.0,0.115,-6.749,1,0.132,77.065,4,0.584,912483,Japan,25BJRpLBe3i6d8okphoRAm
30,猫,0.113,0.506,0.769,0.0,0.0828,-5.326,1,0.0363,154.044,4,0.536,898086,Japan,6sIx7Cn37DGEhjy9hBP8Gx
31,Pretender,0.047,0.538,0.869,0.0,0.14,-3.464,1,0.0275,91.972,4,0.369,889511,Japan,15HNdxGKNCIO9pgaY4n7FU
32,不可幸力,0.0157,0.69,0.815,2.85e-06,0.0636,-5.227,0,0.0426,94.032,4,0.613,872915,Japan,18nkY3pJTub8WwEGiQAGh4
