,name,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,streams,country,id
0,Dance Monkey,0.688,0.825,0.593,0.000161,0.17,-6.401,0,0.0988,98.078,4,0.54,2563286,Australia,1rgnBhdG2JDFTbYkYRZAku
1,Memories,0.837,0.764,0.32,0.0,0.0822,-7.209,1,0.0546,91.019,4,0.575,1832034,Australia,2b8fOow8UzyDFAE27YhOZM
2,Reünie,0.674,0.508,0.35,0.0,0.587,-9.205,1,0.152,96.478,4,0.509,1730609,Australia,5S7YAM3lcfPNBSTVyciwCu
3,Lippenstift,0.0572,0.711,0.613,2.98e-06,0.203,-5.374,1,0.0535,95.017,4,0.703,1680777,Australia,3D9MKbMaHCZjSEcCWf4wDm
4,Voor Je Deur,0.0403,0.469,0.552,0.0,0.0732,-9.044,1,0.469,75.611,1,0.186,1615177,Australia,3sjn3DcHbwMnHfheOH73Ym
5,Pa Olvidarte (Beste Zangers Seizoen 2019),0.658,0.718,0.86,0.0,0.187,-7.515,1,0.115,89.97,4,0.914,1496856,Australia,1RO8Q3w2Jkir8cvvGEApI0
6,Circles,0.192,0.695,0.762,0.00244,0.0863,-3.497,1,0.0395,120.042,4,0.553,1408782,Australia,21jGcNKet2qwijlDFuPiPb
7,Ze Kent Mij,0.492,0.547,0.464,3.66e-05,0.0898,-8.518,1,0.0735,103.094,4,0.356,1363915,Australia,3BiBIgQFa8K4EOxisyhXX7
8,My Bébé,0.0945,0.806,0.632,0.0,0.0818,-4.408,0,0.0592,68.747,5,0.431,1168173,Australia,4CVQy4t1gkQQWkZDzWrfEM
9,Lose You To Love Me,0.576,0.505,0.34,0.0,0.21,-9.005,1,0.0438,101.993,4,0.0916,1135221,Australia,1HfMVBKM75vxSfsQ5VefZ5
10,Someone You Loved,0.751,0.501,0.405,0.0,0.105,-5.679,1,0.0319,109.891,4,0.446,1129806,Australia,7qEHsqek33rTcFNT9PFqLf
11,Blauwe Dag,0.245,0.704,0.571,0.0,0.299,-7.319,1,0.0463,98.007,4,0.494,1017532,Australia,0N1sqwppd1BwhNdjcIDEG2
12,Vroeger,0.32,0.788,0.694,3.92e-05,0.0957,-2.882,1,0.0891,101.012,4,0.87,1005951,Australia,7KKHNdUNO1AqOxnFUHnfdf
13,Liar,0.0169,0.74,0.498,0.00282,0.319,-6.684,0,0.0456,98.016,4,0.652,998206,Australia,7LzouaWGFCy4tkXDOOnEyM
14,Hoe Het Danst,0.0597,0.686,0.86,0.0,0.19,-3.358,1,0.0517,130.027,4,0.417,972627,Australia,5cYOVkA2cnjKid9yigaMwq
15,Don't Start Now,0.0125,0.794,0.793,0.0,0.0952,-4.521,0,0.0842,123.941,4,0.677,958358,Australia,6WrI0LAC5M1Rw2MnX2ZvEg
16,Beautiful People (feat. Khalid),0.124,0.64,0.647,0.0,0.0801,-8.114,0,0.186,92.979,4,0.546,911017,Australia,70eFcWOvlMObDhURTqT4Fv
17,Señorita,0.0392,0.759,0.548,0.0,0.0828,-6.049,0,0.029,116.967,4,0.749,878200,Australia,6v3KW9xbzN5yKLt9YKDYA2
18,How Do You Sleep?,0.153,0.477,0.682,0.0,0.0763,-4.931,0,0.0925,110.567,5,0.345,871412,Australia,6b2RcmUt1g9N9mQ3CbjX2Y
