,name,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,streams,country,id
0,Rockabye (feat. Sean Paul & Anne-Marie),0.406,0.72,0.763,0.0,0.18,-4.068,0,0.0523,101.965,4,0.742,1039376,Netherland,5knuzwU65gJK7IF5yJsuaW
1,Het Is Een Feit,0.0379,0.567,0.563,0.0,0.0923,-6.265,0,0.196,104.813,4,0.363,1001689,Netherland,0iuLGMsB9xBbg5D4iabTtT
2,All I Want for Christmas Is You,0.164,0.336,0.627,0.0,0.0708,-7.463,1,0.0384,150.273,4,0.35,871305,Netherland,0bYg9bo50gSsH3LtXe2SQn
3,Say You Won't Let Go,0.695,0.358,0.557,0.0,0.0902,-7.398,1,0.059,85.043,4,0.494,837856,Netherland,5uCax9HTNlzGybIStD3vDh
4,Starboy,0.165,0.681,0.594,3.49e-06,0.134,-7.028,1,0.282,186.054,4,0.535,757974,Netherland,5aAx2yezTd8zXrkmtKl66Z
5,Last Christmas,0.189,0.735,0.478,2.48e-06,0.355,-12.472,1,0.0293,107.682,4,0.947,755144,Netherland,2FRnf9qhLbvw8fu4IBXx78
6,24K Magic,0.034,0.818,0.803,0.0,0.153,-4.282,1,0.0797,106.97,4,0.632,679651,Netherland,6b8Be6ljOzmkOmFslEb23P
7,Overal (feat. DJ Youss-F),0.309,0.785,0.666,0.0,0.338,-4.991,0,0.0468,101.154,4,0.76,673843,Netherland,7bQQ2B4EVLDiMA79EbT2qe
8,I Feel It Coming,0.426,0.773,0.819,0.0,0.0679,-5.946,0,0.118,92.99,4,0.585,635330,Netherland,5GXAXm5YOmYT0kL5jHvYBt
9,My Love,0.0588,0.575,0.849,1e-06,0.0736,-5.156,0,0.071,117.819,4,0.74,612899,Netherland,7887EjnwYduvgqpPysG50Z
10,Closer,0.414,0.748,0.524,0.0,0.111,-5.599,1,0.0338,95.01,4,0.661,587047,Netherland,7BKLCZ1jbUBVqRi2FVlTVw
11,Let Me Love You,0.0784,0.476,0.718,1.02e-05,0.122,-5.309,1,0.0576,199.864,4,0.142,573283,Netherland,4pdPtRcBmOSQDlJ3Fk945m
12,Call On Me - Ryan Riback Extended Remix,0.0604,0.67,0.838,0.000611,0.159,-4.031,1,0.0362,104.998,4,0.717,554593,Netherland,78rIJddV4X0HkNAInEcYde
13,Don't Wanna Know,0.338,0.783,0.623,0.0,0.0975,-6.126,1,0.08,100.048,4,0.447,538160,Netherland,5MFzQMkrl1FOOng9tq6R9r
14,Black Beatles,0.142,0.794,0.632,0.0,0.128,-6.163,1,0.0649,145.926,4,0.355,499494,Netherland,6fujklziTHa8uoM5OQSfIo
15,Mercy,0.137,0.469,0.68,0.0,0.11,-4.921,0,0.117,147.734,4,0.374,493266,Netherland,4TZy1wLyHec06pwgFYDh1a
16,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",0.0631,0.735,0.451,1.3e-05,0.325,-8.374,1,0.0585,117.973,4,0.0862,465195,Netherland,3NdDpSvN911VPGivFlV5d0
17,In the Name of Love,0.0592,0.49,0.485,0.0,0.337,-6.237,0,0.0406,133.889,4,0.196,458016,Netherland,04DwTuZ2VBdJCCC5TROn7L
18,The Greatest,0.0174,0.639,0.785,0.00107,0.0512,-6.167,0,0.174,191.95,4,0.686,454034,Netherland,6bLopGnirdrilrpdVB6Um1
19,It's Beginning to Look a Lot like Christmas,0.908,0.339,0.214,7.47e-06,0.341,-11.714,1,0.0375,94.775,3,0.363,449965,Netherland,0lLdorYw7lVrJydTINhWdI
20,Energie,0.102,0.848,0.598,0.0,0.151,-7.087,1,0.214,100.001,4,0.678,447014,Netherland,1riPE3NCV1OBmSXqpYiMJY
21,Love Me Now,0.591,0.495,0.762,0.0,0.0763,-3.842,1,0.0862,123.893,4,0.708,443922,Netherland,6nxQdXa1uAL0rY72wPZu89
22,It's the Most Wonderful Time of the Year,0.766,0.24,0.598,0.0,0.117,-8.435,1,0.0369,201.629,3,0.776,439461,Netherland,5hslUAKq9I9CG2bAulFkHN
23,Starving,0.371,0.636,0.633,0.0,0.102,-4.23,1,0.126,99.721,4,0.512,436963,Netherland,1qOLh0tI7trd1zdDKxYZTe
24,Dancing On My Own,0.851,0.608,0.174,1.92e-05,0.0855,-8.796,1,0.0332,112.175,4,0.193,436339,Netherland,02WacdrRpm4zlP8H7X6bnQ
