,name,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,streams,country,id
0,rockstar,0.128,0.58,0.531,0.000127,0.143,-6.631,0,0.0776,159.786,4,0.141,3727123,England,1OmcAT5Y8eg5bUPv9qJT4R
1,New Rules,0.00261,0.762,0.7,1.56e-05,0.153,-6.021,0,0.0694,116.073,4,0.608,2889602,England,2ekn2ttSfGqwhhate0LSR0
2,Too Good At Goodbyes - Edit,0.658,0.653,0.378,0.0,0.177,-8.273,1,0.0533,91.835,4,0.54,2535330,England,0mel2N9Ws9r4yLQn5QE21Y
3,Havana,0.186,0.768,0.517,3.8e-05,0.104,-4.323,0,0.0312,104.992,4,0.418,2405276,England,0ofbQMrRDsUaVKq2mGLEAb
4,Dusk Till Dawn - Radio Edit,0.101,0.258,0.437,1.27e-06,0.106,-6.593,0,0.039,180.043,4,0.0967,1990766,England,1j4kHkkpqZRBwE0A4CN4Yv
5,1-800-273-8255,0.569,0.62,0.574,0.0,0.19,-7.788,0,0.0479,100.023,4,0.357,1980247,England,5tz69p7tJuGPeMGwNTxYuV
6,Unforgettable,0.0293,0.726,0.769,0.0101,0.104,-5.043,1,0.123,97.985,4,0.733,1958352,England,3B54sVLJ402zGa6Xm4YGNe
7,Bestie (feat. Yxng Bane),0.1,0.497,0.59,0.0,0.0714,-7.564,1,0.258,99.638,4,0.585,1812965,England,638s8Qi75q1pXjuH86fJX7
8,Look What You Made Me Do,0.213,0.773,0.68,1.57e-05,0.122,-6.378,0,0.141,128.062,4,0.497,1773631,England,6uFsE1JgZ20EXyU0JQZbUR
9,Friends (with BloodPop®),0.00459,0.744,0.739,0.0,0.306,-5.35,1,0.0387,104.99,4,0.649,1769350,England,7nZmah2llfvLDiUjm0kiyz
10,Reggaetón Lento (Remix),0.154,0.527,0.907,0.0,0.0993,-3.09,0,0.11,93.813,4,0.664,1749640,England,3zoYkqS4y2BsGVShPL2nTE
11,Lonely Together (feat. Rita Ora),0.134,0.655,0.666,2.12e-05,0.0683,-5.309,1,0.0612,102.977,4,0.272,1740506,England,2OALaHcDdKkjYEpAr0Qzab
12,Sorry Not Sorry,0.0252,0.701,0.638,0.0,0.256,-6.889,0,0.238,144.084,4,0.868,1706189,England,25C5CowdsfXld2jJanbiex
