,name,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,streams,country,id
0,rockstar,0.13,0.577,0.522,9.03e-05,0.142,-6.594,0,0.0984,159.772,4,0.119,12623579,America,7wGoVu4Dady5GV0Sv4UIsx
1,Gucci Gang,0.239,0.936,0.523,0.0,0.117,-6.71,1,0.0597,119.889,4,0.699,8681449,America,43ZyHQITOjhciSUUNPVRHc
2,I Fall Apart,0.0689,0.556,0.538,0.0,0.196,-5.408,0,0.0382,143.95,4,0.291,7334983,America,75ZvA4QfFiZvzhj2xkaWAh
3,Candy Paint,0.633,0.765,0.688,0.0,0.0734,-5.566,1,0.0841,90.013,4,0.434,6958753,America,42CeaId2XNlxugDvyqHfDf
4,Perfect Duet (Ed Sheeran & Beyoncé),0.779,0.587,0.299,0.0,0.123,-7.365,1,0.0263,94.992,3,0.356,6885683,America,1bhUWB0zJMIKr9yVPrkEuI
5,Ric Flair Drip (& Metro Boomin),0.149,0.88,0.428,5.07e-05,0.114,-8.28,1,0.206,100.007,4,0.333,6704101,America,7sO5G9EABYOXQKNPNiE9NR
6,No Limit,0.0117,0.838,0.771,0.0,0.0853,-3.791,1,0.244,175.957,4,0.405,6209107,America,2Xqd0wUttjueBfdcltADOv
7,Havana,0.186,0.768,0.517,3.8e-05,0.104,-4.323,0,0.0312,104.992,4,0.418,6066445,America,0ofbQMrRDsUaVKq2mGLEAb
8,All I Want for Christmas Is You,0.164,0.336,0.627,0.0,0.0708,-7.463,1,0.0384,150.273,4,0.35,5984865,America,0bYg9bo50gSsH3LtXe2SQn
9,Him & I,0.0534,0.589,0.731,0.0,0.308,-6.343,1,0.0868,87.908,4,0.191,5909702,America,3YU6vJbjYUG0tiJyXf9x5V
10,Plain Jane,0.0651,0.797,0.844,0.0,0.087,-5.482,1,0.275,170.142,4,0.52,5786787,America,4dVpf9jZjcORqGTLUaeYj9
11,Bank Account,0.0151,0.884,0.346,7.04e-06,0.0871,-8.228,0,0.351,75.016,4,0.376,5763001,America,2fQrGHiQOvpL9UgPvtYy6G
12,Too Good At Goodbyes,0.64,0.681,0.372,0.0,0.169,-8.237,1,0.0432,91.873,4,0.476,5745437,America,1mXVgsBdtIVeCLJnSnmtdV
13,Let You Down,0.33,0.659,0.716,0.0,0.173,-5.673,0,0.111,148.015,4,0.437,5384553,America,6mrKP2jyIQmM0rw6fQryjr
14,Wolves,0.139,0.715,0.802,0.0,0.177,-4.647,0,0.0394,124.989,4,0.327,5345455,America,7EmGUiUaOSGDnUUQUDrOXC
15,XO Tour Llif3,0.00264,0.732,0.75,0.0,0.109,-6.366,0,0.231,155.096,4,0.401,5240052,America,7GX5flRQZVHRAGd6B4TmDO
16,PICK IT UP (feat. A$AP Rocky),0.0149,0.921,0.467,0.000238,0.334,-8.443,1,0.119,135.995,4,0.287,5081987,America,3ncgNpxLoBQ65ABk4djDyd
17,Young Dumb & Broke,0.199,0.799,0.539,1.66e-05,0.165,-6.351,1,0.0421,136.948,4,0.394,5006784,America,5Z3GHaZ6ec9bsiI5BenrbY
18,1-800-273-8255,0.569,0.62,0.574,0.0,0.19,-7.788,0,0.0479,100.023,4,0.357,4935241,America,5tz69p7tJuGPeMGwNTxYuV
