,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Blinding Lights","The Weeknd",2061597,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
2,"Intentions (feat. Quavo)","Justin Bieber",1672773,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
3,"The Box","Roddy Ricch",1657730,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
4,"Don't Start Now","Dua Lipa",1642379,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
5,"No Time To Die","Billie Eilish",1373693,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
6,"Dance Monkey","Tones And I",1326436,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
7,Circles,"Post Malone",1237542,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
8,"You should be sad",Halsey,1199601,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
9,ROXANNE,"Arizona Zervas",1155051,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
10,"Godzilla (feat. Juice WRLD)",Eminem,1140521,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
11,Yummy,"Justin Bieber",1117190,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
12,"Adore You","Harry Styles",1093956,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
13,"Before You Go","Lewis Capaldi",1073614,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
14,"Lose Control",MEDUZA,1069342,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
15,"everything i wanted","Billie Eilish",1060642,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
16,Falling,"Trevor Daniel",1036873,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
17,"Never Seen the Rain","Tones And I",1032354,https://open.spotify.com/track/2grAr8pWMuLWn8ZYEE9wDV
18,SUGAR,BROCKHAMPTON,964491,https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA
19,"Life Is Good (feat. Drake)",Future,943418,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
20,"Ride It",Regard,940776,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
21,"Say So","Doja Cat",913687,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
22,Memories,"Maroon 5",900667,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
23,"Rushing Back",Flume,835941,https://open.spotify.com/track/2zoNNEAyPK2OGDfajardlY
24,Glitter,BENEE,810519,https://open.spotify.com/track/23TPP1eeElFfvYVznskwCY
25,"Sunday Best",Surfaces,801393,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
26,"Someone You Loved","Lewis Capaldi",796787,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
27,"What A Man Gotta Do","Jonas Brothers",784756,https://open.spotify.com/track/4wNIkl5XGiAACjFBlDWuSd
28,"bad guy","Billie Eilish",779592,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
29,"Forever (feat. Post Malone & Clever)","Justin Bieber",769244,https://open.spotify.com/track/2ZlCGeK30BLRNSPC832pNZ
30,"My Oh My (feat. DaBaby)","Camila Cabello",760439,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
31,Physical,"Dua Lipa",752481,https://open.spotify.com/track/5px6upUHM3fhOP621Edp4V
32,"Purple Hat","Sofi Tukker",701737,https://open.spotify.com/track/6WiGRFQfx2qw49MA7OeDYK
33,"Know Your Worth",Khalid,676874,https://open.spotify.com/track/0TrPqhAMoaKUFLR7iYDokf
34,"To Die For","Sam Smith",669066,https://open.spotify.com/track/2ZTYlnhhV1UAReg7wIGolx
35,"Roses - Imanbek Remix","SAINt JHN",655128,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
36,"What If I Told You That I Love You","Ali Gatie",635544,https://open.spotify.com/track/3cqPu20DGTGUoZtbJH2Dmi
37,"Post Malone (feat. RANI)","Sam Feldt",627794,https://open.spotify.com/track/36orMWv2PgvnzXsd5CJ0yL
38,"Live In Life","The Rubens",624267,https://open.spotify.com/track/5zpGxLGLxQvgQzO8jYTzAU
39,Rare,"Selena Gomez",624049,https://open.spotify.com/track/7HMmFQsKsljwTw8bS7lu19
40,"Turn Me On (feat. Vula)",Riton,568586,https://open.spotify.com/track/0qaWEvPkts34WF68r8Dzx9
41,"Welcome to Prison",ONEFOUR,562193,https://open.spotify.com/track/3KIpIAXqz7tRfcUUHVXdr8
42,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",546917,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
43,German,"No Money Enterprise",540683,https://open.spotify.com/track/4pMEp90aY5XZcQQGaH7ahu
44,"Trampoline (with ZAYN)",SHAED,538828,https://open.spotify.com/track/2ez6qvOTHKeI3ss80NGqnI
45,Suicidal,"YNW Melly",537567,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8
46,"I Don't Care (with Justin Bieber)","Ed Sheeran",535535,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
47,"Good as Hell (feat. Ariana Grande)",Lizzo,528734,https://open.spotify.com/track/2rjjNUYONZqC7wSd1i6OFq
48,"death bed (coffee for your head)",Powfu,528633,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
49,Maniac,"Conan Gray",524836,https://open.spotify.com/track/7hpJ9tATWb2vztlq99hERP
50,Señorita,"Shawn Mendes",524817,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
51,Run,Joji,521984,https://open.spotify.com/track/6p8eEdiZLKJH8tcjGZuNTK
52,"Blueberry Faygo","Lil Mosey",520331,https://open.spotify.com/track/6wJYhPfqk3KGhHRG76WzOh
53,"10,000 Hours (with Justin Bieber)","Dan + Shay",520074,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
54,"Breathe Deeper","Tame Impala",499991,https://open.spotify.com/track/3LbZIhU0smEU5SUnxod4j4
55,"South of the Border (feat. Camila Cabello & Cardi B)","Ed Sheeran",495462,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
56,"hot girl bummer",blackbear,483964,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
57,"High Fashion (feat. Mustard)","Roddy Ricch",474039,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
58,"The Reaper","The Chainsmokers",450970,https://open.spotify.com/track/0g8Dq6OpSmWengqtLrVr77
59,"Watermelon Sugar","Harry Styles",450673,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
60,July,"Noah Cyrus",450582,https://open.spotify.com/track/5a6pdCHlWS2ekOOQ70QnAr
61,Sorry,"Joel Corry",442716,https://open.spotify.com/track/6y1UtRcHQU07aUs3oxZ8Yn
62,"Lose You To Love Me","Selena Gomez",438875,https://open.spotify.com/track/4l0Mvzj72xxOpRrp6h8nHi
63,"Pump It Up",Endor,437735,https://open.spotify.com/track/0GiwV6v3AgJfdu59tj719Y
64,Castles,"Freya Ridings",436026,https://open.spotify.com/track/5tZWtGT65sMrDVPB5H444n
65,"Beautiful People (feat. Khalid)","Ed Sheeran",429443,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
66,Borderline,"Tame Impala",428466,https://open.spotify.com/track/5hM5arv9KDbCHS0k9uqwjr
67,"One Thing Right",Marshmello,425474,https://open.spotify.com/track/4hPpVbbakQNv8YTHYaOJP4
68,F.A.M.E,"Hooligan Hefs",422995,https://open.spotify.com/track/00V5Z1eYlNUdw5pSF8DxzC
69,"No Shame","5 Seconds of Summer",419825,https://open.spotify.com/track/5JSVa5i6lFPoyOzK4gj0Ox
70,"when the party's over","Billie Eilish",416381,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
71,"Lucid Dreams","Juice WRLD",413858,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
72,"Catching Feelings (feat. SIX60)","Drax Project",408525,https://open.spotify.com/track/0gCNs3jCCDhObAK0MRghtv
73,"Lost In Yesterday","Tame Impala",407145,https://open.spotify.com/track/5JWPUEov2wlX7c0jhYZpeB
74,"Eastside (with Halsey & Khalid)","benny blanco",405988,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
75,"Piece Of Your Heart",MEDUZA,404378,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
76,"If the World Was Ending - feat. Julia Michaels","JP Saxe",398214,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
77,"Get Me (feat. Kehlani)","Justin Bieber",394072,https://open.spotify.com/track/5VwwpU7KsLhgfbMEecedhJ
78,"HIGHEST IN THE ROOM","Travis Scott",393112,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
79,Youngblood,"5 Seconds of Summer",391550,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
80,"Come Around Me","Justin Bieber",387026,https://open.spotify.com/track/2o9LAypwGH4ctV0i9boo6d
81,"Still Be Friends (feat. Tory Lanez & Tyga)",G-Eazy,386774,https://open.spotify.com/track/0JjM9bKm4wrwohMslcm892
82,"Ballin' (with Roddy Ricch)",Mustard,381908,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
83,"lovely (with Khalid)","Billie Eilish",376914,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
