,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,
Position,Track Name,Artist,Streams,URL
1,Se?orita,Shawn Mendes,1723224,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
2,Ransom,Lil Tecca,1595705,https://open.spotify.com/track/1kBbgxAUc4HQv7cgIayIDH
3,Goodbyes (Feat. Young Thug),Post Malone,1221159,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
4,Money In The Grave (Drake ft. Rick Ross),Drake,1167965,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
5,boyfriend (with Social House),Ariana Grande,1155080,https://open.spotify.com/track/0Ryd8975WihbObpp5cPW1t
6,Beautiful People (feat. Khalid),Ed Sheeran,1043951,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
7,I Don't Care (with Justin Bieber),Ed Sheeran,966146,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
8,Old Town Road - Remix,Lil Nas X,956888,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
9,Truth Hurts,Lizzo,944828,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh
10,Lalala,Y2K,938106,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
11,No Guidance (feat. Drake),Chris Brown,888530,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
12,One Thing Right,Marshmello,878936,https://open.spotify.com/track/4hPpVbbakQNv8YTHYaOJP4
13,Panini,Lil Nas X,819988,https://open.spotify.com/track/6fTt0CH2t0mdeB2N9XFG5r
14,Someone You Loved,Lewis Capaldi,816261,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
15,bad guy,Billie Eilish,755935,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
16,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,727566,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
17,The Git Up,Blanco Brown,697398,https://open.spotify.com/track/5dW1VZPcFqB4n0P08rGDgm
18,How Do You Sleep?,Sam Smith,695908,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
19,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),Megan Thee Stallion,687621,https://open.spotify.com/track/5N1o6d8zGcSZSeMFkOUQOk
20,Takeaway (feat. Lennon Stella),The Chainsmokers,667549,https://open.spotify.com/track/6wo37KVqFJhtuxPTpLCcfe
21,If I Can't Have You,Shawn Mendes,637550,https://open.spotify.com/track/2bT1PH7Cw3J9p3t7nlXCdh
22,The London (feat. J. Cole & Travis Scott),Young Thug,635051,https://open.spotify.com/track/7DcvwMAiqKJQD1rrdfxSDx
23,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix,605491,https://open.spotify.com/track/40OMBMYRk5IQL6xCzGM0JA
24,Higher Love,Kygo,568771,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY
25,bad guy (with Justin Bieber),Billie Eilish,559161,https://open.spotify.com/track/3yNZ5r3LKfdmjoS3gkhUCT
26,I'm Not Alright,Loud Luxury,558108,https://open.spotify.com/track/4otVP2TcJliXWq2GjkvWkR
27,It's You,Ali Gatie,555432,https://open.spotify.com/track/6moU77g9RQyMzHNuKEaQKq
28,Pop Out (feat. Lil Tjay),Polo G,552801,https://open.spotify.com/track/6uFn47ACjqYkc0jADwEdj1
29,I.F.L.Y.,Bazzi,551478,https://open.spotify.com/track/4a6q8CR2hzLk2plDkSxkfD
30,Talk (feat. Disclosure),Khalid,540299,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
31,Small Talk,Katy Perry,531834,https://open.spotify.com/track/4NmE2ytXI8S2svTRSmEdpO
32,"fuck, i'm lonely",Lauv,522607,https://open.spotify.com/track/322tcqPhma7F6hfCeLisx0
33,Suge,DaBaby,512420,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB
34,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,508361,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx
35,Good As Hell,Lizzo,497754,https://open.spotify.com/track/6uAm7pG66O1XesXS9bpHSF
36,You Need To Calm Down,Taylor Swift,490822,https://open.spotify.com/track/29fRTIKsJhLUJoldM89GZS
37,Post Malone (feat. RANI),Sam Feldt,473284,https://open.spotify.com/track/0qc4QlcCxVTGyShurEv1UU
38,Right Back (feat. A Boogie Wit Da Hoodie),Khalid,471649,https://open.spotify.com/track/6PYnUsNEpYC7A4BS2sjw3L
39,"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",Mustard,469530,https://open.spotify.com/track/2zjGJ0dChMR0KxBZS15aqo
40,Wow.,Post Malone,468818,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
41,Love Me,Lil Tecca,462704,https://open.spotify.com/track/7Aem1fAapTdGcHwAYyQYU4
42,Sucker,Jonas Brothers,453242,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
43,"Go Loko (feat. Tyga, Jon Z)",YG,449970,https://open.spotify.com/track/1kK6DwzyXJSp58u5HYWwuD
44,Antisocial (with Travis Scott),Ed Sheeran,437031,https://open.spotify.com/track/1DhRbox3xkceP64k3JeYfW
45,No Way!,Bazzi,434466,https://open.spotify.com/track/0yYwS7CXKIPC4kWPvZQfsT
46,Shallow,Lady Gaga,433965,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
47,China,Anuel AA,433365,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
48,Shotta Flow (Feat. Blueface) [Remix],NLE Choppa,423679,https://open.spotify.com/track/67XyC1GdSkKb9sbRRkUDXS
49,Eastside (with Halsey & Khalid),benny blanco,419819,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
50,Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,409514,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6
51,Never Really Over,Katy Perry,407176,https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0
52,Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,405576,https://open.spotify.com/track/4wuCQX7JvAZLlrcmH4AeZF
53,Going Bad (feat. Drake),Meek Mill,404441,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
54,Rescue Me,OneRepublic,402911,https://open.spotify.com/track/0mjAU3yKR1QnXnHtjGJqTM
55,Gold Roses (feat. Drake),Rick Ross,399310,https://open.spotify.com/track/1rX5L6pyl3rVWb55D8Cprr
56,Time - Edit,NF,398308,https://open.spotify.com/track/1gZFRYcPz3wKevEaNYRwfW
57,Happier,Marshmello,396630,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
58,Baby,Quality Control,394433,https://open.spotify.com/track/2nKYHpmwjLaEOXS3o7QMiz
59,MIDDLE CHILD,J. Cole,393392,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
60,Call You Mine (feat. Bebe Rexha),The Chainsmokers,390916,https://open.spotify.com/track/05CwHjIk71RXVU40boRMnR
61,7 rings,Ariana Grande,390634,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
62,Dance Monkey,Tones And I,390613,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
63,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,383116,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
64,Old Town Road,Lil Nas X,379161,https://open.spotify.com/track/0F7FA14euOIX8KcbEturGH
65,All Around The World (La La La),R3HAB,378636,https://open.spotify.com/track/02itaCXOdC54J0ISjqqFAp
66,Hate Me (with Juice WRLD),Ellie Goulding,378597,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE
67,Piece Of Your Heart,MEDUZA,374198,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
68,Paradise,Bazzi,371929,https://open.spotify.com/track/0Rx0DJI556Ix5gBny6EWmn
69,Knockin' Boots,Luke Bryan,364241,https://open.spotify.com/track/6ERR6e7h6wCqGoz1TjiUJb
70,Pure Water (with Migos),Mustard,361328,https://open.spotify.com/track/3j84U36KvLeXNDPv4t5pI8
71,Did It Again,Lil Tecca,360025,https://open.spotify.com/track/01Qb6dN5suQNu87VJ1mIpf
72,SICKO MODE,Travis Scott,356919,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
73,Better,Khalid,345448,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
74,Dancing With A Stranger (with Normani),Sam Smith,337490,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
75,Easier,5 Seconds of Summer,335997,https://open.spotify.com/track/4tNXntkAzQ5A2dfYRYGIIQ
76,Only Human,Jonas Brothers,331914,https://open.spotify.com/track/0DiDStADDVh3SvAsoJAFMk
77,Better Now,Post Malone,326956,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
78,Tap (feat. Meek Mill),NAV,325101,https://open.spotify.com/track/5rU6kDNXZLXIinFezpbWbO
79,Daddy (feat. Rich The Kid),Blueface,320376,https://open.spotify.com/track/4hanO6Du5J7QEguNHYZHmw
80,Here With Me,Marshmello,319024,https://open.spotify.com/track/5icOoE6VgqFKohjWWNp0Ac
81,Without Me,Halsey,315605,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
82,Drip Too Hard (Lil Baby & Gunna),Lil Baby,315302,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
83,Sanguine Paradise,Lil Uzi Vert,314017,https://open.spotify.com/track/3XiNC94b4Tq1xwv70sQJGN
84,Beer Never Broke My Heart,Luke Combs,312173,https://open.spotify.com/track/7nfmK6oHPDlAd68A11d7AN
85,Youngblood,5 Seconds of Summer,310956,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
86,Whiskey Glasses,Morgan Wallen,308172,https://open.spotify.com/track/6foY66mWZN0pSRjZ408c00
87,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,304221,https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e
88,rockstar (feat. 21 Savage),Post Malone,303604,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
89,God's Country,Blake Shelton,302658,https://open.spotify.com/track/1dyxS3YzBbL0t8rEVwVQ1K
90,Lucid Dreams,Juice WRLD,302341,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
91,Look Back at It,A Boogie Wit da Hoodie,300344,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8
92,lovely (with Khalid),Billie Eilish,299277,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
93,High Hopes,Panic! At The Disco,298677,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
94,SOS (feat. Aloe Blacc),Avicii,298434,https://open.spotify.com/track/2x0RZdkZcD8QRI53XT4GI5
95,Saturday Nights,Khalid,293735,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8
96,ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift,292935,https://open.spotify.com/track/4MsUsFfWseB9M2plGJyuIw
97,Bohemian Rhapsody - Remastered 2011,Queen,292925,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
98,when the party's over,Billie Eilish,292869,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
99,Don't Stop Believin',Journey,292118,https://open.spotify.com/track/4bHsxqR3GMrXTxEPLuK5ue
100,Sweet but Psycho,Ava Max,291010,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
101,Murder On My Mind,YNW Melly,290582,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC
102,EARFQUAKE,"Tyler, The Creator",281809,https://open.spotify.com/track/5hVghJ4KaYES3BFUATCYn0
103,Body (feat. brando),Loud Luxury,281310,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
104,The Archer,Taylor Swift,274361,https://open.spotify.com/track/3Y7MHz19qCg1Pkxridtu1k
105,F.N,Lil Tjay,273868,https://open.spotify.com/track/0UPBidRYcgJ2mjZlk08V8x
106,Taste (feat. Offset),Tyga,273754,https://open.spotify.com/track/2toVe5hfuIi97ytDPDbQFt
107,Don't Check On Me (feat. Justin Bieber & Ink),Chris Brown,272579,https://open.spotify.com/track/7ILEWkpfdK6AjH2D7jppWk
108,Be Alright,Dean Lewis,272114,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
109,!,Trippie Redd,268954,https://open.spotify.com/track/1qtHdSxiavDgUPZgpGqehx
110,bury a friend,Billie Eilish,267946,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
111,Rodeo,Lil Nas X,267054,https://open.spotify.com/track/4ak7xjvBeBOcJGWFDX9w5n
112,Envy Me,Calboy,266175,https://open.spotify.com/track/7rvyVWja33WG9R97oeJAjx
113,Tequila,Dan + Shay,264760,https://open.spotify.com/track/42fw0rxRO2xbesF6mJfd4Y
114,Remember The Name (feat. Eminem & 50 Cent),Ed Sheeran,264640,https://open.spotify.com/track/0AtP8EkGPn6SwxKDaUuXec
115,Homicide (feat. Eminem),Logic,261510,https://open.spotify.com/track/7M2tXmeS15NAzEn7ABFeBg
116,Nonstop,Drake,260729,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
117,Mac 10,Trippie Redd,260521,https://open.spotify.com/track/2KEux6D75xjj6fdabXpeAu
118,I Like Me Better,Lauv,260325,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
119,The Bones,Maren Morris,255238,https://open.spotify.com/track/3npzogdOEiVsieXmmhBepL
120,"break up with your girlfriend, i'm bored",Ariana Grande,255063,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS
121,Hair Down (feat. Kendrick Lamar),SiR,254709,https://open.spotify.com/track/6sq5mqtS3jwJjvBHALknJH
122,"thank u, next",Ariana Grande,254192,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
123,ZEZE (feat. Travis Scott & Offset),Kodak Black,254040,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z
124,i love you,Billie Eilish,253402,https://open.spotify.com/track/6CcJMwBtXByIz4zQLzFkKc
125,Beautiful Crazy,Luke Combs,252741,https://open.spotify.com/track/2rxQMGVafnNaRaXlRMWPde
126,Who Do You Love,The Chainsmokers,251888,https://open.spotify.com/track/5QiNbIilmMiMBXvaAlf7lN
127,Girls Like You (feat. Cardi B),Maroon 5,250755,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
128,Don't Call Me Up,Mabel,246485,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
129,Shape of You,Ed Sheeran,243707,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
