,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Position,Track Name,Artist,Streams,URL
1,Next,Ufo361,4616981,https://open.spotify.com/track/1x4MJYA9mJRph3fygU51K4
2,Rolex,Capital Bra,3064497,https://open.spotify.com/track/38lQ7lYhN3eSWepnZHaiBF
3,Cherry Lady,Capital Bra,2835167,https://open.spotify.com/track/3r1cV21xPMkgCmxk8VqWOB
4,bad guy,Billie Eilish,2719102,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
5,Old Town Road,Lil Nas X,2591618,https://open.spotify.com/track/53CJANUxooaqGOtdsBTh7O
6,Quarterback,KC Rebell,2543188,https://open.spotify.com/track/0WGG3xWyW6AlXOaW6CHu4A
7,cOcO MAmA,Dardan,2455439,https://open.spotify.com/track/0oOPa0AlLnjCO6eci0HIdH
8,Wie im Traum,Ardian Bujupi,2453524,https://open.spotify.com/track/3ld409h4DdrdPJzEdeU1WS
9,Mercy Mercy,LX,2377371,https://open.spotify.com/track/3Zg80xruh2KHx3jXrkSz6u
10,Old Town Road (feat. Billy Ray Cyrus) - Remix,Lil Nas X,2240185,https://open.spotify.com/track/6u7jPi22kF8CTQ3rb9DHE7
11,Harami,Samra,2236128,https://open.spotify.com/track/5xIODxqlpUnRVA9ewZUCug
12,Mary,Bausa,2220234,https://open.spotify.com/track/6BZhkqUtaFJm57Hm5TTQSH
13,SOS,Avicii,2079492,https://open.spotify.com/track/6nDKrPlXdpomGBgAlO7UdP
14,Wolke 10,MERO,1982574,https://open.spotify.com/track/200cTjC6si5Xz9af2QeHi2
15,Blei (feat. Veysel),Kontra K,1935204,https://open.spotify.com/track/5kLUig6aFQQzY1n2TKzzYD
16,Con Calma,Daddy Yankee,1923994,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
17,Blackberry Sky,Eno,1894395,https://open.spotify.com/track/4cawYWrqMRz0T0hOIVxk6j
18,Don't Call Me Up,Mabel,1830352,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
19,Affalterbach,Shindy,1795114,https://open.spotify.com/track/1L8LtC2s161XwY6YrtnQjw
20,DNA,KC Rebell,1676382,https://open.spotify.com/track/43DtCXAz2qUJ4YiTX6ICT0
21,Wir ticken,Capital Bra,1667691,https://open.spotify.com/track/1ag6DENIjtcmRFCx5JjUng
22,Prinzessa,Capital Bra,1557360,https://open.spotify.com/track/0Tq0EhQpVeQJwV3E3P5Jti
23,Millies,Luciano,1540466,https://open.spotify.com/track/5lytS4eOWjLWKad2jipjc7
24,Alleen,KC Rebell,1523181,https://open.spotify.com/track/0geta4Y77R76wvOVlGWnsl
25,Shoote ma Shoote,Samra,1480849,https://open.spotify.com/track/7FOQJQcTDqzXZJ72hZikCl
26,Wer,Jigzaw,1476859,https://open.spotify.com/track/7rDQTLJHfihh90lauNKFag
27,ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift,1457055,https://open.spotify.com/track/4Sib57MmYGJzSvkW84jTwh
28,Yapma,C ARMA,1442243,https://open.spotify.com/track/1194zYf7UfSXP4omxVTmPa
29,Gib Ihm,Shirin David,1366063,https://open.spotify.com/track/5iIgIxtMNeogKaFUfvuAbs
30,Puerto Rico,Fero47,1348798,https://open.spotify.com/track/0ypCvaP431mEM6znlVHNRP
31,Moonlight,Gaullin,1288203,https://open.spotify.com/track/0A5gdlrpAuQqZ2iFgnqBFW
32,RADIO,Rammstein,1274306,https://open.spotify.com/track/1D3oQLA2xghgE1agGmDlPT
33,Bad Liar,Imagine Dragons,1242992,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3
34,Benzema,Capital Bra,1211828,https://open.spotify.com/track/0gyO8zq1Hw5GTQ33EXcc40
35,Hadouken,Capo,1208483,https://open.spotify.com/track/2ikAxrRiVneSwr7jMsRBkd
36,Sweet but Psycho,Ava Max,1207574,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
37,Pass auf wen du liebst,Ufo361,1202646,https://open.spotify.com/track/5NsCv3I7o0f6vSQScG01f1
38,Bye Bye,Capital Bra,1161358,https://open.spotify.com/track/60yqRJXgkrPEvP977ZIOWb
39,Mosaik,Samra,1120817,https://open.spotify.com/track/5nGrQOgkGVzqTGJHyEPvVu
40,Sucker,Jonas Brothers,1090993,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO
41,Let Me Down Slowly,Alec Benjamin,1072413,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
42,So Am I,Ava Max,1032869,https://open.spotify.com/track/0uUNN1nSoUx1A4fkDCWDQ7
43,Here With Me,Marshmello,1029358,https://open.spotify.com/track/5icOoE6VgqFKohjWWNp0Ac
44,DEUTSCHLAND,Rammstein,1015596,https://open.spotify.com/track/1T8IRUJBga0JXioJZvxjBR
45,Someone You Loved,Lewis Capaldi,1009115,https://open.spotify.com/track/2TIlqbIneP0ZY1O0EzYLlc
46,Plaza,Eno,1005148,https://open.spotify.com/track/15mOiiGu0TPiiBTKB4WYm7
47,Guadalajara (feat. Summer Cem),Bausa,1002570,https://open.spotify.com/track/0UtKZM25fa8kqy1k3sCiXG
48,500 PS,Bonez MC,991674,https://open.spotify.com/track/4UOXo3xWnxYdTf3sFyRaUG
49,Capital Bra je m'appelle,Capital Bra,967487,https://open.spotify.com/track/5bAZzGAgjY3SZHmciyh8h7
50,High Hopes,Panic! At The Disco,952547,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
51,2x,Mathea,951801,https://open.spotify.com/track/2pu5rVWy3zPlgypJzL3Mlw
52,Wow.,Post Malone,949207,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
53,7 rings,Ariana Grande,947711,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
54,i'm so tired...,Lauv,941450,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
55,Jay Jay,MERO,938258,https://open.spotify.com/track/3YxCKq3YPnTekAofhaHABZ
56,Later Bitches,The Prince Karma,923753,https://open.spotify.com/track/2MhnrAz9dreS8zLzEuDflG
57,bury a friend,Billie Eilish,893265,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
58,Lifestyle,LX,871235,https://open.spotify.com/track/5M4IVueKXd2OntcoUHIxdr
59,ICE,Shirin David,865306,https://open.spotify.com/track/2YC4rnhpt0sTIUcrIRHZSQ
60,Speechless (feat. Erika Sirola),Robin Schulz,850863,https://open.spotify.com/track/1rCcsYnmqbMYdkG7kS9GC5
61,3 Nights,Dominic Fike,844359,https://open.spotify.com/track/1tNJrcVe6gwLEiZCtprs1u
62,Ya Salame,Luciano,839465,https://open.spotify.com/track/0EDSU9JYeKABA14OcOuM7b
63,In My Mind,Dynoro,823821,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
64,So jung,Kianush,816980,https://open.spotify.com/track/5tMMgDL2xejIXui46nsB70
65,JAJA,Fero47,812120,https://open.spotify.com/track/5z3vuYzS9UF6rD6TmBEdUf
66,Shallow,Lady Gaga,809356,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
67,Van der Vaart,Capital Bra,803071,https://open.spotify.com/track/22X5tbeWf9jQQjl7zb63eU
68,Boy With Luv (feat. Halsey),BTS,788108,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
69,Perlmutt,Mert,786974,https://open.spotify.com/track/7aT0pXlRM2Alm5pa58J7NM
70,Never Go Back,Dennis Lloyd,764103,https://open.spotify.com/track/2QrXzOqLCVDRZHkToA0tSR
71,Ferrari,Eno,763306,https://open.spotify.com/track/4AgK0CwpwcekXVdAoYB2VO
72,Fragen,Azet,762089,https://open.spotify.com/track/3gs4lX2JSAFc8v8piogE3i
73,Baller los,MERO,757091,https://open.spotify.com/track/1uNzKXVNwq7jwV0rhjXqLB
74,Look Back at It,A Boogie Wit da Hoodie,752192,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8
75,Viva la Dealer,SDP,739904,https://open.spotify.com/track/2vuFdbSOLje3khV4rLSEpm
76,bis um 3,KALIM,737478,https://open.spotify.com/track/03SfDYmOPflD23iTL5qjiq
77,Wild Stare,Giant Rooks,736113,https://open.spotify.com/track/2SClPoLfPJmwrr3EyfgRTS
78,Steh auf,Capital Bra,730604,https://open.spotify.com/track/2IeMkz2ienHzdse2MsvKYv
79,don't lie to me,Lena,722391,https://open.spotify.com/track/6hyl5rtrQw0FyGOWueYQsd
80,Giant (with Rag'n'Bone Man),Calvin Harris,716067,https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd
81,Click Click,Capital Bra,714771,https://open.spotify.com/track/0AKDcdzjQ7CNjrqfXgwnMt
82,Hobby Hobby,MERO,711729,https://open.spotify.com/track/0dmrz4V5kiezQAqQ3VqGob
83,"Standard (feat. Trettmann, Gringo, Ufo361 & Gzuz)",KitschKrieg,708596,https://open.spotify.com/track/4Nip6oiJU24LqcUEi7u19S
84,Light It Up (with Tyga & Chris Brown),Marshmello,697792,https://open.spotify.com/track/4Q8aDd3H6LF8t4eY7So9O8
85,Open Up,Matt Simons,686066,https://open.spotify.com/track/7KgqURVRaVhqgyKno2mc1D
86,Kill This Love,BLACKPINK,683023,https://open.spotify.com/track/4pUCKHjJ4Ijewc37rRrvHn
87,when the party's over,Billie Eilish,675591,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
88,Lambo Gallardo,Samra,668278,https://open.spotify.com/track/2Xsrum5P2lfy3cMlOxtMWK
89,Schon ok,Capital Bra,667858,https://open.spotify.com/track/2s5nIYmnd65kDMLsPw1VuW
90,Ticket,Seeed,664721,https://open.spotify.com/track/6frjeqCOrcb010qUtilQ0K
91,Nomer Odin,Olexesh,657382,https://open.spotify.com/track/39APwU7CrTum5B7AHoRdfc
92,Cabriolet,Capital Bra,657010,https://open.spotify.com/track/5544wzOCuqHpqNELk3zYxA
