,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,
Position,Track Name,Artist,Streams,URL
1,M.I.L.S 2.0,Ninho,1670318,https://open.spotify.com/track/1qRZfv2ZbAZGPnfbIV3YvD
2,Fendi,Ninho,1495813,https://open.spotify.com/track/7BtAkqRFQjvOYOq5k5mlCb
3,Mafiosa (feat. Caroliina),Lartiste,1405801,https://open.spotify.com/track/0WxiQqTcK3ZErx2mMWgtm6
4,Coffrer,Ninho,1265134,https://open.spotify.com/track/6PvouhcF7NDx18gVoEzs14
5,La m?me,GIMS,1251754,https://open.spotify.com/track/7HK0UeyxUWJjc6ndRZVKFg
6,D?saccord?,Vald,1194253,https://open.spotify.com/track/0FYpW0zBO7cht8qGRY41Mz
7,Un Poco,Ninho,1189719,https://open.spotify.com/track/3MVTefqbeNX5yHFOmnHy3X
8,Gotham,Booba,1181826,https://open.spotify.com/track/1do4WVvFKBWnTSXfnYpHVZ
9,God's Plan,Drake,1140153,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
10,Bob Marley,Dadju,1056771,https://open.spotify.com/track/6L6yn9GeVqnlWX1npp6rAK
11,Pav?,Ninho,1023879,https://open.spotify.com/track/2E0sFoOodpQIaEpglLudU6
12,44 (feat. Yaro),Ninho,944130,https://open.spotify.com/track/46ZOMbOANX8TlyEamO31MJ
13,Mama No Cry,Ninho,930652,https://open.spotify.com/track/4N8n4MfJELgocG0SnRP7Tw
14,Bavard,Ninho,912599,https://open.spotify.com/track/7xt9NYYGj7c0efD9HFUShq
15,PGP,Ninho,868874,https://open.spotify.com/track/5JsTpRqcAbpDeXv1hc3nQ1
16,Vrais,Ninho,861567,https://open.spotify.com/track/6WfnzeciIa1Ta661GY9hue
17,Chacun son tour,Ninho,854014,https://open.spotify.com/track/3jUarNkmTi1ktPCzFC8tmx
18,Toutes options (feat. Blasko),Ninho,852147,https://open.spotify.com/track/7bz2Cq5KpA0kMLJjymDF1H
19,Fallait pas,Marwa Loud,825243,https://open.spotify.com/track/0fACF9oFLE2IOaEyRvRTrL
20,Lundi,Sofiane,770590,https://open.spotify.com/track/5RQ3ZyfOfJJ2qLKOZTmLiB
21,Mi Gna (feat. Hayko) - Ma?tre Gims Remix,GIMS,767957,https://open.spotify.com/track/3u3kWFntWbm4YrO5384wqF
22,Loup garou (feat. Sofiane),GIMS,748798,https://open.spotify.com/track/5fuSDvNupEYnbjhZh8mQAq
23,Call Out My Name,The Weeknd,726923,https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N
24,Hit Sale (feat. Rom?o Elvis),Therapie TAXI,726594,https://open.spotify.com/track/3yndKI4zWEyC36BQYrdKBA
25,Violet,Ninho,709499,https://open.spotify.com/track/14qKQZtx3VDh1EjqXBVYtW
26,FRIENDS,Marshmello,702961,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
27,Vai et viens,Lartiste,695389,https://open.spotify.com/track/6dAx0jUY9lnXEtBiK7e2ZZ
28,Bob,Ninho,694492,https://open.spotify.com/track/4O9zKeaMQAUB0L79ba1srr
29,Like I Do,David Guetta,608214,https://open.spotify.com/track/6RnkFd8Fqqgk1Uni8RgqCQ
30,All The Stars (with SZA),Kendrick Lamar,602189,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
31,X,Nicky Jam,592689,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
32,Billet,Marwa Loud,583337,https://open.spotify.com/track/5tblb3Aojs2S91eE1lxWxP
33,Yeux disent,Lomepal,567600,https://open.spotify.com/track/1uaAq8pSghvpVxlrOrgdeO
34,SAD!,XXXTENTACION,553776,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
35,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,539203,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
36,"Va Bene - Extrait de la BOF de ""Taxi 5""",L'Alg?rino,537365,https://open.spotify.com/track/7qibGVhkRyQ4kgYwzZu7iG
37,Fais-moi un Vie,Damso,524396,https://open.spotify.com/track/4TTLq43WaxxkYZE9mq9kPY
38,Psycho (feat. Ty Dolla $ign),Post Malone,518040,https://open.spotify.com/track/65NwOZqoXny4JxqAPlfxRF
39,Carton rouge,Lorenzo,517850,https://open.spotify.com/track/2teiVa4Yniofma2Ffac5cL
40,Leave a Light On,Tom Walker,516708,https://open.spotify.com/track/6lOWoTqVnAWXchddtTH31W
41,Nevermind,Dennis Lloyd,511108,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
42,Mwaka Moon,Kalash,496474,https://open.spotify.com/track/1vVZLmZq8gN8pPCEBLjPvD
43,Try Me,The Weeknd,486216,https://open.spotify.com/track/2poOAWEj1CStqTVPgIHZ8s
44,Mad Love,Sean Paul,481992,https://open.spotify.com/track/3soOPBuMK8YMdWnV7xpEyf
45,?chame La Culpa,Luis Fonsi,477523,https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK
46,Diarabi,Kaaris,472621,https://open.spotify.com/track/644Y6gowYTqtd2U2XNKzDS
47,Breathe,Feder,470634,https://open.spotify.com/track/5faMnd4SDjY9kFP4VpSPLi
48,F?te de trop,Eddy de Pretto,464500,https://open.spotify.com/track/34NiK5XnPwHp17MGlyewXA
49,Bandolero,Moha La Squale,449996,https://open.spotify.com/track/3N6Z0Vw427hDGCsXu5TwLS
50,All Night,Big Boi,445962,https://open.spotify.com/track/2Bb3mu3lfUrcRoTi3IcvQc
51,Recherch?,Naps,431735,https://open.spotify.com/track/4ogvY05K9yCI6RqsC4aYEn
52,Cam?l?on,GIMS,430603,https://open.spotify.com/track/1aZwu6M7UXQxaxpTLCMyhB
53,Reine,Dadju,430370,https://open.spotify.com/track/2HdCh16tdPjle1rm80Y6q7
54,Dragon,Vald,421447,https://open.spotify.com/track/6dotEcliwGD3yrJaUHO621
55,Moonlight,XXXTENTACION,416595,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
56,The Middle,Zedd,409591,https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m
57,Havana (feat. Young Thug),Camila Cabello,398073,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
58,Love Lies (with Normani),Khalid,396049,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
59,Wasted Times,The Weeknd,392802,https://open.spotify.com/track/72TyiiduRmczEbDIEtKQdR
60,Hurt You,The Weeknd,391185,https://open.spotify.com/track/13wNEvWmBsWaWVtiLPRIW5
61,Tueurs,Damso,391109,https://open.spotify.com/track/3IQe7wqTyXxkqeMR8is76T
62,TieksVie,Damso,388772,https://open.spotify.com/track/0IbEikMmfMHeR4oEcMUO8O
63,CQFD,Damso,386821,https://open.spotify.com/track/7KJDIC7u13vHV3FSNlVD2Z
64,Crazy,Lost Frequencies,383482,https://open.spotify.com/track/1ZtEZjYb4e0V0gqwRYeeAY
65,I Was Never There,The Weeknd,382353,https://open.spotify.com/track/56d6kYZhfhzpoC3s1dRU2V
66,IDGAF,Dua Lipa,381875,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
67,Sal?,Niska,378797,https://open.spotify.com/track/0uBu60Wd7yzm2sFrj2hSr6
68,Qu'est ce que t'as ?,Marwa Loud,372552,https://open.spotify.com/track/0ALYbFTZypQZLwDAPuYECq
69,Favela,Naps,372398,https://open.spotify.com/track/1xZA0qvWfCcsNlzZXmCnJh
70,Whatever It Takes,Imagine Dragons,371866,https://open.spotify.com/track/7F3uo3304R2CTvOseU3H7u
71,Wolves,Selena Gomez,369646,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC
72,Let You Down,NF,369536,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr
73,For You (Fifty Shades Freed) (& Rita Ora),Liam Payne,369404,https://open.spotify.com/track/5hM6sP0Gh1jD57drszNueC
74,Bizarre,Lorenzo,368520,https://open.spotify.com/track/6aXg1PPha0HbGxR53e9jh1
75,Breathe,Jax Jones,367893,https://open.spotify.com/track/6tvQzeCPwOytDlBYCIOY0n
76,River (feat. Ed Sheeran),Eminem,365503,https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD
77,Longue vie,Sofiane,364432,https://open.spotify.com/track/6U0p0b3ma0MgBwNc8i26xw
78,Pray For Me (with Kendrick Lamar),The Weeknd,360724,https://open.spotify.com/track/4ofvoCdXq99vpMZO4Cfp8x
79,Say Something (feat. Chris Stapleton),Justin Timberlake,359463,https://open.spotify.com/track/1LhMopPAallLeaeNutqbgS
80,Potentiel (feat. Orelsan),Lefa,356610,https://open.spotify.com/track/2QWl654rJmRbBcIidq45Vr
81,Ce qui est ? nous,Djadja & Dinaz,352134,https://open.spotify.com/track/1w44l2quvf2jiw8B9agTrd
82,Mine,Bazzi,351813,https://open.spotify.com/track/6tHWl8ows5JOZq9Yfaqn3M
83,Shape of You,Ed Sheeran,351680,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
84,Par amour,Dadju,350961,https://open.spotify.com/track/3alSzdz0U10gV2aXVigYkT
85,All Falls Down (feat. Juliander),Alan Walker,350762,https://open.spotify.com/track/5yFSF6qQA1rcLsQRnBsZgb
86,ƒ¡. Mosa?que solitaire,Damso,350241,https://open.spotify.com/track/1E3zyoTHtJzsu5CjwIFIhY
87,Medell?n,Niska,350177,https://open.spotify.com/track/1gI6FedOWXQ7aSj4FfEiGK
88,I Miss You (feat. Julia Michaels),Clean Bandit,349154,https://open.spotify.com/track/2xmrfQpmS2iJExTlklLoAL
89,Bling Bling,Kaaris,347765,https://open.spotify.com/track/4s7OqcUEyLJ1RkbzBopRGt
90,Noche,Lacrim,344572,https://open.spotify.com/track/4eUxD9V0Df1prftDNBpQ9Z
91,Tuba Life,Niska,341766,https://open.spotify.com/track/2r6C2IEw533mDs3sam5Zxx
92,J'souris,Djadja & Dinaz,338915,https://open.spotify.com/track/7CyCDNO5khwT0eKONyOook
93,Sous contr?le,Dadju,338488,https://open.spotify.com/track/64qdods9r5p6wovmRZdyg3
94,Tu ne le vois pas (feat. Dadju),GIMS,336172,https://open.spotify.com/track/3Saj2Z6EREWpbbXzERwYye
95,Guerilla,Soolking,331718,https://open.spotify.com/track/3w8yBGCi5jm2rKsrsHJpdD
96,Who Mad Again,Jahyanai,331150,https://open.spotify.com/track/6sZ2zjebkPsXTrxhvaRFJF
97,Rose,Ninho,329340,https://open.spotify.com/track/4Ln4KAwk37peyCh2QpqYnP
98,Un peu de r?ve (en duo avec Claudio Cap?o),Vitaa,329304,https://open.spotify.com/track/0kiNe5qx5O3CccrvsYL4Y6
99,Sheguey 12,Gradur,327543,https://open.spotify.com/track/1ikr1xdMpXnbQW0hu9fGl5
100,rockstar,Post Malone,326004,https://open.spotify.com/track/2U7Hu2RaNQNRi7izoJyZaX
101,Sick Boy,The Chainsmokers,324222,https://open.spotify.com/track/2JfXj2TERIkHwJpnG9f8uX
