S,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,
Position,Track Name,Artist,Streams,URL
1,Angela,Hatik,2074228,https://open.spotify.com/track/6ab3CQvDlAVttThZucwGQ1
2,JAUN?,Booba,1938480,https://open.spotify.com/track/4fW3EMRzAfj8aNMsF3zMwt
3,Blinding Lights,The Weeknd,1568981,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
4,Roses - Imanbek Remix,SAINt JHN,1417029,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
5,Lettre ? une femme,Ninho,1302889,https://open.spotify.com/track/5HEtuK03ygUzqca6yfgOYZ
6,6.3,Naps,1214495,https://open.spotify.com/track/3lTL4LdFKVF51lseI2nk5D
7,Tusa,KAROL G,1193232,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
8,ily (i love you baby) (feat. Emilee),Surf Mesa,1187614,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
9,Mele?im,Soolking,1175714,https://open.spotify.com/track/0BD9boQC7jUTWkAoib4Z0d
10,Bro Bro,Zola,1103804,https://open.spotify.com/track/4mtY2gjqFFWTMnzaQPvERm
11,Sousou,Jul,1097812,https://open.spotify.com/track/3dyoo6UNb2VlMTISBqrDb1
12,Skechers,DripReport,1097519,https://open.spotify.com/track/2alc8VZAzDgdAsL2QMk3hu
13,death bed (coffee for your head),Powfu,1066159,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
14,Blanche,Maes,1060277,https://open.spotify.com/track/5GyyPRvEwdI4wJSUbzxHQv
15,MAMACITA,Black Eyed Peas,1054126,https://open.spotify.com/track/14wf185UxfNbSy8dwt4r4q
16,Criminel (feat. Niska),Bramsito,1040492,https://open.spotify.com/track/3AWs5kIyjFDVsAtofkFU7L
17,Toosie Slide,Drake,1014327,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
18,Distant,Maes,960555,https://open.spotify.com/track/1Sb7QJRawbARgpMqyYNMkT
19,Rain On Me (with Ariana Grande),Lady Gaga,912942,https://open.spotify.com/track/24ySl2hOPGCDcxBxFIqWBu
20,Zipette,Ninho,910542,https://open.spotify.com/track/1Lulg5ZiMEXy3QNwb1PB8I
