,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Dance Monkey","Tones And I",44439902,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
2,ROXANNE,"Arizona Zervas",31485166,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
3,Memories,"Maroon 5",28348963,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
4,Heartless,"The Weeknd",28298094,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
5,"everything i wanted","Billie Eilish",27081940,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
6,Circles,"Post Malone",26093189,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
7,"Blinding Lights","The Weeknd",26070135,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
8,"Don't Start Now","Dua Lipa",25181606,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
9,"All I Want for Christmas Is You","Mariah Carey",22394175,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
10,"RITMO (Bad Boys For Life)","Black Eyed Peas",22331599,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
11,"Someone You Loved","Lewis Capaldi",21979719,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
12,Señorita,"Shawn Mendes",21139630,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
13,"Lose You To Love Me","Selena Gomez",20690962,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
14,Falling,"Trevor Daniel",20635758,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
15,Tusa,"KAROL G",20584187,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
16,"HIGHEST IN THE ROOM","Travis Scott",18602268,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
17,Vete,"Bad Bunny",18447897,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c
18,"hot girl bummer",blackbear,17826384,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
19,"Last Christmas",Wham!,17615075,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
20,"bad guy","Billie Eilish",16469192,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
21,"Ride It",Regard,16039012,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
22,"Santa Tell Me","Ariana Grande",14107437,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
23,"Before You Go","Lewis Capaldi",13644675,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
24,China,"Anuel AA",13618990,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
25,"Beautiful People (feat. Khalid)","Ed Sheeran",13500128,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
26,"Watermelon Sugar","Harry Styles",12448702,https://open.spotify.com/track/1e9oZCCiX42nJl0AcqriVo
27,"10,000 Hours (with Justin Bieber)","Dan + Shay",12374844,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
28,"It's Beginning to Look a Lot like Christmas","Michael Bublé",12258394,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
29,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",12093137,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
