,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,夜に駆ける,YOASOBI,1648360,https://open.spotify.com/track/3dPtXHP0oXQ4HCWHsOA9js
2,香水,Eito,1333730,https://open.spotify.com/track/6y7FocfzyzkGLSHQdJVHhq
3,Pretender,"Official HIGE DANdism",1143939,https://open.spotify.com/track/15HNdxGKNCIO9pgaY4n7FU
4,"I Love...","Official HIGE DANdism",1034339,https://open.spotify.com/track/4pRqq3MwcqitKqNO8rOrOb
5,白日,"King Gnu",1008132,https://open.spotify.com/track/4wel6DQu0dMVBRVn2ZTPoy
6,春を告げる,yama,841874,https://open.spotify.com/track/2Gmyw5Vg2X5YW2lM3OC7nD
7,Shukumei,"Official HIGE DANdism",840753,https://open.spotify.com/track/0XaHPBAzPAC5ubwcRBqc1p
8,115万キロのフィルム,"Official HIGE DANdism",793954,https://open.spotify.com/track/278JqkBGkjDovOYAwE8TW7
9,Yesterday,"Official HIGE DANdism",747055,https://open.spotify.com/track/1kMlcLyljkrShV0LSdSGBz
10,紅蓮華,LiSA,729833,https://open.spotify.com/track/23DbzwNJSLo7nkSWjODMvY
11,マリーゴールド,Aimyon,725255,https://open.spotify.com/track/2cKiHG16JBiqHdi7Llq0r7
12,ノーダウト,"Official HIGE DANdism",698877,https://open.spotify.com/track/5DMEvbg3gUmiR5HIBWdveV
13,まちがいさがし,"Masaki Suda",684768,https://open.spotify.com/track/4Jj31lihp5Nvdi4lFRjrqc
14,裸の心,Aimyon,653590,https://open.spotify.com/track/11OHUXwYHjsRNysUDdO2JS
15,"MORE & MORE",TWICE,650290,https://open.spotify.com/track/2bAAj29XGc4h1G4oEGYCmg
16,ただ君に晴れ,ヨルシカ,643573,https://open.spotify.com/track/3wJHCry960drNlAUGrJLmz
17,"猫 〜THE FIRST TAKE ver.〜",DISH//,621109,https://open.spotify.com/track/6F0aYmicNttntvth7FXQEx
18,ハルジオン,YOASOBI,608332,https://open.spotify.com/track/7HneEBTvTra2CRYsxgMOAi
19,"snow jam",Rin音,605475,https://open.spotify.com/track/6uUtmCz8XXep7n1QmC1jJG
20,パラボラ,"Official HIGE DANdism",588904,https://open.spotify.com/track/51JOzfozDdPMKxyEccRltg
21,"Walking with you",Novelbright,573502,https://open.spotify.com/track/7tGDXCPLpAScEwmqab9YZd
22,ハルノヒ,Aimyon,568062,https://open.spotify.com/track/7GYGVDPbi0zQUBIkuOPAY0
23,僕のこと,"Mrs. GREEN APPLE",565327,https://open.spotify.com/track/0tnhoHUrHfcLi9hPknUFZ4
24,青と夏,"Mrs. GREEN APPLE",560024,https://open.spotify.com/track/5BC6kr6etk2Y9J62AyI4i3
25,点描の唄,"Mrs. GREEN APPLE",558672,https://open.spotify.com/track/1sIIlVrnPhrvmTrHtzM7tV
26,さよならエレジー,"Masaki Suda",533853,https://open.spotify.com/track/0QKmcZNAST4GytJYmkN05D
27,インフェルノ,"Mrs. GREEN APPLE",529798,https://open.spotify.com/track/2vOAHp8PBBFYqvQUWSoITY
28,君はロックを聴かない,Aimyon,511665,https://open.spotify.com/track/59eluCMn0XbOWqeWQ91FTM
29,怪物さん,"Ken Hirai",502618,https://open.spotify.com/track/1heN1fuesAqx4WRlQFkCLJ
30,飛行艇,"King Gnu",502280,https://open.spotify.com/track/6Ea33AvEANARkK2QduzhRm
31,"Rain On Me (with Ariana Grande)","Lady Gaga",485592,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
32,未完成,"Leo Ieiri",485224,https://open.spotify.com/track/10mmoWFRBG9mlLekSWYzWT
33,別の人の彼女になったよ,wacci,484702,https://open.spotify.com/track/5TIMNeqGc26Ohw0yfcAfGB
34,"Stand By You","Official HIGE DANdism",476974,https://open.spotify.com/track/7Ca8EuTCyU3pjJR4TNOXqs
35,ロマンチシズム,"Mrs. GREEN APPLE",463030,https://open.spotify.com/track/0JcI7OdALbpSFkyKoufRYs
36,あなたがいることで,Uru,454667,https://open.spotify.com/track/6baeV3RT4kpivo327DC3AM
37,"Teenager Forever","King Gnu",445778,https://open.spotify.com/track/1jtBcfrVYDtykjyM66hroR
38,HANABI,Mr.Children,442451,https://open.spotify.com/track/77lmDcPPyY6kK907gdgC6i
39,今夜このまま,Aimyon,434813,https://open.spotify.com/track/6kKvmT4i0Dercz6f3kftg3
40,高嶺の花子さん,"back number",432158,https://open.spotify.com/track/2jdbZGFp8KVTuk0YxDNL4l
41,ハッピーエンド,"back number",427368,https://open.spotify.com/track/0ssEfLe9aqPhMmLXKqBw6J
42,奏(かなで),"Sukima Switch",427102,https://open.spotify.com/track/5RbMlPFL4gVyEHW2lEOuzG
43,どろん,"King Gnu",420892,https://open.spotify.com/track/2JY4tbfUERXveQxv6wTFFv
44,"bad guy","Billie Eilish",417279,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
45,366日,HY,411444,https://open.spotify.com/track/22aZD7yaGYfhgCYazL4nbc
46,傘,"King Gnu",407768,https://open.spotify.com/track/3JdeDiWCJW7KFLr58GHrSQ
47,"Turning Up",ARASHI,407630,https://open.spotify.com/track/4zdQmfTLWgGd5mAX4MUIaX
48,"Wherever you are","ONE OK ROCK",405916,https://open.spotify.com/track/7a7EIFzJLd7lcDRgThMQgm
49,ワタリドリ,[Alexandros],401607,https://open.spotify.com/track/0ve9Tpz8Yw0I4eXhWsy21o
50,Vintage,"Official HIGE DANdism",393350,https://open.spotify.com/track/0VJjfALZ6SuIQumrTgF3tJ
51,"Feel Special",TWICE,311750,https://open.spotify.com/track/2HtcPHFdo7eu4Ilbvb0BVI
52,秒針を噛む,ZUTOMAYO,309639,https://open.spotify.com/track/4HgsPAX3MmMgIT60hJ4W4U
53,us,milet,291251,https://open.spotify.com/track/13KOSEIdzpafSyYCUldj7z
54,だから僕は音楽を辞めた,ヨルシカ,269091,https://open.spotify.com/track/5j7ixaLeGTGSv4DzKs0pCM
55,"Never Grow Up",CHANMINA,265605,https://open.spotify.com/track/5aDgM8rYPT15CqjkN1EIKq
56,夜永唄,"KAMI WA SAIKORO WO FURANAI",259026,https://open.spotify.com/track/3wGeCSeMbiFUryh5MZ4iNT
57,猫,DISH//,258050,https://open.spotify.com/track/3NP2nqAgMELIV3MAhrFNMx
58,あの夢をなぞって,YOASOBI,245287,https://open.spotify.com/track/4BE1OloRc9xwjyqA4wFFuN
59,小さな恋のうた,MONGOL800,243269,https://open.spotify.com/track/23atyJacJVHvB9RHBNhr35
60,花に亡霊,ヨルシカ,240968,https://open.spotify.com/track/53maoOKr6j04iqk6qjdvQN
61,空の青さを知る人よ,Aimyon,239370,https://open.spotify.com/track/3u0e8pyoVc7l2u3T5thohY
62,Lovers,sumika,233582,https://open.spotify.com/track/3pwe5YS438tETO53DSfTnl
63,打上花火,DAOKO,232611,https://open.spotify.com/track/4IouQaO9GkaHC7AtMErdSa
64,プロローグ,Uru,229324,https://open.spotify.com/track/3LhiOBfTSTjfpwdElYyE8k
65,HACK,"Shuta Sueyoshi",228521,https://open.spotify.com/track/6sUsZUvJ1RxXK80EG3DQM2
66,花束,"back number",227327,https://open.spotify.com/track/3QIAwtEEDOrv0g5NKCGrXZ
67,"Blinding Lights","The Weeknd",223091,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
68,"Sour Candy (with BLACKPINK)","Lady Gaga",222595,https://open.spotify.com/track/1IWNylpZ477gIVUDpJL66u
69,"Wasted Nights","ONE OK ROCK",221031,https://open.spotify.com/track/39LyUQIy7idLxPdsjyZsxe
70,お勉強しといてよ,ZUTOMAYO,220370,https://open.spotify.com/track/6k90ibcH1z8Mx9684nfuLW
71,君がくれた夏,"Leo Ieiri",219668,https://open.spotify.com/track/6woHdm2NKm0RHbuO7qt4ww
72,優しさ,"Fujii Kaze",217408,https://open.spotify.com/track/0f3Ce9xjHymExIpEyHUC8D
73,"Shape of You","Ed Sheeran",214988,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
74,愛をこめて花束を,Superfly,212398,https://open.spotify.com/track/7CmWXD3w1xOO53AAO4LRVQ
75,願い,sumika,212173,https://open.spotify.com/track/0ophTl8mevsVgtH7V0XV0g
76,"Intentions (feat. Quavo)","Justin Bieber",207663,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
77,春愁,"Mrs. GREEN APPLE",206360,https://open.spotify.com/track/5SHguvOUbyPTINNjCvRo8K
78,"Stuck with U (with Justin Bieber)","Ariana Grande",205842,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
79,かくれんぼ,優里,203688,https://open.spotify.com/track/0JTjZnuciQH4M3620aMDtZ
80,ひまわりの約束,"Motohiro Hata",203360,https://open.spotify.com/track/45jGOHwYKgsRYbAJ8DR61d
81,"Don't Start Now","Dua Lipa",200090,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
82,灯火,Vaundy,199868,https://open.spotify.com/track/0YdCBegk4nNMCOeuiY5L0k
83,"Be Kind (with Halsey)",Marshmello,198234,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
84,"Closer - Tokyo Remix","The Chainsmokers",195884,https://open.spotify.com/track/5PYnqtWbSBJTJFl4Ui55HE
85,新宝島,Sakanaction,195640,https://open.spotify.com/track/6ODZT1FGTE2q4two05giS1
86,トリコ,Nissy,193874,https://open.spotify.com/track/7H5uStZMOGpcVw7eW0eyTi
87,FANCY,TWICE,193144,https://open.spotify.com/track/0W5hTAWn8Tq0Qfhg1XP3YW
88,"Boss Bitch","Doja Cat",192418,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
89,"Break My Heart","Dua Lipa",191477,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
90,Time,"Hikaru Utada",191339,https://open.spotify.com/track/1M1jLhhnhXRoM4yHd4vAuW
91,天体観測,"BUMP OF CHICKEN",190080,https://open.spotify.com/track/3hRRYgBeunE3PTmnzATTS0
92,春ひさぎ,ヨルシカ,188064,https://open.spotify.com/track/3opvzEeKvkWEKi0TV2ePbC
93,全力少年,"Sukima Switch",186748,https://open.spotify.com/track/3Ztjw8utVpcrzms1RrsJvR
94,いつか,"Saucy Dog",185748,https://open.spotify.com/track/0v3iUTe5rskRsxbUhboRlT
95,愛唄,GReeeeN,181105,https://open.spotify.com/track/7iXHLtPosbHvglVSJ4rxLq
96,眠り姫,"SEKAI NO OWARI",180442,https://open.spotify.com/track/45K0qNLo4nltgbQ7c6bfqs
97,さよならの今日に,Aimyon,179216,https://open.spotify.com/track/5B7hOlz4fU7LV5i6sfFBx2
98,チェリー,SPITZ,177462,https://open.spotify.com/track/1ihCiJaXRl4f6Sy4LJov5z
99,ヒカリヘ,miwa,176970,https://open.spotify.com/track/7mlHSPccMPEiGYxWUqEURC
100,アイデア,"Gen Hoshino",175881,https://open.spotify.com/track/7jgqNMnqAT9FghC1uSYTFF
101,夢花火,Novelbright,175511,https://open.spotify.com/track/4CqQqMqOQKuvAUDyTDRvtv
102,CHEERS,"Mrs. GREEN APPLE",174025,https://open.spotify.com/track/3VfcTMAgdty9VYOgeuyqiN
103,祈り花,HIRAIDAI,172356,https://open.spotify.com/track/5G24eB35Ucu4A8MPKLNV9B
104,貴方解剖純愛歌〜死ね〜,Aimyon,172135,https://open.spotify.com/track/2H3bOGOE50qEo5wAYoJiwL
105,Hug,空音,172016,https://open.spotify.com/track/4cHB6U8fasfxq7XD8uNxuK
106,ヒロイン,"back number",167622,https://open.spotify.com/track/3hBAYbAECEix9raaTq8S3H
107,明日も,SHISHAMO,167558,https://open.spotify.com/track/2GICOigS4ByugDisRegs3M
108,丸ノ内サディスティック,"Sheena Ringo",166865,https://open.spotify.com/track/1mWN1USPKg632qQXG9sfDL
109,会いたいわ,iri,165724,https://open.spotify.com/track/5g1SvaEtzlKEqre9FbPQEc
110,愛を伝えたいだとか,Aimyon,165245,https://open.spotify.com/track/0N8Xztr4pBHJ7V0moJWhbO
111,クリスマスソング,"back number",165225,https://open.spotify.com/track/5P8ZvBQoCrujjNcLAxO3Su
112,"Watermelon Sugar","Harry Styles",165186,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
113,"Love so sweet",ARASHI,164377,https://open.spotify.com/track/5I6JLJqnZICLvPebTj2YCm
114,"If I Can't Have You","Shawn Mendes",164099,https://open.spotify.com/track/2bT1PH7Cw3J9p3t7nlXCdh
115,リブート,miwa,163856,https://open.spotify.com/track/5bTgpL0eRxUX8BLl0ZlGpL
116,浮気されたけどまだ好きって曲。,りりあ。,163670,https://open.spotify.com/track/5VDFdX4rP5EN3U7UKSZiE7
117,欲望に満ちた青年団,"ONE OK ROCK",163657,https://open.spotify.com/track/6D6Pybzey0shI8U9ttRAPx
118,恋,"Gen Hoshino",163603,https://open.spotify.com/track/1flvuaMS27JxpEBL0u2cWc
119,コイワズライ,Aimer,163270,https://open.spotify.com/track/5v2xgL8y4XI0hi50cU574j
120,"POP STAR","Ken Hirai",162855,https://open.spotify.com/track/0cSG1OS8sQpcT0PEXvUSzT
121,WANNABE,ITZY,161331,https://open.spotify.com/track/6tCssnvTUREcperDOUTqvA
122,アイノカタチ,MISIA,159578,https://open.spotify.com/track/76flsS3UnNr7UQIz6JmVT3
123,"WanteD! WanteD!","Mrs. GREEN APPLE",159271,https://open.spotify.com/track/7M3TZDUNvaNBo0qtWVaZif
124,恋人ごっこ,"Macaroni Empitsu",158640,https://open.spotify.com/track/2SihT7AVMiI2VtaAyVIcnO
125,2002,Anne-Marie,158193,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
126,"Dance Monkey","Tones And I",157737,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
127,"Life goes on",HIRAIDAI,156901,https://open.spotify.com/track/5MuDopbi2aVxg8HjwJd3T6
128,"YES or YES",TWICE,154659,https://open.spotify.com/track/184XtKkzoAl83quIarUAJP
129,Kabutomushi,aiko,154396,https://open.spotify.com/track/4kRbmjHl6Ncxsmzl4cJdg4
130,Mela!,"Ryokuoushoku Shakai",153429,https://open.spotify.com/track/6fF4cFFiKsb2T2IFHaXezn
131,ともに,WANIMA,153422,https://open.spotify.com/track/6FHgHDXiGnRfhrSok9xAz3
132,"Boy With Luv (feat. Halsey)",BTS,153413,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
133,みかんハート,C&K,153252,https://open.spotify.com/track/1H9jJvALjdKH3C3Ol0w765
134,ICY,ITZY,153233,https://open.spotify.com/track/7zFBtYAVURF3bUVqEQ6UUu
135,真夏の夜の匂いがする,Aimyon,152955,https://open.spotify.com/track/34s49nvRfQy1kzx7DBqVRC
136,umbrella,"SEKAI NO OWARI",152072,https://open.spotify.com/track/4Sns2THJnBHYlSFFfYinbV
137,Memories,"Maroon 5",150445,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
138,"What is Love",TWICE,149563,https://open.spotify.com/track/1IX47gefluXmKX4PrTBCRM
139,シュガーソングとビターステップ,"UNISON SQUARE GARDEN",149123,https://open.spotify.com/track/6uR92injo4PDzSrOPRFfHt
140,また逢う日まで,HIRAIDAI,147742,https://open.spotify.com/track/3awymLmIrvn9lkJeFpmRSf
141,SUN,"Gen Hoshino",147290,https://open.spotify.com/track/1DOZa2VoazIiDjGYlUQTlW
142,ファンファーレ,sumika,147248,https://open.spotify.com/track/185espHo2bItrvYrUUkDhe
143,Closer,"The Chainsmokers",146640,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
144,アスノヨゾラ哨戒班,MARY,146334,https://open.spotify.com/track/6MzEXh13iE5RV4mmL1jcq6
145,キセキ,GReeeeN,144434,https://open.spotify.com/track/7ztdl6cnbJgHRdMkKldkts
146,Attitude,"Mrs. GREEN APPLE",143989,https://open.spotify.com/track/7zbsxhqTb3yDICWuNBCodY
147,"Lose Somebody",Kygo,143764,https://open.spotify.com/track/1sgDyuLooyvEML4oHspNza
148,優しいあの子,SPITZ,142905,https://open.spotify.com/track/29RAzfejW1O69okBQXibca
149,カタオモイ,Aimer,142771,https://open.spotify.com/track/6g93YtKKHU2H1qIqhLIL0Y
150,恋音と雨空,AAA,141653,https://open.spotify.com/track/46gSY0U7ZZCmd7EuJuo15N
151,"I Don't Care (with Justin Bieber)","Ed Sheeran",141181,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
152,ドラマ,C&K,140779,https://open.spotify.com/track/1Wrvk37yFyc31RUbzCmI3r
153,"Stand Out Fit In","ONE OK ROCK",139737,https://open.spotify.com/track/4zXRMjTaeflesB3Ih4eHnJ
154,"足音 ~Be Strong",Mr.Children,139519,https://open.spotify.com/track/1NKf7YQ4jsRc5zCPzqbexT
155,異端なスター,"Official HIGE DANdism",139489,https://open.spotify.com/track/6vtHQ7FcAXSOKSOeaBm5bc
156,小さな惑星,"King Gnu",138989,https://open.spotify.com/track/6eRs5SaiDOaGJ5AceBnrsk
157,Señorita,"Shawn Mendes",138867,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
158,花束のかわりにメロディーを,"Shota Shimizu",138836,https://open.spotify.com/track/4jaaMznp3KPllxbmRdiIbx
159,ロビンソン,SPITZ,138364,https://open.spotify.com/track/0sVnyL71jTOuMt9TZ59bws
160,"Slow & Easy",HIRAIDAI,138212,https://open.spotify.com/track/4b5oBON2DgamONUxvP4JyQ
161,CHE.R.RY,YUI,138047,https://open.spotify.com/track/5N61UhnB7krCVaThWoWN8s
162,夏夜のマジック,"Indigo la End",137542,https://open.spotify.com/track/144pIQC3mpmUkZXMt8fIwb
163,"I gotta go",GeG,137163,https://open.spotify.com/track/5EBsireOwbvRqFb0md9BDu
164,楓,SPITZ,136216,https://open.spotify.com/track/0b7IBgZjedM53ufZV4f4CL
165,星影のエール,GReeeeN,135286,https://open.spotify.com/track/0olDaDIw7wgrfAuBhF1vkm
166,lovin',"Mrs. GREEN APPLE",135097,https://open.spotify.com/track/19kF4PkH9RmZlMSEOhSgdQ
167,鱗(うろこ),"Motohiro Hata",134852,https://open.spotify.com/track/4IubwxgmXeZtDtYjTaT9gN
168,"inside you",milet,134032,https://open.spotify.com/track/4R2qlh7QftdrGi8Ruj449F
169,"My Boo","Shota Shimizu",133830,https://open.spotify.com/track/2gasr6aemUqZIBBN05EO03
170,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,133748,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
171,"See You Again (feat. Charlie Puth)","Wiz Khalifa",133677,https://open.spotify.com/track/2JzZzZUQj3Qff7wapcbKjc
172,ブルーベリー・ナイツ,"Macaroni Empitsu",133360,https://open.spotify.com/track/2UdvMWk0Z83lMJPbawy2Sm
173,栞,"Creep Hyp",133074,https://open.spotify.com/track/2Bsg6EfrmEx0x0eC8v4vuG
174,何度でも,"DREAMS COME TRUE",132240,https://open.spotify.com/track/6Qq8UOS6QzeSYFUVXC5wEB
175,"Party Girl",StaySolidRocky,132191,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l
176,Letter,SHE'S,132154,https://open.spotify.com/track/2nQKYbGNLcxERH4SlAUqIL
177,Vinyl,"King Gnu",130766,https://open.spotify.com/track/2zbWCme3Dvp8071b4R4nkY
178,Supalonely,BENEE,130697,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
179,"ily (i love you baby) (feat. Emilee)","Surf Mesa",130490,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
180,HIP,MAMAMOO,130343,https://open.spotify.com/track/24nK8tW7Pt3Inh2utttuoG
181,"Toosie Slide",Drake,129992,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
182,Happiness,ARASHI,129846,https://open.spotify.com/track/5p2NSsBiaKK1CJwM7Rc1Yp
183,君に届け,flumpool,129845,https://open.spotify.com/track/0kA7SWxWPYqSyIbMl51X5b
184,"Dance The Night Away",TWICE,129837,https://open.spotify.com/track/3t723PlEADna6GjgquoMRW
185,"Savage Remix (feat. Beyoncé)","Megan Thee Stallion",129785,https://open.spotify.com/track/5v4GgrXPMghOnBBLmveLac
186,ECHO,"Little Glee Monster",129336,https://open.spotify.com/track/3l88VGmIhhQPJQGBTkstJS
187,"death bed (coffee for your head)",Powfu,128689,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
188,"Love so sweet : Reborn",ARASHI,128449,https://open.spotify.com/track/2juZoVFqQWH4lacfDMkNHY
189,瞳をとじて,"Ken Hirai",127901,https://open.spotify.com/track/0HNjbkU16hrxLhMEm3MD0C
190,いつかこの涙が,"Little Glee Monster",127337,https://open.spotify.com/track/3dreSfXDAs97mmSmXAObc0
191,"The Beginning","ONE OK ROCK",127013,https://open.spotify.com/track/4f3nDjgqXurMryYBSp0TZD
192,"Roses - Imanbek Remix","SAINt JHN",126073,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
193,シグナル,WANIMA,125960,https://open.spotify.com/track/4Ybp3UvVXvraRNwOCWnrNq
194,アボイドノート,"Mrs. GREEN APPLE",124263,https://open.spotify.com/track/3F6hLslmlD9k5qRZdn5Gab
195,ON,BTS,123852,https://open.spotify.com/track/2QyuXBcV1LJ2rq01KhreMF
196,東京フラッシュ,Vaundy,123692,https://open.spotify.com/track/6etVkKF8FAy4jXcSl8jlEO
197,"Blueberry Faygo","Lil Mosey",123219,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
198,"Prayer X","King Gnu",121818,https://open.spotify.com/track/6FMelWDNGnYBva29R4d0tq
199,誰にも言わない,"Hikaru Utada",121744,https://open.spotify.com/track/4Azd18vgpAqlvrcb3KAHJo
200,"eight(Prod.&Feat. SUGA of BTS)",IU,121255,https://open.spotify.com/track/0pYacDCZuRhcrwGUA5nTBe
