,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Smoorverliefd,Snelle,2950364,https://open.spotify.com/track/2ryMKWtH2SEQY8fTAclFYb
2,"Blinding Lights","The Weeknd",1883429,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
3,Memories,Boef,1695609,https://open.spotify.com/track/7muicvRPVglfHRtBHpSFqH
4,"Dance Monkey","Tones And I",1610036,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
5,"Pa Olvidarte (Beste Zangers Seizoen 2019)","Emma Heesters",1489057,https://open.spotify.com/track/1RO8Q3w2Jkir8cvvGEApI0
6,ROXANNE,"Arizona Zervas",1306287,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
7,Memories,"Maroon 5",1223098,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
8,"Don't Start Now","Dua Lipa",1186175,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
9,Yummy,"Justin Bieber",1147467,https://open.spotify.com/track/41L3O37CECZt3N7ziG2z7l
10,"The Box","Roddy Ricch",1139635,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
11,"everything i wanted","Billie Eilish",1067977,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
12,"Ze Huilt Maar Ze Lacht",Maan,1024705,https://open.spotify.com/track/0JWaEkQmU8oaSukOBCbrJC
13,Circles,"Post Malone",1014092,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
14,"Ride It",Regard,985248,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
15,Falling,"Trevor Daniel",957788,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
16,"Before You Go","Lewis Capaldi",953113,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
17,"3 Nights","Dominic Fike",920782,https://open.spotify.com/track/0uI7yAKUf52Cn7y3sYyjiX
18,"Life Is Good (feat. Drake)",Future,879281,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
19,"Ze Kent Mij",Snelle,861731,https://open.spotify.com/track/3BiBIgQFa8K4EOxisyhXX7
