,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"God's Plan",Drake,5057297,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
2,"Psycho (feat. Ty Dolla $ign)","Post Malone",3411335,https://open.spotify.com/track/65NwOZqoXny4JxqAPlfxRF
3,IDGAF,"Dua Lipa",2885705,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
4,"All The Stars (with SZA)","Kendrick Lamar",2824435,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
5,FRIENDS,Marshmello,2665873,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
6,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,2624789,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
7,Barking,Ramz,2291851,https://open.spotify.com/track/7amMgNDcObIDkIXv4xcvc2
8,"Feel It Still","Portugal. The Man",1952065,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK
9,"River (feat. Ed Sheeran)",Eminem,1942583,https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD
10,"Pray For Me (with Kendrick Lamar)","The Weeknd",1818812,https://open.spotify.com/track/4ofvoCdXq99vpMZO4Cfp8x
11,"This Is Me","Keala Settle",1751645,https://open.spotify.com/track/2xGjteMU3E1tkEPVFBO08U
12,"Look Alive (feat. Drake)","BlocBoy JB",1731015,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
13,"Never Be the Same","Camila Cabello",1609414,https://open.spotify.com/track/4eWQlBRaTjPPUlzacqEeoQ
14,Breathe,"Jax Jones",1539727,https://open.spotify.com/track/6tvQzeCPwOytDlBYCIOY0n
15,"For You (Fifty Shades Freed) (& Rita Ora)","Liam Payne",1497931,https://open.spotify.com/track/5hM6sP0Gh1jD57drszNueC
16,"Fine Line (with Not3s)",Mabel,1478522,https://open.spotify.com/track/3CmDfdlhSnRvoNeCwXWvh1
17,"My Lover - Radio Edit",Not3s,1458518,https://open.spotify.com/track/0A9y4c4dkI68IEnsRGtWil
18,"Finesse - Remix; feat. Cardi B","Bruno Mars",1450272,https://open.spotify.com/track/3Vo4wInECJQuz9BIBMOu8i
19,rockstar,"Post Malone",1443173,https://open.spotify.com/track/2U7Hu2RaNQNRi7izoJyZaX
20,"New Rules","Dua Lipa",1382578,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
21,"Rewrite The Stars","Zac Efron",1382079,https://open.spotify.com/track/630sXRhIcfwr2e4RdNtjKN
22,Mine,Bazzi,1355562,https://open.spotify.com/track/6tHWl8ows5JOZq9Yfaqn3M
23,Strangers,Sigrid,1316872,https://open.spotify.com/track/3fJaqjV813edLN5wrxUPkc
24,"Tip Toe (feat. French Montana)","Jason Derulo",1225955,https://open.spotify.com/track/2z4pcBLQXF2BXKFvd0BuB6
25,"Havana (feat. Young Thug)","Camila Cabello",1220269,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
26,"I Know You (feat. Bastille)","Craig David",1174184,https://open.spotify.com/track/5lRzEC0Hyj92nEr9JkDxM2
27,"The Greatest Show","Hugh Jackman",1159428,https://open.spotify.com/track/43ay9lQZ5rfNcOOHhRF2cM
28,"Say Something (feat. Chris Stapleton)","Justin Timberlake",1146172,https://open.spotify.com/track/1LhMopPAallLeaeNutqbgS
