,name,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,streams,country,id
0,Shape of You,0.581,0.825,0.652,0.0,0.0931,-3.183,0,0.0802,95.977,4,0.931,1886580,Australia,7qiZfU4dY1lWllzX7mPBI3
1,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",0.0631,0.735,0.451,1.3e-05,0.325,-8.374,1,0.0585,117.973,4,0.0862,1195780,Australia,3NdDpSvN911VPGivFlV5d0
2,Castle on the Hill,0.0232,0.461,0.834,1.14e-05,0.14,-4.868,1,0.0989,135.007,4,0.471,1183419,Australia,6PCUP3dWmTjcTtXY02oFdT
3,Paris,0.0215,0.653,0.658,1.66e-06,0.0939,-6.428,1,0.0304,99.99,4,0.219,1121988,Australia,72jbDTw1piOOj770jWNeaG
4,Issues,0.368,0.683,0.427,0.0,0.0604,-6.827,1,0.0777,113.634,4,0.426,946513,Australia,1sXUWdKx03aP9Gmzft58rt
5,Chameleon,0.00149,0.718,0.934,0.000131,0.324,-3.153,1,0.0379,119.989,4,0.239,918201,Australia,4rex1k9pBVFaIVKBBssZzi
6,Call On Me - Ryan Riback Extended Remix,0.0604,0.67,0.838,0.000611,0.159,-4.031,1,0.0362,104.998,4,0.717,917641,Australia,78rIJddV4X0HkNAInEcYde
7,Love$ick,0.126,0.665,0.771,0.00449,0.27,-5.124,0,0.14,88.835,4,0.732,840369,Australia,5v9N8Rx3QsFvr50cxyQcA3
8,Adore,0.193,0.592,0.438,0.0,0.0564,-10.054,1,0.0391,67.445,4,0.259,817800,Australia,1rPCgtaIF0CyKRgAwhtpbF
9,I Feel It Coming,0.426,0.773,0.819,0.0,0.0679,-5.946,0,0.118,92.99,4,0.585,806056,Australia,5GXAXm5YOmYT0kL5jHvYBt
10,Scared to Be Lonely,0.0895,0.584,0.54,0.0,0.261,-7.786,0,0.0576,137.972,4,0.195,783219,Australia,3ebXMykcMXOcLeJ9xZ17XH
11,Don't Leave,0.222,0.657,0.703,0.0,0.256,-3.402,1,0.0753,122.381,4,0.338,782245,Australia,0Zx8khUcEfCFK2AEoIhC92
12,Rockabye (feat. Sean Paul & Anne-Marie),0.406,0.72,0.763,0.0,0.18,-4.068,0,0.0523,101.965,4,0.742,731414,Australia,5knuzwU65gJK7IF5yJsuaW
13,Now and Later,0.273,0.781,0.57,0.0,0.196,-5.874,0,0.188,107.059,4,0.858,711188,Australia,43jBqV3j3Xi1g6wO0bhIMd
14,"How Far I'll Go - From ""Moana""",0.157,0.314,0.555,0.000108,0.067,-9.601,1,0.37,179.666,4,0.159,704603,Australia,5hYTyyh2odQKphUbMqc5gN
15,Run Up (feat. PARTYNEXTDOOR & Nicki Minaj),0.105,0.803,0.743,2.12e-06,0.099,-3.602,0,0.0681,108.005,4,0.674,698081,Australia,0fg8CqpjdojMyXLNzM2PaJ
16,Shed a Light,0.112,0.483,0.787,0.0,0.257,-5.244,1,0.102,122.058,4,0.58,680341,Australia,1cG0umU5TKStygKsPFZ9pY
17,Stranger (feat. Elliphant),0.045,0.528,0.874,0.0,0.0888,-3.028,0,0.0456,105.042,4,0.376,679871,Australia,0jVPEBd4wyHupkTHwzQRyc
18,Starboy,0.165,0.681,0.594,3.49e-06,0.134,-7.028,1,0.282,186.054,4,0.535,676696,Australia,5aAx2yezTd8zXrkmtKl66Z
19,Sexual,0.0623,0.803,0.569,0.0,0.083,-7.392,1,0.0739,107.986,4,0.809,655922,Australia,3AsAuGTaDQzavZZThyYlop
20,Chained To The Rhythm,0.0733,0.448,0.801,0.0,0.146,-5.363,1,0.165,189.798,4,0.462,648480,Australia,6520aj0B4FSKGVuKNsOCOi
21,Cocoon,0.0998,0.743,0.659,0.00028,0.0622,-6.755,1,0.0343,114.033,4,0.804,638333,Australia,0L87MffumRNWrY2SNUFcvs
22,Fresh Eyes,0.562,0.822,0.544,2.4e-05,0.144,-6.797,1,0.0332,122.047,4,0.861,635217,Australia,4nMlau89VAjmV7agkl7OY3
23,All Night,0.00251,0.563,0.775,0.0,0.326,-6.433,1,0.0366,144.945,4,0.458,632556,Australia,1yNyoWWWikbLhwIGWjZuDW
24,Touch,0.032,0.607,0.718,0.0,0.403,-4.095,1,0.0978,101.821,4,0.551,619090,Australia,5Ua3GXyHwiSfpNTMjq6m2z
25,Bad Things (with Camila Cabello),0.214,0.697,0.691,0.0,0.185,-4.757,1,0.146,137.853,4,0.305,591755,Australia,1PSBzsahR2AKwLJgx8ehBj
26,Say You Won't Let Go,0.695,0.358,0.557,0.0,0.0902,-7.398,1,0.059,85.043,4,0.494,586619,Australia,5uCax9HTNlzGybIStD3vDh
27,Just Hold On,0.00383,0.647,0.932,1.5e-06,0.0574,-3.515,1,0.0824,114.991,4,0.374,585517,Australia,3EmmCZoqpWOTY1g2GBwJoR
28,Capsize,0.0398,0.683,0.708,0.155,0.686,-6.244,0,0.0305,92.991,4,0.355,578248,Australia,2XMTqoHHSH0lvuXrvIEdco
29,Closer,0.414,0.748,0.524,0.0,0.111,-5.599,1,0.0338,95.01,4,0.661,550336,Australia,7BKLCZ1jbUBVqRi2FVlTVw
30,Never Be Like You,0.436,0.494,0.559,0.0,0.164,-5.445,1,0.0565,119.247,4,0.264,546631,Australia,12REd1n8PeiHHWOh066tpr
31,Water Under the Bridge,0.0189,0.596,0.838,1.54e-05,0.108,-6.52,0,0.0704,94.982,4,0.472,536021,Australia,4vb4mFvYsr2h6enhjJsq9Y
32,Scars To Your Beautiful,0.0285,0.573,0.739,0.0,0.111,-5.74,1,0.129,97.085,4,0.451,495164,Australia,0prNGof3XqfTvNDxHonvdK
33,Redbone,0.172,0.745,0.356,0.00943,0.123,-10.425,1,0.0941,160.033,4,0.607,491215,Australia,3kxfsdsCpFgN412fpnW85Y
34,Bad and Boujee (feat. Lil Uzi Vert),0.061,0.927,0.665,0.0,0.123,-5.313,1,0.244,127.076,4,0.175,488069,Australia,4Km5HrUvYTaSUfiSGPJeQR
35,Don't Wanna Know,0.338,0.783,0.623,0.0,0.0975,-6.126,1,0.08,100.048,4,0.447,486576,Australia,5MFzQMkrl1FOOng9tq6R9r
36,All Time Low,0.0584,0.617,0.567,0.0,0.0933,-4.188,1,0.0828,90.246,4,0.505,482078,Australia,1CnPYaKxTVb4LWOtiGOm0m
37,The Mack,0.0707,0.707,0.883,0.0,0.23,-4.281,1,0.0602,106.031,4,0.541,468205,Australia,7aV2mflaASUmGhCErm7kBO
38,Fake Love,0.105,0.928,0.481,0.0,0.176,-9.35,0,0.287,134.007,4,0.613,456533,Australia,343YBumqHu19cGoGARUTsd
39,I Would Like,0.0853,0.486,0.713,0.0,0.0839,-3.949,0,0.0524,121.028,4,0.297,452486,Australia,4Q4jmPHwu0wrJvqrld0FQ6
40,It's Gotta Be You,0.221,0.422,0.745,0.0,0.0981,-4.632,1,0.0378,95.487,4,0.588,434983,Australia,6cAKeFFYW2aClZSUyvqAEW
41,Bounce Back,0.106,0.78,0.575,0.0,0.129,-5.628,0,0.139,81.502,4,0.273,410979,Australia,0SGkqnVQo9KPytSri1H6cF
42,Solo Dance,0.0435,0.744,0.836,0.0,0.194,-2.396,0,0.0507,114.965,4,0.36,406253,Australia,6HUnnBwYZqcED1eQztxMBN
43,By Your Side,0.0778,0.696,0.743,0.0,0.0581,-3.838,1,0.0331,122.978,4,0.644,396807,Australia,1D3ODoXHBLpdxolZRHWV1j
44,One Dance,0.00784,0.791,0.619,0.00423,0.351,-5.886,1,0.0532,103.989,4,0.371,392982,Australia,1xznGGDReH1oQq0xzbwXa3
