,name,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,streams,country,id
0,ROCKSTAR (feat. Roddy Ricch),0.247,0.746,0.69,0.0,0.101,-7.956,1,0.164,89.977,4,0.497,11215442,America,7ytR5pFWmSjzHJIeQkgog4
1,Party Girl,0.749,0.728,0.431,0.0,0.0996,-9.966,0,0.0622,130.022,4,0.629,7817373,America,5RqR4ZCCKJDcBLIn4sih9l
2,Blueberry Faygo,0.207,0.774,0.554,0.0,0.132,-7.909,1,0.0383,99.034,4,0.349,7083891,America,22LAwLoDA5b4AaGSkg6bKW
3,THE SCOTTS,0.233,0.716,0.537,0.0,0.157,-7.648,0,0.0514,129.979,4,0.28,6869432,America,39Yp9wwQiSRIDOvrVg7mbk
4,Blinding Lights,0.00146,0.514,0.73,9.54e-05,0.0897,-5.934,1,0.0598,171.005,4,0.334,6798177,America,0VjIjW4GlUZAMYd2vXMi3b
5,Toosie Slide,0.289,0.83,0.49,3.04e-06,0.113,-8.82,0,0.209,81.604,4,0.845,5970667,America,466cKvZn1j45IpxDdYZqdA
6,The Box,0.104,0.896,0.586,0.0,0.79,-6.687,0,0.0559,116.971,4,0.642,5905090,America,0nbXyq5TXYPCO7pr3N8S4I
7,WHATS POPPIN,0.017,0.923,0.604,0.0,0.272,-6.671,0,0.245,145.062,4,0.826,5885083,America,1jaTQ3nqY3oAAYyCTbIvnM
8,Rain On Me (with Ariana Grande),0.021,0.672,0.855,0.0,0.323,-3.764,1,0.0397,123.056,4,0.646,5770527,America,7ju97lgwC2rKQ6wwsf9no9
9,Savage Remix (feat. Beyoncé),0.016,0.822,0.743,0.0,0.127,-4.772,0,0.28,84.459,4,0.636,5255486,America,5v4GgrXPMghOnBBLmveLac
10,Watermelon Sugar,0.122,0.548,0.816,0.0,0.335,-4.209,1,0.0465,95.39,4,0.557,5112178,America,6UelLqGlWMcVH1E5c4H7lY
11,Roses - Imanbek Remix,0.0167,0.77,0.724,0.0107,0.353,-5.484,1,0.0495,121.975,4,0.898,5069601,America,24Yi9hE78yPEbZ4kxyoXAI
12,After Party,0.00981,0.629,0.692,0.331,0.603,-8.045,1,0.0376,162.948,4,0.453,4976232,America,527k23H0A4Q0UJN3vGs0Da
13,Walk Em Down (feat. Roddy Ricch),0.268,0.867,0.744,0.0,0.0713,-5.171,1,0.227,84.005,4,0.645,4687007,America,4cSSL3YafYjM3yjgFO1vJg
14,death bed (coffee for your head),0.731,0.726,0.431,0.0,0.696,-8.765,0,0.135,144.026,4,0.348,4310587,America,7eJMfftS33KTjuF7lTsMCx
