,name,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,streams,country,id
0,Sucker,0.0427,0.842,0.734,0.0,0.106,-5.065,0,0.0588,137.958,4,0.952,1595824,Australia,4y3OI86AEP6PQoDE6olYhO
1,7 rings,0.592,0.778,0.317,0.0,0.0881,-10.732,0,0.334,140.048,4,0.327,1326330,Australia,6ocbgoVGwYJhOv1GgI9NsF
2,Sunflower - Spider-Man: Into the Spider-Verse,0.556,0.76,0.479,0.0,0.0703,-5.574,1,0.0466,89.911,4,0.913,1321446,Australia,3KkXRkHbMCARz0aVfEt68P
3,Wow.,0.163,0.833,0.539,2.1e-06,0.101,-7.399,0,0.178,99.947,4,0.385,1316859,Australia,6MWtB6iiXyIwun0YzU6DFP
4,"break up with your girlfriend, i'm bored",0.0421,0.726,0.554,0.0,0.106,-5.29,0,0.0917,169.999,4,0.335,1229950,Australia,4kV4N9D1iKVxx1KLvtTpjS
5,Talk,0.0501,0.9,0.4,0.0,0.0876,-8.443,1,0.124,136.001,4,0.338,1170336,Australia,0rTV5WefWd1J3OwIheTzxM
6,3 Nights,0.223,0.815,0.518,0.0,0.104,-6.594,0,0.0897,151.891,4,0.877,1075232,Australia,1tNJrcVe6gwLEiZCtprs1u
7,i'm so tired...,0.176,0.599,0.733,0.0,0.242,-7.058,1,0.203,102.211,4,0.534,1073426,Australia,7COXchtUOMd6uIT6HvmRaI
8,wish you were gay,0.39,0.853,0.351,9.38e-06,0.752,-10.198,1,0.241,118.028,4,0.282,1010765,Australia,4txc3txsIt81diMzGhrVPS
9,My Bad,0.543,0.645,0.568,0.266,0.257,-9.127,0,0.0823,84.999,4,0.391,1008001,Australia,1DUSuNhF8P5vUGNPpQiZa5
10,Dancing With A Stranger (with Normani),0.45,0.741,0.52,1.97e-06,0.222,-7.513,1,0.0656,102.998,4,0.347,1007638,Australia,6Qs4SXO9dwPj5GKvVOv8Ki
11,Without Me,0.297,0.752,0.488,9.11e-06,0.0936,-7.05,1,0.0705,136.041,4,0.533,941036,Australia,5p7ujcrUXASCNwRaWNHR1C
12,Here With Me,0.0623,0.791,0.565,0.0,0.156,-3.933,0,0.0439,99.961,4,0.181,939289,Australia,5icOoE6VgqFKohjWWNp0Ac
13,bury a friend,0.74,0.905,0.389,0.162,0.106,-14.505,1,0.332,120.046,4,0.196,899135,Australia,4NzMOnvSJVNKF7nw5NkXIP
14,Shallow,0.371,0.572,0.385,0.0,0.231,-6.362,1,0.0308,95.799,4,0.323,874248,Australia,2VxeLyX666F8uXCJ0dZF8B
15,Who Do You Love,0.00791,0.51,0.835,0.0,0.219,-4.673,1,0.0447,140.024,4,0.435,852007,Australia,11cDEev79fPKi6uJCjUhu8
16,Eastside (with Halsey & Khalid),0.549,0.632,0.686,0.0,0.2,-7.665,0,0.243,89.949,4,0.329,827932,Australia,7FGq80cy8juXBCD2nrqdWU
17,Sweet but Psycho,0.0691,0.719,0.704,0.0,0.166,-4.724,1,0.0476,133.002,4,0.628,796881,Australia,25sgk305KZfyuqVBQIahim
18,MIDDLE CHILD,0.149,0.837,0.364,0.0,0.271,-11.713,1,0.276,123.984,4,0.463,795187,Australia,2JvzF1RMd7lE3KmFlsyZD8
19,Happier,0.191,0.687,0.792,0.0,0.167,-2.749,1,0.0452,100.015,4,0.671,793185,Australia,2dpaYNEQHiRxtZbfNsse99
20,7 Minutes,0.526,0.613,0.739,0.0,0.149,-6.478,1,0.0311,104.966,4,0.712,776629,Australia,2BkyYZmU4JuWW2sYi9EzpC
21,Fast,0.426,0.623,0.608,0.0,0.105,-5.937,0,0.0434,84.98,4,0.263,769481,Australia,6MjNilJCVKJq0LfFvo5jWJ
22,Waiting,0.372,0.787,0.448,0.0,0.0779,-7.671,0,0.0508,138.03,4,0.471,762294,Australia,0TBFJanfWaByPIi3f7RR82
23,"thank u, next",0.229,0.717,0.653,0.0,0.101,-5.634,1,0.0658,106.966,4,0.412,731994,Australia,3e9HZxeyfWwjeyPAMmWSSQ
24,Leave Me Lonely,0.27,0.763,0.874,0.0,0.159,-5.792,0,0.0564,131.038,4,0.755,713313,Australia,26gEW3DUEK0n8n5fvnYrPE
25,Please Me,0.0642,0.747,0.57,0.0,0.0832,-6.711,1,0.081,133.992,4,0.65,709157,Australia,0PG9fbaaHFHfre2gUVo7AN
26,Murder On My Mind,0.145,0.759,0.73,3.06e-06,0.11,-7.985,0,0.0516,115.007,4,0.74,707468,Australia,7eBqSVxrzQZtK2mmgRG6lC
27,11 Minutes (with Halsey feat. Travis Barker),0.0116,0.464,0.852,0.0,0.108,-3.804,1,0.067,160.075,4,0.233,704437,Australia,4mGdjNMo0RonTlOEb7cYg4
