,name,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,streams,country,id
0,Toosie Slide,0.321,0.834,0.454,6.15e-06,0.114,-9.75,0,0.201,81.618,4,0.837,2264276,Canada,127QTOFJsJQp5LbJbu3A1y
1,Blinding Lights,0.00146,0.514,0.73,9.54e-05,0.0897,-5.934,1,0.0598,171.005,4,0.334,1451402,Canada,0VjIjW4GlUZAMYd2vXMi3b
2,Roses - Imanbek Remix,0.0167,0.77,0.724,0.0107,0.353,-5.484,1,0.0495,121.975,4,0.898,1446601,Canada,24Yi9hE78yPEbZ4kxyoXAI
3,Blueberry Faygo,0.207,0.774,0.554,0.0,0.132,-7.909,1,0.0383,99.034,4,0.349,1278902,Canada,22LAwLoDA5b4AaGSkg6bKW
4,The Box,0.104,0.896,0.586,0.0,0.79,-6.687,0,0.0559,116.971,4,0.642,1195533,Canada,0nbXyq5TXYPCO7pr3N8S4I
5,death bed (coffee for your head),0.731,0.726,0.431,0.0,0.696,-8.765,0,0.135,144.026,4,0.348,1042814,Canada,7eJMfftS33KTjuF7lTsMCx
6,Don't Start Now,0.0123,0.793,0.793,0.0,0.0951,-4.521,0,0.083,123.95,4,0.679,1032152,Canada,3PfIrDoz19wz7qK7tYeu62
7,Dance Monkey,0.688,0.825,0.593,0.000161,0.17,-6.401,0,0.0988,98.078,4,0.54,1000461,Canada,1rgnBhdG2JDFTbYkYRZAku
8,WHATS POPPIN,0.017,0.923,0.604,0.0,0.272,-6.671,0,0.245,145.062,4,0.826,901998,Canada,1jaTQ3nqY3oAAYyCTbIvnM
9,Intentions (feat. Quavo),0.3,0.806,0.546,0.0,0.102,-6.637,1,0.0575,147.986,4,0.874,869093,Canada,4umIPjkehX1r7uhmGvXiSV
10,Say So,0.256,0.787,0.673,3.57e-06,0.0904,-4.577,0,0.158,110.962,4,0.786,798416,Canada,3Dv1eDb0MEgF93GpLXlucZ
11,Sunday Best,0.183,0.878,0.525,0.0,0.0714,-6.832,1,0.0578,112.022,4,0.694,789132,Canada,1Cv1YLb4q0RzL6pybtaMLo
12,Circles,0.192,0.695,0.762,0.00244,0.0863,-3.497,1,0.0395,120.042,4,0.553,721454,Canada,21jGcNKet2qwijlDFuPiPb
13,Savage,0.0252,0.843,0.741,0.0,0.096,-5.609,1,0.334,168.983,4,0.68,707584,Canada,55CHeLEfn5iJ0IIkgaa4si
14,Turks (feat. Travis Scott),0.0827,0.893,0.618,0.0,0.542,-4.425,0,0.112,119.099,4,0.389,681653,Canada,0lSZh5W0wDeurkGzLYY6hf
15,Someone You Loved,0.751,0.501,0.405,0.0,0.105,-5.679,1,0.0319,109.891,4,0.446,674879,Canada,7qEHsqek33rTcFNT9PFqLf
16,Falling,0.123,0.784,0.43,0.0,0.0887,-8.756,0,0.0364,127.087,4,0.236,668932,Canada,2rRJrJEo19S2J82BDsQ3F7
17,In Your Eyes,0.00285,0.667,0.719,8.1e-05,0.0736,-5.371,0,0.0346,100.021,4,0.717,658232,Canada,7szuecWAPwGoV1e5vGu8tl
18,Break My Heart,0.167,0.73,0.729,1.39e-06,0.349,-3.434,0,0.0883,113.013,4,0.467,650245,Canada,017PF4Q3l4DBUiWoXk4OWT
19,Life Is Good (feat. Drake),0.0706,0.676,0.609,0.0,0.152,-5.831,0,0.481,142.037,4,0.508,649507,Canada,5yY9lUy8nbvjM1Uyo1Uqoc
20,Stupid Again,0.0881,0.775,0.823,0.0,0.309,-4.941,0,0.0635,120.059,4,0.65,648405,Canada,1fPnUpoXCpD2NDI4vPVeLw
21,FIND MY WAY,0.187,0.836,0.624,0.0,0.138,-6.75,0,0.184,103.0,4,0.7,647332,Canada,1lGHa2pwYzxQHFBUynhLtO
22,ROXANNE,0.0522,0.621,0.601,0.0,0.46,-5.616,0,0.148,116.735,5,0.457,645197,Canada,696DnlkuDOXcMAnKlTgXXK
23,Walk Em Down (feat. Roddy Ricch),0.268,0.867,0.744,0.0,0.0713,-5.171,1,0.227,84.005,4,0.645,637160,Canada,4cSSL3YafYjM3yjgFO1vJg
24,If the World Was Ending - feat. Julia Michaels,0.866,0.464,0.473,0.0,0.109,-10.086,1,0.129,75.801,4,0.604,622027,Canada,2kJwzbxV2ppxnQoYw4GLBZ
25,Godzilla (feat. Juice WRLD),0.145,0.808,0.745,0.0,0.292,-5.26,0,0.342,165.995,4,0.829,615367,Canada,7FIWs0pqAYbP91WWM0vlTQ
26,BELIEVE IT,0.0902,0.43,0.7,0.0,0.216,-5.35,1,0.264,158.373,4,0.731,602707,Canada,4HDCLYli2SUdkq9OjmvhSD
27,Supalonely,0.305,0.863,0.631,3.04e-05,0.123,-4.689,1,0.0534,128.977,4,0.817,599590,Canada,4nK5YrxbMGZstTLbvj6Gxw
28,Adore You,0.0237,0.676,0.771,7e-06,0.102,-3.675,1,0.0483,99.048,4,0.569,566953,Canada,3jjujdWJ72nww5eGnfs2E7
29,Boyfriend,0.218,0.811,0.512,0.0262,0.0768,-6.381,1,0.17,92.046,4,0.346,559554,Canada,4QnC1bIaMSfDQvF4XDhV5M
30,Broke In A Minute,0.144,0.929,0.7,0.0,0.349,-5.595,0,0.0906,120.009,4,0.802,537844,Canada,4xqIYGwwZTEem9U8A42SPF
31,Skechers,0.26,0.903,0.327,0.011,0.108,-9.727,1,0.0877,100.008,4,0.274,523331,Canada,2alc8VZAzDgdAsL2QMk3hu
32,Boss Bitch,0.127,0.707,0.955,0.0,0.202,-4.593,0,0.222,125.989,4,0.575,520352,Canada,78qd8dvwea0Gosb6Fe6j3k
33,Memories,0.837,0.764,0.32,0.0,0.0822,-7.209,1,0.0546,91.019,4,0.575,500795,Canada,2b8fOow8UzyDFAE27YhOZM
34,Do The Most,0.0337,0.67,0.634,0.0,0.0714,-6.682,1,0.294,204.113,4,0.375,490603,Canada,7n0lXKEOaFxrAU0R93fIQh
35,Who Needs Love,0.0462,0.76,0.674,0.0,0.22,-7.043,1,0.129,101.987,4,0.431,484532,Canada,7uDTc1eJwsD7iMZLhdp8LH
36,Before You Go,0.604,0.459,0.575,0.0,0.0885,-4.858,1,0.0573,111.881,4,0.183,480700,Canada,2gMXnyrvIjhVBUZwvLZDMP
37,CITY OF ANGELS,0.042,0.686,0.541,0.0,0.0675,-4.993,0,0.0493,120.082,4,0.724,479580,Canada,6ap9lSRJ0iLriGLqoJ44cq
38,High Fashion (feat. Mustard),0.269,0.831,0.499,0.0,0.3,-8.442,0,0.114,97.956,4,0.511,477856,Canada,07KXEDMj78x68D884wgVEm
39,"10,000 Hours (with Justin Bieber)",0.153,0.654,0.63,0.0,0.111,-4.644,1,0.0259,89.991,4,0.43,469698,Canada,2wrJq5XKLnmhRXHIAf9xBa
40,After Hours,0.0811,0.664,0.572,0.00604,0.121,-6.099,0,0.0305,108.959,4,0.143,460800,Canada,2p8IUWQDrpjuFltbdgLOag
41,Level of Concern,0.32,0.754,0.583,0.00015,0.144,-7.34,0,0.0432,122.012,4,0.77,459035,Canada,6xZ4Q2k2ompmDppyeESIY8
