,name,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,streams,country,id
0,Stuck with U (with Justin Bieber),0.223,0.597,0.45,0.0,0.382,-6.658,1,0.0418,178.765,3,0.537,1594625,Canada,4HBZA5flZLE435QTztThqH
1,ROCKSTAR (feat. Roddy Ricch),0.247,0.746,0.69,0.0,0.101,-7.956,1,0.164,89.977,4,0.497,1577337,Canada,7ytR5pFWmSjzHJIeQkgog4
2,GOOBA,0.0264,0.611,0.688,0.0,0.251,-5.688,1,0.341,178.462,4,0.393,1465011,Canada,4NhDYoQTYCdWHTvlbGVgwo
3,THE SCOTTS,0.233,0.716,0.537,0.0,0.157,-7.648,0,0.0514,129.979,4,0.28,1445853,Canada,39Yp9wwQiSRIDOvrVg7mbk
4,Roses - Imanbek Remix,0.0167,0.77,0.724,0.0107,0.353,-5.484,1,0.0495,121.975,4,0.898,1393070,Canada,24Yi9hE78yPEbZ4kxyoXAI
5,Toosie Slide,0.289,0.83,0.49,3.04e-06,0.113,-8.82,0,0.209,81.604,4,0.845,1326140,Canada,466cKvZn1j45IpxDdYZqdA
6,Blinding Lights,0.00146,0.514,0.73,9.54e-05,0.0897,-5.934,1,0.0598,171.005,4,0.334,1194043,Canada,0VjIjW4GlUZAMYd2vXMi3b
7,Blueberry Faygo,0.207,0.774,0.554,0.0,0.132,-7.909,1,0.0383,99.034,4,0.349,990858,Canada,22LAwLoDA5b4AaGSkg6bKW
8,The Box,0.104,0.896,0.586,0.0,0.79,-6.687,0,0.0559,116.971,4,0.642,899308,Canada,0nbXyq5TXYPCO7pr3N8S4I
9,death bed (coffee for your head),0.731,0.726,0.431,0.0,0.696,-8.765,0,0.135,144.026,4,0.348,891890,Canada,7eJMfftS33KTjuF7lTsMCx
10,Dance Monkey,0.688,0.825,0.593,0.000161,0.17,-6.401,0,0.0988,98.078,4,0.54,799733,Canada,1rgnBhdG2JDFTbYkYRZAku
11,Don't Start Now,0.0123,0.793,0.793,0.0,0.0951,-4.521,0,0.083,123.95,4,0.679,798692,Canada,3PfIrDoz19wz7qK7tYeu62
