,name,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,streams,country,id
0,Roli Glitzer Glitzer (feat. Luciano & Eno),0.015,0.844,0.734,0.0,0.369,-4.931,1,0.272,154.965,4,0.537,3911505,Germany,0bYg9bo50gSsH3LtXe2SQn
1,"Standard (feat. Trettmann, Gringo, Ufo361 & Gzuz)",0.144,0.825,0.76,0.0,0.155,-6.591,1,0.188,89.003,4,0.876,3752774,Germany,2FRnf9qhLbvw8fu4IBXx78
2,500 PS,0.391,0.805,0.924,0.00448,0.0902,-5.883,0,0.0439,139.976,4,0.836,2953129,Germany,2TE4xW3ImvpltVU0cPcKUn
3,Kokain,0.231,0.615,0.677,0.0,0.543,-7.906,0,0.363,170.117,4,0.608,2429729,Germany,6ZklqpekeC0KFGzyFVjQuj
4,In My Mind,0.176,0.694,0.77,1.1e-05,0.118,-5.335,1,0.149,125.905,4,0.163,2164930,Germany,27qAMKrDdKEs8HDXcvR24R
5,Fightclub (feat. Samra & AK Ausserkontrolle),0.0325,0.749,0.596,0.0,0.155,-4.374,1,0.447,179.989,4,0.205,2063620,Germany,0lizgQ7Qw35od7CYaoMBZb
6,BONNIE & CLYDE,0.11,0.792,0.62,1.61e-05,0.085,-4.832,0,0.266,169.985,4,0.637,2035846,Germany,1upzszB5JxMfNUEBmkcgaO
7,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",0.157,0.842,0.801,4.82e-06,0.0642,-4.167,0,0.228,95.881,4,0.617,2031216,Germany,0lLdorYw7lVrJydTINhWdI
8,Nummer unterdrückt,0.2,0.812,0.749,0.00124,0.15,-6.296,1,0.0881,139.962,4,0.773,1968958,Germany,3tjFYV6RSFtuktYl3ZtYcq
9,Happier,0.191,0.687,0.792,0.0,0.167,-2.749,1,0.0452,100.015,4,0.671,1915432,Germany,0SvD6EdetxVtXei2JhkV4B
10,Facetime,0.319,0.701,0.682,0.0,0.113,-6.873,0,0.173,102.004,4,0.446,1877475,Germany,5FLkxbVtsn88ejcLR62L4T
11,UFF,0.041,0.815,0.828,0.0,0.314,-3.559,1,0.232,139.972,4,0.311,1851652,Germany,3SODlaDR9GuXeTuFGfKoF8
12,Promises (with Sam Smith),0.0119,0.781,0.768,4.91e-06,0.325,-5.991,1,0.0394,123.07,4,0.486,1783119,Germany,3nAp4IvdMPPWEH9uuXFFV5
13,Dior 2001,0.0117,0.43,0.699,0.093,0.123,-5.892,1,0.143,76.854,4,0.473,1768492,Germany,7hxHWCCAIIxFLCzvDgnQHX
14,High Hopes,0.193,0.579,0.904,0.0,0.064,-2.729,1,0.0618,82.014,4,0.681,1662104,Germany,6pxHE5Aoq63VMHvGVlc3xZ
15,MoneyGram,0.0522,0.781,0.796,0.000369,0.148,-6.174,1,0.216,160.037,4,0.575,1624801,Germany,7Lbxvt42JsNSKVCaN63qhD
16,Melodien (feat. Juju),0.0849,0.751,0.529,0.0,0.0944,-7.407,0,0.143,100.262,4,0.33,1622661,Germany,54bFM56PmE4YLRnqpW6Tha
17,Risiko,0.155,0.772,0.737,0.407,0.159,-7.211,1,0.0931,117.027,4,0.229,1482082,Germany,6cx06DFPPHchuUAcTxznu9
