,name,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,streams,country,id
0,In My Feelings,0.0589,0.835,0.626,6e-05,0.396,-5.833,1,0.125,91.03,4,0.35,3383019,England,2G7V7zsVDxg1yRsu7Ew9RJ
1,Shotgun,0.286,0.673,0.735,0.0,0.242,-4.733,1,0.0457,115.744,4,0.754,2689737,England,4ofwffwvvnbSkrMSCKQDaC
2,God is a woman,0.0233,0.602,0.658,6e-05,0.237,-5.934,1,0.0558,145.031,4,0.268,2637370,England,5OCJzvD7sykQEKHH7qAC3C
3,Promises (with Sam Smith),0.0119,0.781,0.768,4.91e-06,0.325,-5.991,1,0.0394,123.07,4,0.486,2485465,England,5N5k9nd479b1xpDZ4usjrg
4,Eastside (with Halsey & Khalid),0.555,0.56,0.68,0.0,0.116,-7.648,0,0.321,89.391,4,0.319,2440096,England,0d2iYfpKoM0QCKvcLCkBao
5,No Brainer,0.0733,0.552,0.76,0.0,0.0865,-4.706,1,0.342,135.702,5,0.639,2333174,England,5WvAo7DNuPRmk4APhdPzi8
6,Lucid Dreams,0.349,0.511,0.566,0.0,0.34,-7.23,0,0.2,83.903,4,0.218,2303863,England,0s3nnoMeVWz3989MkNQiRf
7,breathin,0.0211,0.568,0.656,1.37e-05,0.213,-5.413,1,0.0433,100.049,4,0.364,2261197,England,4OafepJy2teCjYJbvFE60J
8,Body (feat. brando),0.0476,0.752,0.764,9.44e-05,0.0543,-4.399,1,0.038,121.958,4,0.582,2175870,England,7K7MUBCnzgBAvMVW2RTWNs
9,Rise,0.323,0.69,0.784,0.0,0.203,-4.653,1,0.032,106.066,4,0.669,2074132,England,3u1S1OmAUhx5DRlLrXqyp3
10,Jackie Chan,0.374,0.747,0.834,0.0,0.0586,-2.867,0,0.045,128.005,4,0.687,2033033,England,4kWO6O1BUXcZmaxitpVUwp
11,Taste (feat. Offset),0.0236,0.884,0.559,0.0,0.101,-7.442,1,0.12,97.994,4,0.342,1962462,England,5IaHrVsrferBYDm0bDyABy
12,Girls Like You (feat. Cardi B),0.568,0.851,0.541,0.0,0.13,-6.825,1,0.0505,124.959,4,0.448,1750034,England,7fa9MBXhVfQ8P8Df9OEbD8
13,Solo (feat. Demi Lovato),0.0441,0.737,0.636,6.66e-05,0.35,-4.546,0,0.0437,105.005,4,0.565,1720394,England,6kPJZM97LwdG9QIsT7khp6
14,If You're Over Me,0.0622,0.67,0.853,0.0,0.0602,-4.515,1,0.0884,103.843,4,0.615,1627983,England,1oc3jna2ablnfIKLYbKujl
15,no tears left to cry,0.04,0.699,0.713,3.11e-06,0.294,-5.507,0,0.0594,121.993,4,0.354,1608351,England,2qT1uLXPVPzGgFOx4jtEuo
16,Youngblood,0.0169,0.596,0.854,0.0,0.124,-5.114,0,0.463,120.274,4,0.152,1536493,England,2iUXsYOEPhVqEBwsqP70rE
17,SICKO MODE,0.00513,0.834,0.73,0.0,0.124,-3.714,1,0.222,155.008,4,0.446,1475220,England,2xLMifQCjDGFmkHkpNLD9h
18,2002,0.0372,0.697,0.683,0.0,0.137,-2.881,0,0.117,96.133,4,0.603,1436181,England,2BgEsaKNfHUdlh97KmvFyo
19,Ring Ring (feat. Mabel & Rich The Kid),0.172,0.779,0.641,2.03e-06,0.102,-4.912,0,0.141,107.032,4,0.638,1372294,England,3pSfoP1xZllxEuZ6Oh6ebn
20,One Kiss (with Dua Lipa),0.037,0.791,0.862,2.19e-05,0.0814,-3.24,0,0.11,123.994,4,0.592,1358048,England,7ef4DlsgrMEH11cDZd32M6
21,Better Now,0.331,0.68,0.578,0.0,0.135,-5.804,1,0.04,145.038,4,0.341,1340843,England,7dt6x5M1jzdTEt8oCbisTK
22,SAD!,0.258,0.74,0.613,0.00372,0.123,-4.88,1,0.145,75.023,4,0.473,1256312,England,3ee8Jmje8o58CHK66QrVC2
23,I Like It,0.099,0.816,0.726,0.0,0.372,-3.998,0,0.129,136.048,4,0.65,1256247,England,58q2HKrzhC3ozto2nDdN4z
24,Praise The Lord (Da Shine) (feat. Skepta),0.0609,0.854,0.569,0.0816,0.1,-8.151,0,0.106,80.015,4,0.294,1248420,England,7ycWLEP1GsNjVvcjawXz3z
25,Don’t Matter To Me (with Michael Jackson),0.493,0.822,0.318,0.0128,0.11,-12.391,1,0.0575,102.998,4,0.138,1234590,England,6G8kHiVZ1jW7vHMPVRNZU0
26,Nice For What,0.0891,0.585,0.909,9.7e-05,0.119,-6.474,1,0.0707,93.372,4,0.758,1169552,England,3CA9pLiwRIGtUBiMjbZmRw
27,Butterflies (feat. Not3s),0.259,0.761,0.685,2.92e-06,0.115,-9.796,0,0.125,103.949,4,0.596,1168877,England,6DMXPshekQJR7uOMj0103y
28,sweetener,0.248,0.721,0.459,0.0,0.212,-6.408,1,0.032,119.914,4,0.46,1162695,England,70khXICDeTTxgYtw3EysKH
29,Only You (with Little Mix),0.0829,0.607,0.74,0.0,0.105,-4.793,0,0.172,108.05,4,0.219,1157666,England,54l9GJGQ1UCFKe2tzt1Vxt
30,FEFE (feat. Nicki Minaj & Murda Beatz),0.088,0.931,0.387,0.0,0.136,-9.127,1,0.412,125.978,4,0.376,1121929,England,2E124GmJRnBJuXbTb4cPUB
31,In My Mind,0.176,0.694,0.77,1.1e-05,0.118,-5.335,1,0.149,125.905,4,0.163,1119552,England,0E9ZjEAyAwOXZ7wJC0PD33
32,TOOTIMETOOTIMETOOTIME,0.166,0.662,0.827,0.0165,0.086,-5.891,1,0.0624,115.014,4,0.477,1104836,England,6wvlEKW2qxucJSBXYpMV2P
33,everytime,0.186,0.71,0.614,0.0,0.0974,-6.757,0,0.0431,148.152,4,0.658,1104255,England,0WdR2AyLW1Drd3OUdwezM0
34,Nonstop,0.0165,0.912,0.412,0.0126,0.104,-8.074,1,0.123,154.983,4,0.423,1046459,England,0TlLq3lA83rQOYtrqBqSct
35,Happier,0.191,0.687,0.792,0.0,0.167,-2.749,1,0.0452,100.015,4,0.671,1025346,England,2dpaYNEQHiRxtZbfNsse99
36,God's Plan,0.0332,0.754,0.449,8.29e-05,0.552,-9.211,1,0.109,77.169,4,0.357,1004591,England,6DCZcSspjsKoFjzjrWoCdn
37,Oh My,0.342,0.712,0.626,0.0,0.108,-7.966,0,0.174,96.177,4,0.721,976507,England,5lTBFpNkKWu8nRy3qzEw2h
38,High Hopes,0.193,0.579,0.904,0.0,0.064,-2.729,1,0.0618,82.014,4,0.681,976123,England,1rqqCSm0Qe4I9rUvWncaom
39,Paradise,0.209,0.642,0.881,0.0,0.21,-3.537,1,0.0393,138.03,4,0.913,946372,England,38zwkK6TtTjIW9tpYBfZ3D
40,Fine Girl,0.0295,0.867,0.509,0.0,0.0424,-4.884,0,0.0918,100.998,4,0.684,941749,England,2H9zpvV33I48HE5jnNvWVB
41,Best Life,0.211,0.845,0.668,0.0,0.122,-6.702,0,0.0447,106.017,4,0.721,940493,England,3wAyZwtyyLMsJNG7Mb17ky
