,name,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,streams,country,id
0,Habitu?,0.61,0.547,0.293,0.0,0.109,-11.376,0,0.0864,129.69,4,0.523,1666772,France,5N2IdMvsijo5D0Jl3iz6yu
1,Djadja,0.0617,0.811,0.797,0.0,0.112,-5.428,1,0.165,97.988,4,0.541,1246766,France,3XfnssSD9HMQ9LhVOJvXTE
2,Ips?it?,0.0561,0.803,0.524,2.1e-06,0.0845,-8.619,0,0.102,139.997,4,0.156,1233860,France,2cqIyMApTDUOo6VO5VFQsH
3,Mafiosa (feat. Caroliina),0.258,0.867,0.724,0.0,0.0527,-4.266,1,0.0978,128.97,4,0.757,1138157,France,0WxiQqTcK3ZErx2mMWgtm6
4,One Kiss (with Dua Lipa),0.037,0.791,0.862,2.19e-05,0.0814,-3.24,0,0.11,123.994,4,0.592,1099988,France,7ef4DlsgrMEH11cDZd32M6
5,X,0.0364,0.595,0.773,0.00108,0.334,-4.736,0,0.0549,180.073,4,0.711,1053116,France,39N9RPD9MRb5WmoLzNzPeA
6,La m?me,0.22,0.682,0.763,0.0,0.132,-5.743,0,0.0888,122.035,4,0.409,987271,France,7HK0UeyxUWJjc6ndRZVKFg
7,Un Poco,0.179,0.767,0.832,2.27e-05,0.0852,-5.915,0,0.106,99.992,4,0.946,963195,France,3MVTefqbeNX5yHFOmnHy3X
8,"Bella ciao (feat. Ma?tre Gims, Vitaa, Dadju & Slimane)",0.221,0.724,0.667,0.0,0.753,-6.017,0,0.054,119.078,4,0.602,943518,France,1XcnxfOeLvLPGh2Drr2yNb
9,"Va Bene - Extrait de la BOF de ""Taxi 5""",0.11,0.786,0.95,0.0,0.121,-2.782,0,0.056,100.073,4,0.756,933503,France,7qibGVhkRyQ4kgYwzZu7iG
10,God's Plan,0.0309,0.758,0.448,8.67e-05,0.558,-9.441,1,0.103,77.176,4,0.373,816977,France,2XW4DbS6NddZxRPm5rMCeY
