,name,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,streams
0,. Macarena,0.213,0.777,0.549,1.73e-06,0.0494,-8.202,1,0.0614,129.908,4,0.245,1331913
1,Despacito - Remix,0.229,0.694,0.815,0.0,0.0924,-4.328,1,0.12,88.931,4,0.813,944925
2,Shape of You,0.581,0.825,0.652,0.0,0.0931,-3.183,0,0.0802,95.977,4,0.931,928074
3,I'm the One,0.0533,0.599,0.667,0.0,0.134,-4.267,1,0.0367,80.984,4,0.817,723422
4,Chocolat (feat. Awa Imani),0.0822,0.729,0.679,0.0,0.1,-5.456,0,0.0568,108.964,4,0.75,701628
5,Mask Off,0.0102,0.833,0.434,0.0219,0.165,-8.795,1,0.431,150.062,4,0.281,677788
6,Swalla (feat. Nicki Minaj & Ty Dolla $ign),0.075,0.696,0.817,0.0,0.187,-3.862,1,0.109,98.064,4,0.782,674763
7,Attention,0.0969,0.774,0.626,3.12e-05,0.0848,-4.432,0,0.0432,100.041,4,0.777,647626
8,. Nwaar Is The New Black,0.752,0.744,0.604,0.0,0.0724,-5.634,0,0.15,130.18,4,0.563,639619
9,. Signaler,0.511,0.647,0.7,3.96e-05,0.088,-9.007,0,0.0562,176.122,4,0.949,637092
10,Despacito (Featuring Daddy Yankee),0.209,0.66,0.786,0.0,0.112,-4.757,1,0.17,177.833,4,0.846,633654
11,. Mosa?que solitaire,0.37,0.562,0.595,6.96e-06,0.13,-9.896,1,0.334,125.172,4,0.426,610861
12,Symphony (feat. Zara Larsson),0.259,0.707,0.629,1.6e-05,0.138,-4.581,0,0.0563,122.863,4,0.457,589808
13,Space Jam,0.0565,0.753,0.718,1.25e-05,0.107,-6.485,1,0.131,160.055,4,0.651,547567
14,Mon p'tit loup,0.0838,0.778,0.815,0.0,0.237,-3.502,0,0.238,101.926,4,0.723,524565
15,It Ain't Me (with Selena Gomez),0.119,0.64,0.533,0.0,0.0864,-6.596,1,0.0706,99.968,4,0.515,513515
16,B. #QuedusaalVie,0.0118,0.782,0.639,2.04e-06,0.0969,-8.315,0,0.157,134.967,4,0.274,509150
17,SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox),0.0744,0.684,0.823,0.0,0.111,-3.297,0,0.0773,91.048,4,0.647,502140
