,name,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,streams,country,id
0,Despacito - Remix,0.229,0.694,0.815,0.0,0.0924,-4.328,1,0.12,88.931,4,0.813,48406923,Global,5CtI0qwDJkDQGwXD1H1cLb
1,Shape of You,0.581,0.825,0.652,0.0,0.0931,-3.183,0,0.0802,95.977,4,0.931,35670821,Global,7qiZfU4dY1lWllzX7mPBI3
2,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",0.0552,0.609,0.668,0.0,0.167,-4.284,1,0.0367,80.924,4,0.811,35518012,Global,3DXncPQOG4VBw3QHh3S817
3,HUMBLE.,0.000282,0.908,0.621,5.39e-05,0.0958,-6.638,0,0.102,150.011,4,0.421,32795157,Global,7KXjTSCq5nL1LoYtL7XAwS
4,Something Just Like This,0.0498,0.617,0.635,1.44e-05,0.164,-6.769,0,0.0317,103.019,4,0.446,24643480,Global,6RUKPb4LETWmmr3iAEQktW
5,It Ain't Me (with Selena Gomez),0.119,0.64,0.533,0.0,0.0864,-6.596,1,0.0706,99.968,4,0.515,23777554,Global,3eR23VReFzcdmS7TYCrhCe
6,Mask Off,0.0102,0.833,0.434,0.0219,0.165,-8.795,1,0.431,150.062,4,0.281,23674906,Global,3rOSwuTsUlJp0Pu0MkN8r8
7,Stay (with Alessia Cara),0.232,0.679,0.634,0.0,0.115,-5.024,0,0.0654,102.013,4,0.498,22214740,Global,0dA2Mk56wEzDgegdC6R17g
8,That's What I Like,0.013,0.853,0.56,0.0,0.0944,-4.961,1,0.0406,134.066,4,0.86,21377606,Global,0KKkJNfGyhkQ5aFogxQAPU
9,Despacito (Featuring Daddy Yankee),0.209,0.66,0.786,0.0,0.112,-4.757,1,0.17,177.833,4,0.846,21234940,Global,4aWmUDTfIPGksMNLV2rQP2
10,Symphony (feat. Zara Larsson),0.259,0.707,0.629,1.6e-05,0.138,-4.581,0,0.0563,122.863,4,0.457,21022095,Global,1x5sYLZiu9r5E43kMlt9f8
11,Passionfruit,0.256,0.809,0.463,0.085,0.109,-11.377,1,0.0396,111.98,4,0.364,20913550,Global,7hDc8b7IXETo14hHIHdnhd
12,Swalla (feat. Nicki Minaj & Ty Dolla $ign),0.075,0.696,0.817,0.0,0.187,-3.862,1,0.109,98.064,4,0.782,19481465,Global,6kex4EBAj0WHXDKZMEJaaF
13,DNA.,0.00454,0.638,0.523,0.0,0.0842,-6.664,1,0.357,139.913,4,0.422,19139708,Global,6HZILIRieu8S0iqY8kIKhj
14,There's Nothing Holdin' Me Back,0.381,0.857,0.8,0.0,0.0913,-4.035,1,0.0583,121.996,4,0.966,17599952,Global,79cuOz3SPQTuFrp8WgftAu
15,Slide (feat. Frank Ocean & Migos),0.498,0.736,0.795,1.21e-06,0.254,-3.299,0,0.0545,104.066,4,0.511,16267550,Global,7tr2za8SQg2CI8EDgrdtNl
16,Scared to Be Lonely,0.0895,0.584,0.54,0.0,0.261,-7.786,0,0.0576,137.972,4,0.195,15837136,Global,3ebXMykcMXOcLeJ9xZ17XH
17,XO TOUR Llif3,0.00264,0.732,0.75,0.0,0.109,-6.366,0,0.231,155.096,4,0.401,15590840,Global,2eMwDehkIC1j68U6FA3Eiq
18,Issues,0.368,0.683,0.427,0.0,0.0604,-6.827,1,0.0777,113.634,4,0.426,15373430,Global,1sXUWdKx03aP9Gmzft58rt
19,Galway Girl,0.0735,0.624,0.876,0.0,0.327,-3.374,1,0.1,99.943,4,0.781,15191164,Global,0afhq8XCExXpqazXczTSve
20,iSpy (feat. Lil Yachty),0.378,0.746,0.653,0.0,0.229,-6.745,1,0.289,75.016,4,0.672,13838834,Global,2EEeOnHehOozLq4aS0n6SL
21,Sign of the Times,0.0275,0.516,0.595,0.0,0.109,-4.63,1,0.0313,119.972,4,0.222,13556756,Global,5Ohxk2dO5COHF1krpoPigN
22,Paris,0.0215,0.653,0.658,1.66e-06,0.0939,-6.428,1,0.0304,99.99,4,0.219,13203092,Global,72jbDTw1piOOj770jWNeaG
23,Felices los 4,0.231,0.755,0.789,0.0,0.351,-4.502,1,0.146,93.973,4,0.737,12819196,Global,0qYTZCo5Bwh1nsUFGZP3zn
24,Good Life (with G-Eazy & Kehlani),0.00464,0.565,0.771,0.0,0.0568,-5.22,1,0.213,168.385,4,0.573,12807354,Global,1Eck97uRMlprKOOJN9oO1E
25,Unforgettable,0.0293,0.726,0.769,0.0101,0.104,-5.043,1,0.123,97.985,4,0.733,12568099,Global,1F2HXIJrE2Xn81OzT2zZvW
26,Believer,0.0524,0.779,0.787,0.0,0.14,-4.305,0,0.108,124.982,4,0.708,12548349,Global,0CcQNd8CINkwQfe1RDtGV6
27,SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox),0.0744,0.684,0.823,0.0,0.111,-3.297,0,0.0773,91.048,4,0.647,12413598,Global,7nKBxz47S9SD79N086fuhn
28,Cold,0.139,0.703,0.715,0.0,0.0456,-6.285,0,0.114,99.924,4,0.497,12076394,Global,5NNlUMcOEOdoOIwwaWXv0k
29,Me Rehúso,0.0231,0.744,0.804,0.0,0.0494,-6.327,1,0.0677,104.823,4,0.426,12029398,Global,6De0lHrwBfPfrhorm9q1Xl
30,First Time,0.197,0.633,0.592,0.0,0.099,-7.245,0,0.112,90.066,4,0.679,11953548,Global,2Gl0FzuLxflY6nPifJp5Dr
31,LOYALTY. FEAT. RIHANNA.,0.0265,0.658,0.535,0.0,0.2,-8.983,0,0.0573,110.684,4,0.419,11950519,Global,6SwRhMLwNqEi6alNPVG00n
32,Attention,0.0969,0.774,0.626,3.12e-05,0.0848,-4.432,0,0.0432,100.041,4,0.777,11861565,Global,4iLqG9SeJSnt0cSPICSjxv
