,name,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,streams,country,id
0,マリーゴールド,0.0452,0.545,0.745,0.0,0.0907,-3.098,1,0.0286,106.094,4,0.413,480423,Japan,2cKiHG16JBiqHdi7Llq0r7
1,今夜このまま,0.0254,0.441,0.852,0.0,0.0862,-3.595,1,0.0383,104.855,4,0.64,283243,Japan,6kKvmT4i0Dercz6f3kftg3
2,君はロックを聴かない,0.00135,0.524,0.687,0.0,0.169,-4.039,1,0.0267,99.919,4,0.619,268055,Japan,59eluCMn0XbOWqeWQ91FTM
3,白日,0.67,0.606,0.901,0.0,0.289,-2.552,1,0.11,93.012,4,0.748,264921,Japan,0mNO3xUzjsI17GXO1DRFCH
4,愛を伝えたいだとか,0.0345,0.673,0.85,1.14e-05,0.0943,-5.021,1,0.0337,100.008,4,0.793,209167,Japan,0N8Xztr4pBHJ7V0moJWhbO
5,打上花火,0.288,0.625,0.668,0.0,0.107,-4.315,1,0.0249,95.968,4,0.292,199987,Japan,4IouQaO9GkaHC7AtMErdSa
6,HANABI,0.156,0.638,0.766,0.0,0.124,-5.541,1,0.0268,112.0,4,0.595,186306,Japan,77lmDcPPyY6kK907gdgC6i
7,366日,0.675,0.378,0.426,0.0,0.207,-7.314,1,0.0308,152.03,4,0.184,182466,Japan,22aZD7yaGYfhgCYazL4nbc
8,Shape of You,0.581,0.825,0.652,0.0,0.0931,-3.183,0,0.0802,95.977,4,0.931,182359,Japan,7qiZfU4dY1lWllzX7mPBI3
9,小さな恋のうた,0.00465,0.403,0.87,0.0,0.139,-1.871,1,0.0474,115.398,4,0.549,182183,Japan,7swIKcU4tFRk4iFJpi12Fg
10,愛唄,0.0839,0.505,0.791,0.0,0.187,-3.729,1,0.0308,169.964,4,0.425,180809,Japan,7iXHLtPosbHvglVSJ4rxLq
11,恋音と雨空,0.0512,0.625,0.86,0.0,0.408,-4.456,1,0.0314,129.064,4,0.533,179487,Japan,46gSY0U7ZZCmd7EuJuo15N
12,ワタリドリ,0.00141,0.508,0.964,0.0,0.197,-4.077,1,0.0831,134.982,4,0.609,177858,Japan,0ve9Tpz8Yw0I4eXhWsy21o
13,愛をこめて花束を,0.151,0.37,0.8,3.33e-06,0.089,-3.403,1,0.0436,161.934,4,0.451,173195,Japan,7CmWXD3w1xOO53AAO4LRVQ
14,ら、のはなし,0.0814,0.568,0.802,2.17e-06,0.14,-4.5,1,0.0317,124.147,4,0.562,172170,Japan,2tgWF9EZzqiq4Qzdzeow1A
15,さよならエレジー,0.00333,0.466,0.934,0.0,0.277,-2.739,1,0.0539,154.966,4,0.62,169178,Japan,0QKmcZNAST4GytJYmkN05D
16,Here With Me,0.0623,0.791,0.565,0.0,0.156,-3.933,0,0.0439,99.961,4,0.181,167368,Japan,5icOoE6VgqFKohjWWNp0Ac
17,ハッピーエンド,0.047,0.359,0.648,2.43e-06,0.16,-3.36,0,0.0373,78.308,4,0.336,166149,Japan,0ssEfLe9aqPhMmLXKqBw6J
18,満月の夜なら,0.0107,0.547,0.949,0.0,0.377,-3.039,1,0.0841,97.041,4,0.783,165951,Japan,7DW5Dro8AHE7x19COl26E3
19,U.S.A.,0.0144,0.71,0.988,0.0,0.102,-1.594,1,0.0641,139.56,4,0.929,159831,Japan,5HXCP7b8k64WdZ1G0Bbc13
20,Stand Out Fit In,0.0178,0.615,0.841,0.0,0.133,-5.352,1,0.0416,126.026,4,0.316,158796,Japan,4zXRMjTaeflesB3Ih4eHnJ
21,7 rings,0.592,0.778,0.317,0.0,0.0881,-10.732,0,0.334,140.048,4,0.327,156319,Japan,6ocbgoVGwYJhOv1GgI9NsF
22,奏(かなで),0.553,0.519,0.666,0.000169,0.0948,-6.163,1,0.0262,149.839,4,0.461,152935,Japan,5RbMlPFL4gVyEHW2lEOuzG
23,貴方解剖純愛歌〜死ね〜,0.0028,0.422,0.918,0.0,0.0409,-3.347,1,0.069,168.029,4,0.469,152573,Japan,2H3bOGOE50qEo5wAYoJiwL
24,Story,0.427,0.586,0.632,0.0,0.109,-4.714,1,0.0268,125.94,4,0.391,148642,Japan,0V2axJ946WH1vt9t5SGMLV
25,Wherever you are,0.0286,0.379,0.69,0.0,0.335,-4.79,1,0.0549,173.716,4,0.288,148019,Japan,0YAMQSmHk6BSUGTYpaoqTJ
26,トリコ,0.0851,0.63,0.8,0.0,0.0618,-3.427,1,0.036,90.02,4,0.717,143313,Japan,7H5uStZMOGpcVw7eW0eyTi
27,My Boo,0.307,0.719,0.718,0.000178,0.0846,-4.996,1,0.0316,153.937,4,0.693,141439,Japan,2gasr6aemUqZIBBN05EO03
28,鱗(うろこ),0.074,0.442,0.748,0.0,0.1,-5.448,1,0.0302,89.956,4,0.493,141333,Japan,4IubwxgmXeZtDtYjTaT9gN
29,Sucker,0.0427,0.842,0.734,0.0,0.106,-5.065,0,0.0588,137.958,4,0.952,140317,Japan,4y3OI86AEP6PQoDE6olYhO
30,"thank u, next",0.229,0.717,0.653,0.0,0.101,-5.634,1,0.0658,106.966,4,0.412,139926,Japan,3e9HZxeyfWwjeyPAMmWSSQ
31,アイノカタチ,0.0241,0.39,0.654,0.0,0.196,-6.247,1,0.0335,180.043,4,0.304,139591,Japan,76flsS3UnNr7UQIz6JmVT3
32,クリスマスソング,0.128,0.404,0.705,0.0,0.123,-3.324,1,0.0315,154.02,4,0.42,133047,Japan,5P8ZvBQoCrujjNcLAxO3Su
