,name,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,streams
0,Pretender,0.047,0.538,0.869,0.0,0.14,-3.464,1,0.0275,91.972,4,0.369,1065633
1,宿命,0.0152,0.547,0.577,0.0,0.109,-6.087,1,0.0336,164.032,4,0.494,850647
2,イエスタデイ,0.0442,0.541,0.8,0.0,0.398,-3.687,1,0.0382,129.939,4,0.56,705439
3,ノーダウト,0.0585,0.574,0.936,0.0,0.336,-3.185,1,0.0701,149.954,4,0.792,601499
4,白日,0.67,0.606,0.901,0.0,0.289,-2.552,1,0.11,93.012,4,0.748,599277
5,マリーゴールド,0.0452,0.545,0.745,0.0,0.0907,-3.098,1,0.0286,106.094,4,0.413,561466
6,まちがいさがし,0.52,0.534,0.642,0.0,0.39,-5.568,1,0.0372,155.916,4,0.443,491211
7,115万キロのフィルム,0.00345,0.516,0.791,0.0,0.141,-1.927,1,0.0318,96.921,4,0.48,433578
8,Stand By You,0.00864,0.609,0.869,0.0,0.283,-5.129,1,0.0422,154.024,4,0.626,409669
9,高嶺の花子さん,0.066,0.54,0.923,0.0,0.124,-2.838,1,0.0623,137.977,4,0.343,397674
10,傘,0.38,0.649,0.903,0.0,0.0485,-2.661,1,0.0764,105.022,4,0.698,377933
11,君はロックを聴かない,0.00135,0.524,0.687,0.0,0.169,-4.039,1,0.0267,99.919,4,0.619,374057
12,さよならエレジー,0.00333,0.466,0.934,0.0,0.277,-2.739,1,0.0539,154.966,4,0.62,348582
13,ハルノヒ,0.263,0.591,0.673,0.0,0.109,-2.445,1,0.0294,106.956,4,0.525,326420
14,空の青さを知る人よ,0.18,0.574,0.714,0.0,0.31,-1.969,1,0.0329,107.985,4,0.633,318738
15,青と夏,0.00157,0.31,0.891,0.0,0.284,-1.66,1,0.0469,184.886,4,0.748,315858
16,飛行艇,0.0408,0.471,0.852,0.0,0.329,-3.391,1,0.0462,79.931,4,0.491,315139
17,今夜このまま,0.0254,0.441,0.852,0.0,0.0862,-3.595,1,0.0383,104.855,4,0.64,301890
18,HANABI,0.156,0.638,0.766,0.0,0.124,-5.541,1,0.0268,112.0,4,0.595,300086
19,ただ君に晴れ,0.343,0.679,0.834,5.74e-06,0.119,-3.223,1,0.032,139.996,4,0.962,289942
20,366日,0.675,0.378,0.426,0.0,0.207,-7.314,1,0.0308,152.03,4,0.184,273795
21,クリスマスソング,0.128,0.404,0.705,0.0,0.123,-3.324,1,0.0315,154.02,4,0.42,266234
22,小さな恋のうた,0.00465,0.403,0.87,0.0,0.139,-1.871,1,0.0474,115.398,4,0.549,266192
23,ハッピーエンド,0.047,0.359,0.648,2.43e-06,0.16,-3.36,0,0.0373,78.308,4,0.336,258108
24,パプリカ,0.137,0.746,0.773,0.0,0.771,-5.04,1,0.0442,100.993,4,0.733,257303
25,ワタリドリ,0.00141,0.508,0.964,0.0,0.197,-4.077,1,0.0831,134.982,4,0.609,252642
26,さらしもの (feat. PUNPEE),0.0487,0.816,0.586,8.06e-06,0.0887,-5.744,1,0.211,154.092,4,0.606,251876
27,ロマンチシズム,0.0038,0.598,0.878,0.0,0.0468,-3.144,1,0.0634,125.529,4,0.901,248983
28,Wherever you are,0.0286,0.379,0.69,0.0,0.335,-4.79,1,0.0549,173.716,4,0.288,248260
29,愛をこめて花束を,0.151,0.37,0.8,3.33e-06,0.089,-3.403,1,0.0436,161.934,4,0.451,247777
30,Feel Special,0.0296,0.709,0.959,0.00188,0.107,-1.339,1,0.0603,128.983,4,0.644,246414
31,打上花火,0.288,0.625,0.668,0.0,0.107,-4.315,1,0.0249,95.968,4,0.292,241005
32,ひまわりの約束,0.188,0.523,0.445,0.0,0.18,-6.359,1,0.0329,78.957,4,0.336,234954
33,Memories,0.837,0.764,0.32,0.0,0.0822,-7.209,1,0.0546,91.019,4,0.575,234248
34,"10,000 Hours (with Justin Bieber)",0.153,0.654,0.63,0.0,0.111,-4.644,1,0.0259,89.991,4,0.43,233772
35,チェリー,0.227,0.646,0.805,1.95e-05,0.0901,-3.422,1,0.0292,97.201,4,0.748,233641
36,愛唄,0.0839,0.505,0.791,0.0,0.187,-3.729,1,0.0308,169.964,4,0.425,231177
37,インフェルノ,0.00894,0.533,0.918,0.0,0.643,-2.095,1,0.0616,92.504,4,0.662,228002
38,トリコ,0.0851,0.63,0.8,0.0,0.0618,-3.427,1,0.036,90.02,4,0.717,225933
39,点描の唄,0.447,0.502,0.632,0.0,0.103,-4.612,1,0.0273,152.014,4,0.308,225383
40,優しいあの子,0.224,0.56,0.846,0.0,0.148,-4.054,1,0.03,102.045,4,0.565,224759
41,Kill This Love,0.32,0.738,0.861,0.00175,0.325,-4.141,1,0.237,131.974,4,0.58,223991
42,愛を伝えたいだとか,0.0345,0.673,0.85,1.14e-05,0.0943,-5.021,1,0.0337,100.008,4,0.793,222946
43,奏(かなで),0.553,0.519,0.666,0.000169,0.0948,-6.163,1,0.0262,149.839,4,0.461,219439
44,ロビンソン,0.428,0.623,0.787,0.0,0.16,-4.339,0,0.0274,111.181,4,0.585,217055
45,新宝島,0.00118,0.557,0.917,0.00914,0.419,-3.426,0,0.0757,158.0,4,0.653,214857
46,バッドフォーミー,0.0153,0.497,0.8,0.0,0.253,-3.755,1,0.0299,167.073,4,0.578,213720
47,楓,0.192,0.441,0.706,0.677,0.0847,-5.27,1,0.0287,80.108,4,0.463,208033
48,君に届け,0.0162,0.449,0.872,0.0,0.188,-4.744,1,0.0747,144.128,4,0.523,202196
49,Shape of You,0.581,0.825,0.652,0.0,0.0931,-3.183,0,0.0802,95.977,4,0.931,198485
50,鱗(うろこ),0.074,0.442,0.748,0.0,0.1,-5.448,1,0.0302,89.956,4,0.493,196521
51,Señorita,0.0392,0.759,0.548,0.0,0.0828,-6.049,0,0.029,116.967,4,0.749,185874
52,us,0.0399,0.572,0.778,0.0,0.123,-4.363,1,0.0382,123.83,4,0.173,179007
53,Amazing,0.00656,0.618,0.86,0.0,0.357,-5.114,1,0.0457,133.967,4,0.652,177848
54,貴方解剖純愛歌〜死ね〜,0.0028,0.422,0.918,0.0,0.0409,-3.347,1,0.069,168.029,4,0.469,174569
55,Beautiful People (feat. Khalid),0.124,0.64,0.647,0.0,0.0801,-8.114,0,0.186,92.979,4,0.546,169547
56,bad guy,0.328,0.701,0.425,0.13,0.1,-10.965,1,0.375,135.128,4,0.562,167348
57,真夏の夜の匂いがする,0.0566,0.474,0.86,3.57e-06,0.14,-2.022,1,0.0921,202.937,4,0.729,166811
58,Never Grow Up,0.145,0.805,0.858,2.66e-05,0.0686,-4.532,1,0.059,105.021,4,0.483,162111
59,I Don't Care (with Justin Bieber),0.0902,0.798,0.676,0.0,0.0894,-5.041,1,0.0442,101.956,4,0.843,161953
60,Wasted Nights,0.0156,0.556,0.833,0.0,0.0659,-5.29,1,0.0402,125.07,4,0.374,159571
61,丸ノ内サディスティック,0.113,0.425,0.916,0.000398,0.108,-2.909,1,0.118,199.694,4,0.659,157958
62,South of the Border (feat. Camila Cabello & Cardi B),0.148,0.857,0.621,0.0,0.0865,-6.376,0,0.0825,97.989,4,0.668,157844
63,モス,0.0404,0.501,0.92,3.07e-05,0.321,-3.229,0,0.0359,157.968,4,0.954,154975
64,CHEERS,0.072,0.636,0.807,0.0,0.265,-3.762,1,0.0509,133.049,4,0.594,154612
65,Love so sweet,0.1,0.584,0.849,0.0,0.304,-3.983,1,0.0403,139.032,4,0.707,154251
66,Rat-tat-tat,0.0517,0.582,0.944,0.0,0.088,-2.269,0,0.302,148.988,3,0.783,153610
67,アイノカタチ,0.0241,0.39,0.654,0.0,0.196,-6.247,1,0.0335,180.043,4,0.304,153207
68,恋音と雨空,0.0512,0.625,0.86,0.0,0.408,-4.456,1,0.0314,129.064,4,0.533,152154
69,WanteD! WanteD!,0.025,0.559,0.806,0.0,0.0433,-2.461,1,0.0498,160.019,4,0.632,152062
70,Slumberland,0.144,0.664,0.791,0.0,0.533,-6.683,0,0.0896,100.015,4,0.77,151539
71,僕のこと,0.0129,0.439,0.708,0.0,0.147,-3.825,1,0.0528,160.027,4,0.454,150927
72,ヒロイン,0.209,0.431,0.598,0.0,0.218,-3.733,1,0.0296,76.18,4,0.356,149530
73,花束,0.0178,0.519,0.713,0.0,0.353,-3.612,1,0.0324,159.963,4,0.505,149382
74,Kimiga Kureta Natsu,0.31,0.51,0.615,0.0,0.117,-4.207,1,0.0283,169.814,4,0.463,146612
75,明日も,0.0142,0.415,0.857,0.0,0.0772,-1.696,1,0.048,178.919,4,0.663,143694
76,Make It Right (feat. Lauv),0.0304,0.584,0.685,0.0,0.189,-7.811,1,0.425,97.551,4,0.345,142130
