,name,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,streams,country,id
0,Peaches (feat. Daniel Caesar & Giveon),0.321,0.677,0.696,0.0,0.42,-6.181,1,0.119,90.03,4,0.464,2008529,Netherland,4iJyoBOLtHqaGxP12qzhQI
1,Blijven Slapen,0.221,0.751,0.549,0.0,0.112,-7.798,0,0.106,106.01,4,0.735,1594305,Netherland,7BRKEcW05hOZMJ3bKOOzQl
2,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,0.0076,0.824,0.862,0.000132,0.303,-3.424,1,0.126,122.98,4,0.801,1431304,Netherland,4cG7HUWYHBV6R6tHn1gxrl
3,501,0.162,0.613,0.796,0.0,0.292,-3.672,1,0.203,186.102,4,0.749,1302169,Netherland,0Fl4PBfIwC5G1IQAF1luUm
4,Goud,0.162,0.736,0.486,0.0,0.121,-7.627,0,0.043,110.026,4,0.562,1263411,Netherland,3aViSiRTiK1e5OqJtUk3MS
5,MONTERO (Call Me By Your Name),0.297,0.61,0.508,0.0,0.384,-6.682,0,0.152,178.818,4,0.758,1255008,Netherland,3BZEcbdtXQSo7OrvKRJ6mb
6,Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,0.0441,0.722,0.893,0.000937,0.0673,-3.255,0,0.0475,119.932,4,0.439,1251651,Netherland,3iw6V4LH7yPj1ESORX9RIN
7,Astronaut In The Ocean,0.175,0.778,0.695,0.0,0.15,-6.865,0,0.0913,149.996,4,0.472,1105703,Netherland,3VT8hOC5vuDXBsHrR53WFh
8,Hold On,0.0104,0.658,0.634,0.0,0.12,-6.068,0,0.0431,140.002,4,0.302,1088861,Netherland,1nahzW3kfMuwReTka28tH5
9,Als Ik Je Weer Zie,0.372,0.74,0.604,0.0,0.0829,-6.784,1,0.0379,101.925,4,0.602,1004951,Netherland,3yraHvsUkmnJjGhOrx1CSg
10,The Business,0.414,0.798,0.62,0.0192,0.112,-7.079,0,0.232,120.031,4,0.235,923223,Netherland,6f3Slt0GbA2bPZlz0aIFXN
11,WITHOUT YOU,0.213,0.662,0.413,0.0,0.134,-7.357,1,0.0299,93.005,4,0.467,914643,Netherland,27OeeYzk6klgBh83TSvGMA
12,drivers license,0.721,0.585,0.436,1.31e-05,0.105,-8.761,1,0.0601,143.874,4,0.132,907071,Netherland,7lPN2DXiMsVn7XUKtOW1CS
13,Cover Me In Sunshine,0.0599,0.476,0.594,0.0,0.0785,-6.879,1,0.135,159.702,4,0.314,903448,Netherland,6Tio0ZoDeSQnI7EBAqWer2
14,Your Love (9PM),0.194,0.669,0.784,6.28e-06,0.115,-5.603,1,0.112,125.993,4,0.517,855237,Netherland,5YaskwnGDZFDRipaqzbwQx
15,Nu Wij Niet Meer Praten,0.572,0.64,0.557,0.0,0.0934,-4.747,1,0.0253,105.992,4,0.331,810290,Netherland,13UfB1tm7QYrhtW8FhPYmW
16,Fisherman,0.0164,0.554,0.678,1.63e-06,0.0891,-3.029,1,0.175,67.403,4,0.183,793295,Netherland,0phcrAwEZgGZ2do3GaZYAd
17,All We Got (feat. KIDDO),0.286,0.504,0.76,0.0,0.151,-4.246,1,0.0426,183.933,4,0.64,782309,Netherland,1iAyJBksvAI6DQEnzv8l1E
18,Leave The Door Open,0.182,0.586,0.616,0.0,0.0927,-7.964,1,0.0324,148.088,4,0.719,774725,Netherland,7MAibcTli4IisCtbHKrGMh
19,Anyone,0.185,0.685,0.521,3.59e-06,0.111,-8.285,1,0.0345,115.885,4,0.578,771404,Netherland,2WnAKZefdRHxtBEkRjFOHC
20,Floating Through Space,0.00172,0.575,0.844,0.0,0.114,-4.89,0,0.072,104.914,4,0.277,725209,Netherland,0XwSUpdrF7nR7hVxbDs7mb
21,BED,0.0142,0.671,0.782,0.00221,0.333,-4.593,1,0.0341,123.989,4,0.618,713026,Netherland,0siYMEsGrzzzlWLXK5zJfS
22,Love Not War (The Tampa Beat),0.105,0.738,0.85,0.0,0.23,-3.049,1,0.0642,98.013,4,0.865,697641,Netherland,4Lt6GXGzYsa1tgkv3nGSTm
23,Paradise (feat. Dermot Kennedy),0.0689,0.632,0.595,0.0,0.209,-7.644,0,0.0401,124.114,4,0.435,691246,Netherland,6ft4hAq6yde8jPZY2i5zLr
24,Ven Ven,0.0831,0.763,0.843,0.0,0.0612,-4.254,1,0.0731,104.053,4,0.76,638724,Netherland,3upYG0cy9J2QhyV4GgV37x
25,We're Good,0.0319,0.722,0.588,0.0,0.183,-5.932,1,0.0544,134.01,4,0.59,636715,Netherland,1diS6nkxMQc3wwC4G1j0bh
26,Geen Hype,0.353,0.833,0.552,0.0,0.11,-7.56,0,0.287,139.968,4,0.514,576641,Netherland,1CwhKXOiL4vyUcNYqo3dVF
27,NIKE TECH,0.0406,0.89,0.833,2.19e-06,0.0705,-5.289,0,0.283,143.013,4,0.688,575570,Netherland,7kqftRMUoBeeyb4ZkAKPiA
28,Head & Heart (feat. MNEK),0.168,0.734,0.874,1.14e-05,0.0489,-3.158,1,0.0662,122.953,4,0.905,550290,Netherland,6cx06DFPPHchuUAcTxznu9
29,In De Schuur,0.124,0.776,0.686,0.0,0.123,-6.932,1,0.0458,139.969,4,0.88,545465,Netherland,4d2NiGtCaVrMihMfarLE8o
30,Hypnotized,0.0968,0.69,0.813,0.000324,0.109,-5.084,0,0.0997,108.078,4,0.704,518367,Netherland,0vWUhCPxpJOJR5urYbZypB
31,Follow You,0.00209,0.542,0.732,7.92e-05,0.496,-5.956,1,0.0521,124.912,4,0.489,505131,Netherland,7FdUvDkaE24o3FPIWTvzv2
32,Roller Coaster,0.563,0.43,0.376,0.00629,0.123,-10.064,1,0.0274,97.097,4,0.272,503816,Netherland,1z2HAz6JcwfGHKMSgKEA3D
33,Rise,0.228,0.689,0.612,7.77e-06,0.368,-6.014,1,0.0387,122.076,4,0.461,498625,Netherland,7HXBG0W8gFJwHUh5mVF9tf
34,Get Out My Head,0.0542,0.693,0.913,6.87e-05,0.231,-3.035,1,0.0298,123.989,4,0.795,468850,Netherland,055Mme9ReKK99jRFA5UJ55
35,GIRL LIKE ME,0.0194,0.964,0.486,0.04,0.0694,-8.891,1,0.188,124.058,4,0.318,468552,Netherland,2vBET2pmrQqafaS6zIaYta
36,Afterglow,0.698,0.641,0.324,0.0,0.328,-5.851,1,0.0299,110.184,4,0.273,463916,Netherland,0E4Y1XIbs8GrAT1YqVy6dq
37,Save Your Tears,0.0212,0.68,0.826,1.24e-05,0.543,-5.487,1,0.0309,118.051,4,0.644,459856,Netherland,5QO79kh1waicV47BqGRL3g
38,Door De Wind,0.705,0.579,0.0945,4.27e-06,0.0817,-18.377,1,0.0396,123.994,4,0.353,453998,Netherland,3h7NZT1CATbn4GqUs51vwf
39,Levitating (feat. DaBaby),0.00883,0.702,0.825,0.0,0.0674,-3.787,0,0.0601,102.977,4,0.915,451970,Netherland,5nujrmhLynf4yMoMtj8AQF
40,Frans Duits,0.152,0.842,0.678,0.0,0.0669,-6.361,1,0.101,118.048,4,0.919,443414,Netherland,6iSm0u8DL5MqeptlsoeS90
41,De Overkant,0.116,0.628,0.57,0.0,0.0861,-6.693,1,0.084,79.071,4,0.822,437402,Netherland,4afGO0WTInDhK2C3dolz8z
42,deja vu,0.593,0.439,0.61,1.07e-05,0.341,-7.236,1,0.116,181.088,4,0.172,435132,Netherland,61KpQadow081I2AsbeLcsb
43,Holy (feat. Chance The Rapper),0.2,0.67,0.693,0.0,0.0909,-8.34,1,0.35,87.017,4,0.388,429251,Netherland,6Xgq7MvZiet0hVi3KaDSgJ
44,My Head & My Heart,0.0697,0.614,0.934,0.0,0.121,-3.709,0,0.07,116.001,4,0.436,426132,Netherland,1KixkQVDUHggZMU9dUobgm
45,Een Moment,0.342,0.438,0.645,2.15e-05,0.132,-6.597,1,0.0289,149.782,4,0.394,422903,Netherland,2EgnCPvbhL5suzKQIUoULA
46,Goosebumps,0.325,0.767,0.659,0.0,0.13,-7.429,1,0.0444,124.946,4,0.439,415939,Netherland,20McUFi8KCIVdNDLrkTDuZ
47,Calling My Phone,0.451,0.907,0.393,1.35e-06,0.135,-7.636,0,0.0539,104.949,4,0.202,410185,Netherland,3J8EOeKLTLXORtWPpOU5bE
48,Blinding Lights,0.00146,0.514,0.73,9.54e-05,0.0897,-5.934,1,0.0598,171.005,4,0.334,408183,Netherland,0VjIjW4GlUZAMYd2vXMi3b
49,Heartbreak Anniversary,0.524,0.449,0.465,1.02e-06,0.303,-8.964,1,0.0791,89.087,3,0.543,394592,Netherland,3FAJ6O0NOHQV8Mc5Ri6ENp
50,MANSORY,0.0982,0.907,0.649,0.0,0.0786,-6.479,1,0.234,94.99,4,0.561,386301,Netherland,1pnjvEwTPRCc3luh7K6nXC
51,Pressure (feat. Tove Lo),0.659,0.859,0.558,0.324,0.124,-8.991,0,0.0902,114.978,4,0.357,379354,Netherland,4ga4WvRNhMsIL38pkBbnIN
52,10 Keer,0.00758,0.602,0.755,0.0,0.1,-5.297,1,0.247,131.054,5,0.549,378094,Netherland,0w0ZsbRUjoAONcoO85rPHt
53,Little Bit of Love,0.0833,0.689,0.706,0.0,0.105,-4.48,0,0.0312,106.52,4,0.623,374335,Netherland,3Iba59sFmGhQ4kbCY5L8AX
54,De Echte Vent,0.823,0.641,0.349,7.17e-05,0.125,-7.569,1,0.0264,92.445,4,0.412,374248,Netherland,01MCHGtGZHtYVeVUNqgMbC
55,Lifestyle (feat. Adam Levine),0.0209,0.749,0.674,0.0,0.169,-5.128,0,0.0366,123.055,4,0.711,364489,Netherland,0osvOdeD3YXZiWkT8MKolJ
56,1 Op Een Miljoen,0.772,0.667,0.449,0.0,0.0947,-7.363,1,0.0334,93.999,4,0.427,362839,Netherland,1Ox6RIOerYvgRH9AxIl4DO
57,Nobody Is Perfect,0.0279,0.579,0.593,0.0,0.172,-7.971,1,0.0436,89.92,4,0.361,360274,Netherland,7Cwsh08UEGp6dTWESwwkNd
58,Blijf Nog Even Hier (feat. Paskal Jakobsen),0.188,0.753,0.454,1.53e-06,0.0813,-7.368,1,0.0389,90.042,4,0.249,358611,Netherland,49Kh1urdQ6y3ozAhYISnBv
