,name,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,streams,country,id
0,Blinding Lights,0.00147,0.513,0.796,0.000209,0.0938,-4.075,1,0.0629,171.017,4,0.345,3089394,England,0sf12qNH5qcw8qpgymFOqD
1,Roses - Imanbek Remix,0.0167,0.77,0.724,0.0107,0.353,-5.484,1,0.0495,121.975,4,0.898,2878197,England,24Yi9hE78yPEbZ4kxyoXAI
2,The Box,0.104,0.896,0.586,0.0,0.79,-6.687,0,0.0559,116.971,4,0.642,2711921,England,0nbXyq5TXYPCO7pr3N8S4I
3,Rain,0.0262,0.871,0.87,1.98e-06,0.109,-4.797,1,0.202,150.147,4,0.83,2369440,England,5LBikzSkad9yQ6RH87Gdrm
4,Say So,0.256,0.787,0.673,3.57e-06,0.0904,-4.577,0,0.158,110.962,4,0.786,1839891,England,3Dv1eDb0MEgF93GpLXlucZ
5,Dance Monkey,0.688,0.825,0.593,0.000161,0.17,-6.401,0,0.0988,98.078,4,0.54,1816835,England,1rgnBhdG2JDFTbYkYRZAku
6,Intentions (feat. Quavo),0.3,0.806,0.546,0.0,0.102,-6.637,1,0.0575,147.986,4,0.874,1797598,England,4umIPjkehX1r7uhmGvXiSV
7,Don't Start Now,0.0125,0.794,0.793,0.0,0.0952,-4.521,0,0.0842,123.941,4,0.677,1788448,England,6WrI0LAC5M1Rw2MnX2ZvEg
8,Godzilla (feat. Juice WRLD),0.145,0.808,0.745,0.0,0.292,-5.26,0,0.342,165.995,4,0.829,1780906,England,7FIWs0pqAYbP91WWM0vlTQ
9,Before You Go,0.604,0.459,0.575,0.0,0.0885,-4.858,1,0.0573,111.881,4,0.183,1733769,England,2gMXnyrvIjhVBUZwvLZDMP
10,Lonely,0.0946,0.697,0.921,1.9e-05,0.159,-4.283,1,0.0424,123.988,4,0.722,1714565,England,2ZEq4HT450Ye9IFGPTl9qV
11,Physical,0.0137,0.647,0.844,0.000658,0.102,-3.756,1,0.0457,146.962,4,0.746,1675417,England,5px6upUHM3fhOP621Edp4V
12,Own It (feat. Ed Sheeran & Burna Boy),0.00838,0.817,0.781,5.21e-06,0.123,-4.178,0,0.112,104.0,4,0.359,1615551,England,4QPEwDdOMhY7rNS05mTyMR
13,Blueberry Faygo,0.207,0.774,0.554,0.0,0.132,-7.909,1,0.0383,99.034,4,0.349,1519165,England,22LAwLoDA5b4AaGSkg6bKW
14,Adore You,0.0237,0.676,0.771,7e-06,0.102,-3.675,1,0.0483,99.048,4,0.569,1496967,England,3jjujdWJ72nww5eGnfs2E7
15,Someone You Loved,0.751,0.501,0.405,0.0,0.105,-5.679,1,0.0319,109.891,4,0.446,1495043,England,7qEHsqek33rTcFNT9PFqLf
16,Life Is Good (feat. Drake),0.0706,0.676,0.609,0.0,0.152,-5.831,0,0.481,142.037,4,0.508,1440540,England,5yY9lUy8nbvjM1Uyo1Uqoc
17,No Time To Die,0.917,0.38,0.219,0.0104,0.0827,-13.273,0,0.0358,73.537,4,0.0517,1392076,England,73SpzrcaHk0RQPFP73vqVR
18,You should be sad,0.143,0.591,0.585,0.0,0.109,-6.35,1,0.0277,110.94,4,0.324,1337960,England,7lidXGPXPYLNThITAOTlkK
19,ROXANNE,0.0522,0.621,0.601,0.0,0.46,-5.616,0,0.148,116.735,5,0.457,1253310,England,696DnlkuDOXcMAnKlTgXXK
20,death bed (coffee for your head),0.731,0.726,0.431,0.0,0.696,-8.765,0,0.135,144.026,4,0.348,1245073,England,7eJMfftS33KTjuF7lTsMCx
21,Supalonely,0.305,0.863,0.631,3.04e-05,0.123,-4.689,1,0.0534,128.977,4,0.817,1211262,England,4nK5YrxbMGZstTLbvj6Gxw
22,Better Off Without You (feat. Shift K3Y),0.0566,0.682,0.855,1e-06,0.101,-3.282,1,0.0401,124.004,4,0.304,1178075,England,3oIVK7arAFuUOCGafPLxSC
23,Stupid Love,0.00146,0.676,0.815,0.00041,0.275,-4.294,1,0.0625,117.973,4,0.796,1113458,England,2kJu14V7hbZw3I4K8L8SXb
24,Boyfriend,0.0569,0.795,0.848,0.0,0.0586,-3.128,1,0.0543,99.981,4,0.691,1109449,England,0B2su5lNZe9t3VjOkwtDLV
25,Falling,0.123,0.785,0.431,0.0,0.0887,-8.756,0,0.0364,127.085,4,0.236,1074015,England,4TnjEaWOeW0eKTKIEvJyCa
26,My Oh My (feat. DaBaby),0.018,0.724,0.491,1.29e-05,0.0887,-6.024,1,0.0296,105.046,4,0.383,1061797,England,3yOlyBJuViE2YSGn3nVE1K
27,everything i wanted,0.902,0.704,0.225,0.657,0.106,-14.454,0,0.0994,120.006,4,0.243,1053264,England,3ZCTVFBt2Brf31RLEnCkWJ
28,Circles,0.192,0.695,0.762,0.00244,0.0863,-3.497,1,0.0395,120.042,4,0.553,1049885,England,21jGcNKet2qwijlDFuPiPb
29,CITY OF ANGELS,0.042,0.686,0.541,0.0,0.0675,-4.993,0,0.0493,120.082,4,0.724,1045943,England,6ap9lSRJ0iLriGLqoJ44cq
30,Bruises,0.946,0.736,0.308,0.0,0.186,-7.83,1,0.0677,111.202,4,0.361,1041484,England,4Of7rzpRpV1mWRbhp5rAqG
31,Falling,0.839,0.567,0.267,1.46e-06,0.089,-6.502,1,0.0299,110.011,4,0.0592,995110,England,1ZMiCix7XSAbfAJlEZWMCp
32,To Die For,0.832,0.483,0.361,4.66e-06,0.098,-7.889,1,0.0738,171.649,4,0.307,939709,England,2ZTYlnhhV1UAReg7wIGolx
