,name,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,streams,country,id
0,Baby,0.166,0.771,0.921,0.000211,0.119,-4.228,0,0.109,128.021,4,0.56,5984655,Germany,1V7JaMp11LKGwKiVmSetf0
1,Weiss,0.393,0.6,0.525,0.0,0.111,-6.585,0,0.423,96.989,4,0.436,4325905,Germany,38YP1STiBe3AZevFFJILf4
2,Blinding Lights,0.00147,0.513,0.796,0.000209,0.0938,-4.075,1,0.0629,171.017,4,0.345,3925047,Germany,0sf12qNH5qcw8qpgymFOqD
3,Kein Wort,0.462,0.746,0.592,1.17e-05,0.187,-6.861,0,0.0914,160.065,4,0.629,3825379,Germany,1hoLUVBx0ixX3kn0EX0P5n
4,Mon Ami,0.188,0.801,0.731,0.0,0.111,-3.723,1,0.383,105.666,4,0.537,3579246,Germany,1R4xkZXQUQ8QJtAdwHkSgC
5,Roller,0.0256,0.941,0.758,0.00258,0.193,-6.47,0,0.17,128.017,4,0.683,3135332,Germany,6hw1Sy9wZ8UCxYGdpKrU6M
6,Donuts,0.0919,0.782,0.712,9.33e-05,0.0818,-7.377,0,0.233,141.021,4,0.572,2904358,Germany,2nNGV59DJJwk7D5ImGf6uc
7,Zu Ende,0.307,0.707,0.747,0.0,0.183,-5.212,0,0.279,80.025,4,0.491,2878578,Germany,0Vl4eICpXMjtiK0RhdaWov
8,Dance Monkey,0.688,0.825,0.593,0.000161,0.17,-6.401,0,0.0988,98.078,4,0.54,2581249,Germany,1rgnBhdG2JDFTbYkYRZAku
9,PUBLIC ENEMIES (feat. Kollegah & Fler),0.0512,0.623,0.612,0.0,0.282,-8.698,1,0.3,156.436,4,0.374,2424673,Germany,6a1eOZTiZdgFRUOnMBjT4j
10,The Box,0.104,0.896,0.586,0.0,0.79,-6.687,0,0.0559,116.971,4,0.642,2400088,Germany,0nbXyq5TXYPCO7pr3N8S4I
11,KRIMINELL,0.182,0.808,0.691,0.0,0.231,-6.777,0,0.0898,114.957,4,0.615,2344043,Germany,3ecKtWMr8HK99YOs7L6Ps3
12,Breaking Me,0.223,0.789,0.72,0.0,0.129,-5.652,0,0.218,122.031,4,0.664,2337938,Germany,3H7ihDc1dqLriiWXwsc2po
13,Falling,0.123,0.785,0.431,0.0,0.0887,-8.756,0,0.0364,127.085,4,0.236,2156658,Germany,4TnjEaWOeW0eKTKIEvJyCa
14,Bin da,0.409,0.85,0.744,0.002,0.148,-3.769,0,0.0455,108.012,4,0.834,2024417,Germany,2fzPZOozISzcAU7FSwkN7g
15,Kommunikation,0.237,0.771,0.731,3.48e-05,0.217,-5.387,0,0.0534,76.98,4,0.844,1966965,Germany,2GdDsXV5v47AZsuwtGjKKy
16,136er,0.0701,0.59,0.727,0.0,0.117,-4.997,1,0.288,90.507,4,0.191,1962572,Germany,6Q2CA0eSQcQsue63QwnLnB
17,What If I Told You That I Love You,0.63,0.605,0.365,6.83e-06,0.0554,-11.144,1,0.111,84.628,4,0.224,1933239,Germany,3cqPu20DGTGUoZtbJH2Dmi
18,Roses - Imanbek Remix,0.0167,0.77,0.724,0.0107,0.353,-5.484,1,0.0495,121.975,4,0.898,1924295,Germany,24Yi9hE78yPEbZ4kxyoXAI
19,Alien,0.298,0.835,0.601,0.0,0.111,-6.411,1,0.0562,137.998,4,0.853,1860034,Germany,2RaKlveGCllSaXloN8kmzV
20,Skifahren (feat. Joshi Mizu),0.223,0.719,0.705,1.89e-06,0.152,-6.891,0,0.252,133.927,4,0.435,1808004,Germany,1E1YyZjbteIz2XQyLvtRxD
21,Godzilla (feat. Juice WRLD),0.145,0.808,0.745,0.0,0.292,-5.26,0,0.342,165.995,4,0.829,1788068,Germany,7FIWs0pqAYbP91WWM0vlTQ
22,6AM.........,0.559,0.731,0.518,0.0,0.18,-7.603,0,0.0567,105.006,4,0.383,1751626,Germany,36J10AwMabBYxgNrV2S8gd
