,name,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,streams,country,id
0,Sunflower - Spider-Man: Into the Spider-Verse,0.556,0.76,0.479,0.0,0.0703,-5.574,1,0.0466,89.911,4,0.913,32548077,Global,3KkXRkHbMCARz0aVfEt68P
1,"thank u, next",0.28,0.724,0.647,0.0,0.102,-5.642,1,0.0658,106.96,4,0.435,29904412,Global,2rPE9A1vEgShuZxxzR2tZH
2,Wow.,0.163,0.833,0.539,2.1e-06,0.101,-7.399,0,0.178,99.947,4,0.385,29752551,Global,6MWtB6iiXyIwun0YzU6DFP
3,Without Me,0.297,0.752,0.488,9.11e-06,0.0936,-7.05,1,0.0705,136.041,4,0.533,24867431,Global,5p7ujcrUXASCNwRaWNHR1C
4,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",0.157,0.842,0.801,4.82e-06,0.0642,-4.167,0,0.228,95.881,4,0.617,22845885,Global,4w8niZpiMy6qz1mntFA5uM
5,Sweet but Psycho,0.0691,0.719,0.704,0.0,0.166,-4.724,1,0.0476,133.002,4,0.628,21942752,Global,25sgk305KZfyuqVBQIahim
6,Calma - Remix,0.323,0.826,0.773,0.0,0.143,-4.218,0,0.0524,126.899,4,0.761,20326903,Global,5iwz1NiezX7WWjnCgY5TH4
7,MIA (feat. Drake),0.0141,0.817,0.539,0.000496,0.099,-6.349,0,0.0621,97.062,4,0.158,19414160,Global,116H0KvKr2Zl4RPuVBruDO
8,Happier,0.191,0.687,0.792,0.0,0.167,-2.749,1,0.0452,100.015,4,0.671,18637219,Global,2dpaYNEQHiRxtZbfNsse99
9,SICKO MODE,0.00513,0.834,0.73,0.0,0.124,-3.714,1,0.222,155.008,4,0.446,18588911,Global,2xLMifQCjDGFmkHkpNLD9h
10,High Hopes,0.193,0.579,0.904,0.0,0.064,-2.729,1,0.0618,82.014,4,0.681,18340295,Global,1rqqCSm0Qe4I9rUvWncaom
11,Going Bad (feat. Drake),0.259,0.889,0.496,0.0,0.252,-6.365,0,0.0905,86.003,4,0.544,17137403,Global,2IRZnDFmlqMuOrYOLnZZyc
12,Adan y Eva,0.323,0.767,0.709,0.0,0.0676,-4.47,1,0.336,171.993,4,0.72,16773308,Global,6FyRXC8tJUh863JCkyWqtk
13,ZEZE (feat. Travis Scott & Offset),0.0521,0.861,0.603,0.0,0.0924,-5.788,0,0.176,98.043,4,0.504,16713258,Global,0FZ4Dmg8jJJAPJnvBIzD9z
14,Shallow,0.371,0.572,0.385,0.0,0.231,-6.362,1,0.0308,95.799,4,0.323,16498186,Global,2VxeLyX666F8uXCJ0dZF8B
15,Eastside (with Halsey & Khalid),0.549,0.632,0.686,0.0,0.2,-7.665,0,0.243,89.949,4,0.329,14344693,Global,7FGq80cy8juXBCD2nrqdWU
16,Drip Too Hard (Lil Baby & Gunna),0.0852,0.897,0.662,0.0,0.534,-6.903,0,0.292,112.511,4,0.389,13970600,Global,78QR3Wp35dqAhFEc2qAGjE
17,Mo Bamba,0.194,0.729,0.625,0.00986,0.248,-5.266,1,0.0315,146.034,4,0.261,13371509,Global,1xzBco0xcoJEDXktl7Jxrr
18,Close To Me (with Diplo) (feat. Swae Lee),0.0954,0.575,0.758,0.0,0.394,-5.029,0,0.0618,144.107,4,0.493,13321833,Global,5JEx7HbmvHQQswJCsoo9rA
19,Arms Around You (feat. Maluma & Swae Lee),0.0302,0.703,0.723,2.06e-06,0.126,-5.45,0,0.0412,104.969,4,0.288,13293720,Global,2LskIZrCeLxRvCiGP8gxlh
20,when the party's over,0.979,0.498,0.104,7.86e-05,0.0895,-14.08,0,0.0621,124.001,3,0.205,13279895,Global,14JzyD6FlBD5z0wV5P07YI
21,Nothing Breaks Like a Heart (feat. Miley Cyrus),0.00987,0.601,0.794,1.36e-06,0.388,-5.844,0,0.0671,114.066,4,0.244,12846041,Global,27rdGxbavYJeBphck5MZAF
22,Better Now,0.331,0.68,0.578,0.0,0.135,-5.804,1,0.04,145.038,4,0.341,12621995,Global,7dt6x5M1jzdTEt8oCbisTK
23,Better,0.0765,0.596,0.552,0.334,0.104,-10.278,0,0.097,97.949,4,0.112,12406424,Global,6zeeWid2sgw4lap2jV61PZ
24,Girls Like You (feat. Cardi B),0.568,0.851,0.541,0.0,0.13,-6.825,1,0.0505,124.959,4,0.448,12367756,Global,7fa9MBXhVfQ8P8Df9OEbD8
25,imagine,0.374,0.714,0.474,0.0,0.106,-4.993,1,0.039,62.484,3,0.376,12262149,Global,0todbbT9g5uQGbeFCiBf2F
26,SAD!,0.258,0.74,0.613,0.00372,0.123,-4.88,1,0.145,75.023,4,0.473,12011402,Global,3ee8Jmje8o58CHK66QrVC2
27,Be Alright,0.697,0.553,0.586,0.0,0.0813,-6.319,1,0.0362,126.684,4,0.443,11920154,Global,3EPXxR3ImUwfayaurPi3cm
28,Bohemian Rhapsody - Remastered 2011,0.288,0.392,0.402,0.0,0.243,-9.961,0,0.0536,143.883,4,0.228,11376248,Global,7tFiyTwD0nx5a1eklYtX2J
29,Saturday Nights,0.606,0.551,0.44,3.02e-05,0.11,-8.559,1,0.0985,167.923,4,0.341,11371337,Global,5kfNriitmkNE8mUbZ7gbq8
30,Lucid Dreams,0.349,0.511,0.566,0.0,0.34,-7.23,0,0.2,83.903,4,0.218,11197891,Global,285pBltuF7vW8TeWk8hdRR
31,In My Mind,0.176,0.694,0.77,1.1e-05,0.118,-5.335,1,0.149,125.905,4,0.163,10987254,Global,0E9ZjEAyAwOXZ7wJC0PD33
32,Ella Quiere Beber - Remix,0.265,0.751,0.665,0.0,0.0515,-3.083,1,0.124,95.239,4,0.698,10777081,Global,2cYnZNzFRFK0H7vSNxPsUq
33,Leave Me Alone,0.107,0.792,0.743,0.0,0.183,-2.806,1,0.0851,150.024,4,0.742,10692302,Global,14mHfNsSHN0FbLftyjrV9g
34,Look Back at It,0.407,0.791,0.587,0.0,0.148,-5.075,0,0.0413,96.057,4,0.536,10609203,Global,3Ol2xnObFdKV9pmRD2t9x8
35,rockstar (feat. 21 Savage),0.124,0.585,0.52,7.01e-05,0.131,-6.136,0,0.0712,159.801,4,0.129,10356940,Global,0e7ipj03S05BNilyu5bRzt
36,Moonlight,0.556,0.921,0.537,0.00404,0.102,-5.723,0,0.0804,128.009,4,0.711,10195921,Global,0JP9xo3adEtGSdUEISiszL
37,Solo de Mi,0.287,0.743,0.73,8.1e-05,0.0778,-4.314,0,0.125,179.972,4,0.15,10172678,Global,4uP3pUP18ennmz0tb3GphR
38,Wake Up in the Sky,0.00381,0.8,0.578,0.0,0.367,-5.144,0,0.0485,143.01,4,0.367,9846321,Global,2G1tXoGBaEMJ7FKGnkf6ud
39,Bad Liar,0.0722,0.383,0.637,0.0,0.368,-6.993,1,0.0703,177.913,4,0.0827,9782856,Global,2RSHsoi04658QL5xgQVov3
40,Promises (with Sam Smith),0.0119,0.781,0.768,4.91e-06,0.325,-5.991,1,0.0394,123.07,4,0.486,9779178,Global,5N5k9nd479b1xpDZ4usjrg
41,I Like It,0.099,0.816,0.726,0.0,0.372,-3.998,0,0.129,136.048,4,0.65,9747111,Global,58q2HKrzhC3ozto2nDdN4z
