,name,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,streams,country,id
0,Duurt Te Lang (Beste Zangers Seizoen 2019),0.127,0.638,0.444,0.0,0.0905,-14.221,1,0.196,173.707,4,0.151,2593256,Netherland,2rzZ0IGxgrGUAPwrWn80z7
1,HUTS,0.032,0.745,0.573,0.0,0.288,-6.811,1,0.344,95.128,4,0.683,2384494,Netherland,0UMaqPntFC8dFOc7p3Iefj
2,Freak In The Weekend,0.158,0.924,0.505,0.0,0.121,-7.928,0,0.205,120.04,4,0.694,2015947,Netherland,5H6uaK8A2ZvUAOSCUCfyV3
3,Culo,0.119,0.689,0.854,0.00408,0.322,-3.602,1,0.111,174.054,4,0.796,1513260,Netherland,442ctQ3OBBk8aMo3Ma3wRX
4,Verleden Tijd,0.131,0.771,0.661,5.45e-06,0.114,-6.718,1,0.0916,104.884,4,0.183,1412856,Netherland,4kuexchmxuc5NXmokfo1WH
5,"thank u, next",0.28,0.724,0.647,0.0,0.102,-5.642,1,0.0658,106.96,4,0.435,1410548,Netherland,2rPE9A1vEgShuZxxzR2tZH
6,Speciaal,0.37,0.717,0.537,0.00121,0.172,-7.413,0,0.158,195.782,4,0.569,1392746,Netherland,33lRqBuJadiYa1Z3p1Zrc3
7,Sweet but Psycho,0.0691,0.719,0.704,0.0,0.166,-4.724,1,0.0476,133.002,4,0.628,1375416,Netherland,25sgk305KZfyuqVBQIahim
8,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",0.157,0.842,0.801,4.82e-06,0.0642,-4.167,0,0.228,95.881,4,0.617,1193773,Netherland,4w8niZpiMy6qz1mntFA5uM
9,SLIDE,0.0388,0.747,0.753,1.03e-06,0.132,-5.703,0,0.0504,96.99,4,0.724,1103150,Netherland,0cvgns9yWdycXStdjLzoZT
10,Be Alright,0.697,0.553,0.586,0.0,0.0813,-6.319,1,0.0362,126.684,4,0.443,1054484,Netherland,3EPXxR3ImUwfayaurPi3cm
11,Voorbij,0.549,0.852,0.698,0.000297,0.096,-5.312,0,0.194,100.008,4,0.814,985210,Netherland,4nQnGxDEOBy5PUihTPSdIZ
12,Shallow,0.371,0.572,0.385,0.0,0.231,-6.362,1,0.0308,95.799,4,0.323,960222,Netherland,2VxeLyX666F8uXCJ0dZF8B
13,Let You Love Me,0.288,0.531,0.854,0.0,0.0773,-3.149,1,0.198,94.419,4,0.456,930284,Netherland,6xtcFXSo8H9BZN637BMVKS
14,Happier,0.191,0.687,0.792,0.0,0.167,-2.749,1,0.0452,100.015,4,0.671,868261,Netherland,2dpaYNEQHiRxtZbfNsse99
15,Señorita,0.0545,0.821,0.735,0.0,0.122,-8.084,0,0.164,110.057,4,0.538,863080,Netherland,6uUSmhfdiOR7gYeTN430kA
16,Promises (with Sam Smith),0.0119,0.781,0.768,4.91e-06,0.325,-5.991,1,0.0394,123.07,4,0.486,856470,Netherland,5N5k9nd479b1xpDZ4usjrg
17,PARANOIA,0.237,0.779,0.471,0.0722,0.102,-8.735,0,0.115,94.985,4,0.349,845646,Netherland,5kHMdJLmN364FvFfky3AXI
18,In My Mind,0.176,0.694,0.77,1.1e-05,0.118,-5.335,1,0.149,125.905,4,0.163,791949,Netherland,0E9ZjEAyAwOXZ7wJC0PD33
19,Djadja,0.0617,0.811,0.797,0.0,0.112,-5.428,1,0.165,97.988,4,0.541,725665,Netherland,7sKDftgGirHWTVFMtJoDoh
20,Shotgun,0.286,0.673,0.735,0.0,0.242,-4.733,1,0.0457,115.744,4,0.754,718913,Netherland,4ofwffwvvnbSkrMSCKQDaC
21,Natural,0.217,0.704,0.611,0.0,0.0812,-6.112,1,0.0409,100.0,4,0.22,710098,Netherland,2FY7b99s15jUprqC0M5NCT
22,VRIJDAG,0.73,0.875,0.138,3.66e-06,0.339,-11.565,0,0.107,126.968,4,0.533,691770,Netherland,3yUFqT76kXAVoXxKm2t1GT
23,Rise,0.327,0.687,0.785,0.0,0.203,-4.65,1,0.0333,106.046,4,0.655,684234,Netherland,3KLygy1YWhmrQx0GRs7IOx
24,Happy Now,0.374,0.693,0.575,0.0,0.252,-6.998,1,0.0801,117.999,4,0.492,673361,Netherland,14sOS5L36385FJ3OL8hew4
25,Woman Like Me (feat. Nicki Minaj),0.177,0.754,0.854,0.0,0.0808,-3.449,0,0.0608,75.002,4,0.8,655322,Netherland,222B3aljXx6fFwKmFjuBED
26,High On Life (feat. Bonn),0.0129,0.414,0.486,0.0,0.111,-6.431,0,0.0311,128.038,4,0.368,645976,Netherland,4ut5G4rgB1ClpMTMfjoIuy
27,wine slow - remix,0.306,0.817,0.733,0.147,0.0878,-6.84,1,0.0595,96.015,4,0.801,638992,Netherland,4sfdFMNDcc0Aw9DuwEksAn
28,Youngblood,0.0169,0.596,0.854,0.0,0.124,-5.114,0,0.463,120.274,4,0.152,628082,Netherland,2iUXsYOEPhVqEBwsqP70rE
29,Ik Heb Je Nodig,0.369,0.758,0.696,0.0,0.15,-6.487,1,0.0642,110.013,4,0.669,610429,Netherland,5dTXWGmCg3hQ9SmHBJdcIr
30,Eastside (with Halsey & Khalid),0.555,0.56,0.68,0.0,0.116,-7.648,0,0.321,89.391,4,0.319,599937,Netherland,0d2iYfpKoM0QCKvcLCkBao
31,Lief Zoals Je Bent,0.153,0.861,0.632,0.0,0.085,-4.457,0,0.14,153.99,4,0.65,594704,Netherland,6APqkt7c1dxMb69edPmHUA
32,Goodbye (feat. Nicki Minaj & Willy William),0.0776,0.643,0.904,0.0,0.189,-3.694,1,0.0739,103.028,4,0.481,583239,Netherland,5Xn4IyTtW6FUGIUyWjbUHG
33,Darkside,0.164,0.425,0.642,0.0,0.118,-5.06,0,0.0502,170.008,4,0.112,582320,Netherland,1snWlbcbgQpJfknoI30DWG
34,Electricity (with Dua Lipa),0.0104,0.588,0.67,3.33e-06,0.338,-6.439,1,0.0473,118.159,4,0.505,577235,Netherland,5N4erncE7kuUccm7zEmwzk
35,when the party's over,0.979,0.498,0.104,7.86e-05,0.0895,-14.08,0,0.0621,124.001,3,0.205,572424,Netherland,14JzyD6FlBD5z0wV5P07YI
36,IJskoud,0.0434,0.668,0.73,0.0109,0.368,-6.573,1,0.0476,98.024,4,0.146,549470,Netherland,2zVNIG9cfMyFxt8XqJ64s4
37,REMEDY,0.269,0.601,0.775,0.0,0.0883,-4.612,1,0.0473,119.964,4,0.483,542333,Netherland,6jreFSOTUAViWjKyzOC4Kg
38,Without Me,0.297,0.752,0.488,9.11e-06,0.0936,-7.05,1,0.0705,136.041,4,0.533,530455,Netherland,5p7ujcrUXASCNwRaWNHR1C
39,Copines,0.27,0.701,0.787,0.0,0.105,-3.941,0,0.0855,180.027,4,0.904,514607,Netherland,1Bhm5HNO1cq8olDbBmokyL
40,MIA (feat. Drake),0.0141,0.817,0.539,0.000496,0.099,-6.349,0,0.0621,97.062,4,0.158,513108,Netherland,116H0KvKr2Zl4RPuVBruDO
41,All I Want for Christmas Is You,0.164,0.336,0.627,0.0,0.0708,-7.463,1,0.0384,150.273,4,0.35,495592,Netherland,0bYg9bo50gSsH3LtXe2SQn
42,Happy Now,0.579,0.503,0.741,1.49e-06,0.0712,-5.128,1,0.047,88.335,3,0.458,495337,Netherland,4keoy2fqgwGnbWlm3ZVZFa
43,Arms Around You (feat. Maluma & Swae Lee),0.0302,0.703,0.723,2.06e-06,0.126,-5.45,0,0.0412,104.969,4,0.288,492944,Netherland,2LskIZrCeLxRvCiGP8gxlh
44,ZEZE (feat. Travis Scott & Offset),0.0515,0.861,0.637,3.35e-06,0.0967,-5.692,0,0.24,98.044,4,0.474,485504,Netherland,7l3E7lcozEodtVsSTCkcaA
45,Parkeerplaats,0.489,0.437,0.778,0.0,0.331,-8.109,1,0.639,78.324,4,0.612,475465,Netherland,3QYFKyfwyTaISlxpJRqpkf
46,"Miljonair (feat. SBMG, Lil' Kleine, Boef & Ronnie Flex)",0.579,0.704,0.658,0.0,0.305,-5.534,0,0.163,125.172,4,0.714,474085,Netherland,77wz2VtAwxAwYOGTJrZBKT
47,Whenever (feat. Conor Maynard),0.151,0.734,0.765,0.0,0.231,-5.562,1,0.0621,109.989,4,0.518,469997,Netherland,3DGar7krWlmrXRFHBcQF6z
48,Hurt Somebody,0.336,0.633,0.559,0.0,0.262,-5.135,1,0.313,114.987,4,0.473,465914,Netherland,7apizLyhMRutg3ccXvr2qv
49,Sunflower - Spider-Man: Into the Spider-Verse,0.551,0.753,0.498,0.0,0.0706,-5.61,1,0.0504,89.95,4,0.927,463282,Netherland,1A6OTy97kk0mMdm78rHsm8
50,Mr Lova (feat. Zefanio & Ir Sais),0.132,0.719,0.656,0.000987,0.0856,-3.923,1,0.459,126.743,5,0.722,442431,Netherland,6A7E3kp8GA1mjwF4HA9JmO
51,Pony-Pak,0.134,0.865,0.507,0.0,0.0925,-9.057,0,0.112,119.951,4,0.526,412073,Netherland,4PV7wZvQ0NbKbfkQrRTCRx
52,Close To Me (with Diplo) (feat. Swae Lee),0.0954,0.575,0.758,0.0,0.394,-5.029,0,0.0618,144.107,4,0.493,377723,Netherland,5JEx7HbmvHQQswJCsoo9rA
53,Hongersnood,0.0268,0.616,0.777,0.0,0.101,-5.395,0,0.358,97.618,4,0.535,377424,Netherland,2N5yaVi4DGGRweQmvUxqN3
54,Ruin My Life,0.423,0.665,0.699,0.0,0.0969,-5.265,1,0.0578,124.896,4,0.585,377277,Netherland,5tAa8Uaqr4VvA3693mbIhU
55,Love Someone,0.172,0.538,0.409,0.0,0.11,-6.581,0,0.0505,171.838,4,0.265,369724,Netherland,3id2EVGKc3eFAMn9nFnB0r
56,LA VIDA LOCA,0.146,0.848,0.694,0.0,0.149,-6.675,0,0.285,104.935,4,0.649,366159,Netherland,2c5sqTX6jCEzmLsAsPMmT7
57,I WANT YOU,0.192,0.869,0.495,0.000679,0.0977,-6.92,1,0.0504,105.002,4,0.746,350891,Netherland,1SdUIrPh4jjTlulO0s7EOA
58,Drama,0.119,0.883,0.751,0.0337,0.125,-4.718,1,0.0645,99.964,4,0.726,350766,Netherland,7iQKG3ZjRF4EEhUulo514R
59,Bohemian Rhapsody - Remastered 2011,0.288,0.392,0.402,0.0,0.243,-9.961,0,0.0536,143.883,4,0.228,348105,Netherland,7tFiyTwD0nx5a1eklYtX2J
60,New Light,0.325,0.828,0.689,0.0384,0.0808,-7.878,1,0.0326,123.931,4,0.853,347322,Netherland,40FLJc17FMZaPmCQEEZgB0
61,BAD!,0.0643,0.78,0.492,0.0313,0.174,-3.4,0,0.0671,143.983,4,0.374,343581,Netherland,4CH66Rxcjcj3VBHwmIBj4T
62,Girls Like You (feat. Cardi B),0.568,0.851,0.541,0.0,0.13,-6.825,1,0.0505,124.959,4,0.448,343218,Netherland,7fa9MBXhVfQ8P8Df9OEbD8
63,Lucid Dreams,0.349,0.511,0.566,0.0,0.34,-7.23,0,0.2,83.903,4,0.218,340754,Netherland,0s3nnoMeVWz3989MkNQiRf
64,Better,0.0765,0.596,0.552,0.334,0.104,-10.278,0,0.097,97.949,4,0.112,333563,Netherland,6zeeWid2sgw4lap2jV61PZ
65,Kiss and Make Up,0.0557,0.675,0.729,0.0,0.189,-4.383,1,0.146,99.986,4,0.63,329710,Netherland,13hvHEstJ4sNbzdroPrPI3
66,SICKO MODE,0.00513,0.834,0.73,0.0,0.124,-3.714,1,0.222,155.008,4,0.446,324919,Netherland,2xLMifQCjDGFmkHkpNLD9h
67,RATATA,0.139,0.789,0.514,0.0,0.156,-7.788,1,0.309,180.059,4,0.29,322912,Netherland,27NrAjsDk7GoH6ybEXkrC5
68,Bad Liar,0.0722,0.383,0.637,0.0,0.368,-6.993,1,0.0703,177.913,4,0.0827,322329,Netherland,2RSHsoi04658QL5xgQVov3
69,Wild Wild Son (feat. Sam Martin),0.0416,0.446,0.573,0.0,0.108,-5.081,1,0.0279,135.96,4,0.167,318062,Netherland,5dRlU4dgX4t0K1wQuFLPsN
70,Lost In Japan - Remix,0.0911,0.706,0.855,0.0,0.347,-5.377,1,0.215,107.184,4,0.293,317663,Netherland,575NJxNUVDqwJGdzBrlLbv
71,Mijn Schuld,0.107,0.886,0.792,0.0,0.271,-6.453,1,0.0917,89.978,4,0.789,309801,Netherland,0ZmFDQFhafge9xJvCFfP4v
72,Vergeet De Buurt Nooit,0.16,0.733,0.81,0.0,0.148,-6.662,1,0.37,119.729,5,0.431,306428,Netherland,2a6DiWpizSP1d2QDyEAuf8
73,Say My Name,0.137,0.703,0.66,0.0,0.192,-5.119,0,0.123,95.031,4,0.79,306006,Netherland,0YammaEkYSeo9vQYZ1OwS6
74,J'ai Déconné,0.262,0.709,0.746,1.84e-05,0.0879,-6.177,0,0.0392,121.917,4,0.623,303121,Netherland,51PcB5453BMTM18V0hru79
75,Wavey,0.408,0.541,0.669,0.0,0.244,-8.518,1,0.509,115.621,5,0.689,301256,Netherland,0CH8nEx9WaxfpW74z1cqRe
76,She Loves It,0.0148,0.672,0.576,0.0,0.236,-7.726,1,0.365,106.095,4,0.376,298969,Netherland,6ml39j3rnLOPoILIXaZP4h
77,High Hopes,0.193,0.579,0.904,0.0,0.064,-2.729,1,0.0618,82.014,4,0.681,298604,Netherland,1rqqCSm0Qe4I9rUvWncaom
78,lil mama,0.0664,0.904,0.571,0.0,0.0407,-6.026,0,0.196,101.989,4,0.744,296691,Netherland,3aMI0cu9YaZfyJTJMS89Ey
79,Chemistry (feat. Mula B),0.15,0.809,0.521,3.06e-06,0.109,-7.043,0,0.232,92.97,4,0.857,295597,Netherland,32KaEzzoNXtjTyMT55ZT7y
80,Rauw (feat. Pyramids),0.389,0.861,0.724,6.05e-06,0.0943,-5.69,0,0.0464,100.079,4,0.367,294045,Netherland,0ht8WhfnGlR3QQ0hZ8ZWul
81,Hoe Je Bent,0.153,0.811,0.85,0.000744,0.0959,-5.939,1,0.0982,125.95,4,0.722,291323,Netherland,2a01mRS1QctP7EvmMFoPee
82,Mo Bamba,0.194,0.729,0.625,0.00986,0.248,-5.266,1,0.0315,146.034,4,0.261,289174,Netherland,1xzBco0xcoJEDXktl7Jxrr
83,breathin,0.0211,0.568,0.656,1.37e-05,0.213,-5.413,1,0.0433,100.049,4,0.364,281172,Netherland,4OafepJy2teCjYJbvFE60J
84,lovely (with Khalid),0.934,0.351,0.296,0.0,0.095,-10.109,0,0.0333,115.284,4,0.12,276583,Netherland,0u2P5u6lvoDfwTYjAADbn4
85,Capuchon,0.0207,0.527,0.696,0.0,0.12,-6.085,0,0.354,70.722,3,0.531,276571,Netherland,4n95vv8aHIvkLPIElA19C9
86,LIT,0.0166,0.913,0.772,0.0,0.251,-8.009,1,0.363,100.076,4,0.681,272230,Netherland,76OfzNtY3nG5hCnh5COSjt
87,Last Christmas,0.189,0.735,0.478,2.48e-06,0.355,-12.472,1,0.0293,107.682,4,0.947,271971,Netherland,2FRnf9qhLbvw8fu4IBXx78
88,One Kiss (with Dua Lipa),0.037,0.791,0.862,2.19e-05,0.0814,-3.24,0,0.11,123.994,4,0.592,271846,Netherland,7ef4DlsgrMEH11cDZd32M6
89,LEKKER MET DE MEIDEN,0.339,0.641,0.544,0.0,0.0443,-11.213,0,0.223,120.84,4,0.654,271311,Netherland,299LhIMXI22rIBL96xjJ0S
90,Hey Meisje,0.329,0.756,0.808,0.0183,0.0652,-2.557,0,0.073,95.087,4,0.889,270948,Netherland,1c7Kh2uMMxG7k4QqNjjg95
91,Arbeidersklasse - Pt. II,0.308,0.555,0.577,0.0,0.0861,-6.891,1,0.384,84.516,4,0.576,269623,Netherland,1gcpxsYHx7zrFU7KxQn1Re
92,I Love It (& Lil Pump),0.0114,0.901,0.522,0.0,0.259,-8.304,1,0.33,104.053,4,0.329,268137,Netherland,4S8d14HvHb70ImctNgVzQQ
93,Better Now,0.331,0.68,0.578,0.0,0.135,-5.804,1,0.04,145.038,4,0.341,266690,Netherland,7dt6x5M1jzdTEt8oCbisTK
94,SAD!,0.258,0.74,0.613,0.00372,0.123,-4.88,1,0.145,75.023,4,0.473,265231,Netherland,3ee8Jmje8o58CHK66QrVC2
95,Kapitein,0.578,0.696,0.718,8.72e-05,0.0995,-8.147,1,0.482,190.026,4,0.588,264042,Netherland,4XSBMFkF968P8qFYk9ZDsw
96,Stap Voor Stap,0.00697,0.897,0.901,9.97e-05,0.0865,-3.733,0,0.157,124.038,4,0.897,263360,Netherland,11kUvSPQThp2rjB3tAs3W9
