,name,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,streams
0,HAINE&SEX,0.422,0.774,0.583,1.55e-05,0.145,-8.649,1,0.169,148.018,4,0.323,2421958
1,MONTERO (Call Me By Your Name),0.297,0.61,0.508,0.0,0.384,-6.682,0,0.152,178.818,4,0.758,2411867
2,La kiffance,0.228,0.805,0.637,0.0,0.071,-6.515,1,0.0869,140.045,4,0.678,2359674
3,Vroum Vroum,0.556,0.758,0.591,0.0,0.0847,-7.749,0,0.0444,116.992,4,0.55,1733623
4,Le temps,0.105,0.594,0.597,0.000103,0.0748,-6.084,1,0.165,201.906,4,0.639,1614607
5,Peaches (feat. Daniel Caesar & Giveon),0.321,0.677,0.696,0.0,0.42,-6.181,1,0.119,90.03,4,0.464,1512627
6,Mona Lisa,0.683,0.784,0.529,0.0,0.118,-7.681,0,0.0742,134.041,4,0.246,1361673
7,Mon poto - Extrait de la BO de ? En Passant P?cho ?,0.904,0.743,0.622,1.66e-05,0.143,-5.332,0,0.136,140.054,4,0.317,1356334
8,. MOROSE,0.37,0.721,0.588,0.00208,0.1,-7.801,0,0.0501,150.031,4,0.276,1249376
9,Mode Akimbo (feat. Jul),0.0717,0.875,0.848,0.000613,0.0828,-5.859,0,0.158,122.983,4,0.577,1210646
10,. VANTABLACK,0.182,0.544,0.661,8.11e-06,0.383,-8.887,0,0.526,77.062,4,0.347,1207608
11,Je tfaime de ouf,0.896,0.623,0.346,0.0,0.116,-9.881,0,0.0682,84.621,5,0.185,1194358
12,La Sele?ao,0.128,0.825,0.878,8.94e-05,0.0963,-5.485,0,0.186,126.994,4,0.847,1142659
13,La danse des bandits,0.185,0.83,0.676,1.28e-05,0.105,-5.275,0,0.0681,135.023,4,0.576,1103219
14,Casanova,0.465,0.711,0.848,0.0,0.123,-6.125,0,0.115,97.176,4,0.531,1082002
15,. DOSE,0.335,0.821,0.575,8.79e-06,0.104,-9.351,1,0.191,135.985,4,0.429,1076085
16,Champion,0.282,0.556,0.639,0.0,0.0878,-6.652,0,0.0974,99.627,4,0.591,1038024
17,. OG,0.773,0.576,0.446,0.4,0.103,-10.103,1,0.0442,121.958,4,0.0601,1037681
18,Goosebumps - Remix,0.418,0.841,0.593,0.0,0.124,-7.846,1,0.0379,124.917,4,0.808,1032584
19,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,0.0076,0.824,0.862,0.000132,0.303,-3.424,1,0.126,122.98,4,0.801,1022132
20,. 2 DIAMANTS,0.11,0.788,0.486,4.79e-06,0.105,-8.827,0,0.315,130.077,4,0.344,1013118
21,. CHIALER,0.454,0.782,0.422,5.63e-05,0.116,-10.999,0,0.105,129.935,4,0.135,1004455
22,Fever,0.0597,0.868,0.693,0.00399,0.106,-7.052,0,0.181,114.999,4,0.396,990695
23,D?KITI,0.401,0.731,0.573,5.22e-05,0.113,-10.059,0,0.0544,109.928,4,0.145,960891
