,name,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,streams
0,Peaches (feat. Daniel Caesar & Giveon),0.321,0.677,0.696,0.0,0.42,-6.181,1,0.119,90.03,4,0.464,1804733
1,Blijven Slapen,0.221,0.751,0.549,0.0,0.112,-7.798,0,0.106,106.01,4,0.735,1656951
2,MONTERO (Call Me By Your Name),0.297,0.61,0.508,0.0,0.384,-6.682,0,0.152,178.818,4,0.758,1601317
3,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,0.0076,0.824,0.862,0.000132,0.303,-3.424,1,0.126,122.98,4,0.801,1439068
4,Goud,0.162,0.736,0.486,0.0,0.121,-7.627,0,0.043,110.026,4,0.562,1163707
5,Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,0.0441,0.722,0.893,0.000937,0.0673,-3.255,0,0.0475,119.932,4,0.439,1103263
6,Astronaut In The Ocean,0.175,0.778,0.695,0.0,0.15,-6.865,0,0.0913,149.996,4,0.472,1083827
7,Cover Me In Sunshine,0.0599,0.476,0.594,0.0,0.0785,-6.879,1,0.135,159.702,4,0.314,1008731
8,BED,0.0142,0.671,0.782,0.00221,0.333,-4.593,1,0.0341,123.989,4,0.618,1002403
9,Hold On,0.0104,0.658,0.634,0.0,0.12,-6.068,0,0.0431,140.002,4,0.302,897126
10,Als Ik Je Weer Zie,0.372,0.74,0.604,0.0,0.0829,-6.784,1,0.0379,101.925,4,0.602,891522
11,Your Love (9PM),0.194,0.669,0.784,6.28e-06,0.115,-5.603,1,0.112,125.993,4,0.517,877332
12,501,0.162,0.613,0.796,0.0,0.292,-3.672,1,0.203,186.102,4,0.749,837783
13,Leave The Door Open,0.182,0.586,0.616,0.0,0.0927,-7.964,1,0.0324,148.088,4,0.719,797879
14,WITHOUT YOU,0.213,0.662,0.413,0.0,0.134,-7.357,1,0.0299,93.005,4,0.467,792802
15,The Business,0.414,0.798,0.62,0.0192,0.112,-7.079,0,0.232,120.031,4,0.235,761822
16,Frans Duits,0.152,0.842,0.678,0.0,0.0669,-6.361,1,0.101,118.048,4,0.919,750849
17,Floating Through Space,0.00172,0.575,0.844,0.0,0.114,-4.89,0,0.072,104.914,4,0.277,749093
18,drivers license,0.721,0.585,0.436,1.31e-05,0.105,-8.761,1,0.0601,143.874,4,0.132,729651
19,Nu Wij Niet Meer Praten,0.572,0.64,0.557,0.0,0.0934,-4.747,1,0.0253,105.992,4,0.331,721674
20,All We Got (feat. KIDDO),0.286,0.504,0.76,0.0,0.151,-4.246,1,0.0426,183.933,4,0.64,697033
21,Fisherman,0.0164,0.554,0.678,1.63e-06,0.0891,-3.029,1,0.175,67.403,4,0.183,677494
22,RAPSTAR,0.41,0.789,0.536,0.0,0.129,-6.862,1,0.242,81.039,4,0.437,674974
23,We're Good,0.0319,0.722,0.588,0.0,0.183,-5.932,1,0.0544,134.01,4,0.59,650233
24,Rasputin,0.00364,0.758,0.913,6.92e-05,0.193,-2.926,0,0.113,128.04,4,0.658,627467
25,In De Schuur,0.124,0.776,0.686,0.0,0.123,-6.932,1,0.0458,139.969,4,0.88,627280
26,Rise,0.228,0.689,0.612,7.77e-06,0.368,-6.014,1,0.0387,122.076,4,0.461,622504
27,Paradise (feat. Dermot Kennedy),0.0689,0.632,0.595,0.0,0.209,-7.644,0,0.0401,124.114,4,0.435,593246
28,Ven Ven,0.0831,0.763,0.843,0.0,0.0612,-4.254,1,0.0731,104.053,4,0.76,567097
29,deja vu,0.593,0.439,0.61,1.07e-05,0.341,-7.236,1,0.116,181.088,4,0.172,560401
30,Head & Heart (feat. MNEK),0.168,0.734,0.874,1.14e-05,0.0489,-3.158,1,0.0662,122.953,4,0.905,553226
31,No Diggity,0.0536,0.74,0.709,0.0,0.11,-5.573,0,0.0674,121.998,4,0.69,545743
32,Follow You,0.00209,0.542,0.732,7.92e-05,0.496,-5.956,1,0.0521,124.912,4,0.489,545583
33,Afraid Of The Dark,0.0179,0.728,0.623,0.000215,0.393,-6.645,0,0.0332,120.019,4,0.632,542594
34,Hypnotized,0.0968,0.69,0.813,0.000324,0.109,-5.084,0,0.0997,108.078,4,0.704,542199
35,Levitating (feat. DaBaby),0.00883,0.702,0.825,0.0,0.0674,-3.787,0,0.0601,102.977,4,0.915,538850
36,Little Bit of Love,0.0833,0.689,0.706,0.0,0.105,-4.48,0,0.0312,106.52,4,0.623,533139
37,Kiss Me More (feat. SZA),0.235,0.762,0.701,0.000158,0.123,-3.541,1,0.0286,110.968,4,0.742,520668
38,Anyone,0.185,0.685,0.521,3.59e-06,0.111,-8.285,1,0.0345,115.885,4,0.578,516078
39,Love Not War (The Tampa Beat),0.105,0.738,0.85,0.0,0.23,-3.049,1,0.0642,98.013,4,0.865,515305
40,Eigenaar,0.136,0.646,0.699,0.0,0.229,-5.726,1,0.364,91.381,4,0.671,504515
41,Waar Ik Vandaan Kom,0.0532,0.638,0.838,0.0,0.233,-5.0,0,0.202,160.08,4,0.497,495967
42,Geen Hype,0.353,0.833,0.552,0.0,0.11,-7.56,0,0.287,139.968,4,0.514,481334
43,Hee Joh Jip,0.715,0.391,0.402,6.07e-05,0.107,-5.886,1,0.0315,86.291,3,0.404,476727
44,Wasted Love (feat. Lagique),0.0821,0.734,0.855,4.73e-06,0.0901,-4.578,0,0.135,121.955,4,0.54,474270
45,Roller Coaster,0.563,0.43,0.376,0.00629,0.123,-10.064,1,0.0274,97.097,4,0.272,470964
46,De Overkant,0.116,0.628,0.57,0.0,0.0861,-6.693,1,0.084,79.071,4,0.822,468493
47,Get Out My Head,0.0542,0.693,0.913,6.87e-05,0.231,-3.035,1,0.0298,123.989,4,0.795,461098
48,GIRL LIKE ME,0.0194,0.964,0.486,0.04,0.0694,-8.891,1,0.188,124.058,4,0.318,455535
49,NIKE TECH,0.0406,0.89,0.833,2.19e-06,0.0705,-5.289,0,0.283,143.013,4,0.688,415193
50,Runaway,0.629,0.422,0.302,7.83e-05,0.104,-9.214,1,0.0372,114.089,4,0.123,410406
51,Afterglow,0.698,0.641,0.324,0.0,0.328,-5.851,1,0.0299,110.184,4,0.273,400890
52,My Head & My Heart,0.0697,0.614,0.934,0.0,0.121,-3.709,0,0.07,116.001,4,0.436,384830
53,Nobody Is Perfect,0.0279,0.579,0.593,0.0,0.172,-7.971,1,0.0436,89.92,4,0.361,382253
54,Another Love,0.717,0.442,0.538,2.95e-05,0.09,-8.55,0,0.0451,122.758,4,0.139,374891
55,Heartbreak Anniversary,0.524,0.449,0.465,1.02e-06,0.303,-8.964,1,0.0791,89.087,3,0.543,372916
56,Telt Niet Mee,0.21,0.851,0.534,7.18e-06,0.0931,-6.928,0,0.186,99.967,4,0.47,371846
57,Save Your Tears,0.0212,0.68,0.826,1.24e-05,0.543,-5.487,1,0.0309,118.051,4,0.644,370723
58,Blinding Lights,0.00146,0.514,0.73,9.54e-05,0.0897,-5.934,1,0.0598,171.005,4,0.334,365681
59,Good Without,0.0723,0.616,0.576,0.0,0.375,-5.495,0,0.0532,89.962,4,0.269,362023
60,Angels Like You,0.0981,0.672,0.642,0.0,0.1,-4.035,1,0.0313,121.981,4,0.494,355293
61,Door De Wind,0.705,0.579,0.0945,4.27e-06,0.0817,-18.377,1,0.0396,123.994,4,0.353,353443
62,Learning To Fly,0.159,0.584,0.831,0.0,0.144,-5.853,1,0.0631,127.18,4,0.359,350151
63,Goosebumps,0.325,0.767,0.659,0.0,0.13,-7.429,1,0.0444,124.946,4,0.439,340025
64,Pressure (feat. Tove Lo),0.659,0.859,0.558,0.324,0.124,-8.991,0,0.0902,114.978,4,0.357,330437
65,Kleur,0.249,0.767,0.524,1.7e-06,0.185,-6.518,1,0.0438,124.045,4,0.655,330005
66,Als Ik Je Niet Zie,0.408,0.718,0.581,0.0,0.141,-9.203,0,0.24,77.574,4,0.409,307556
67,Miss You,0.0482,0.56,0.887,0.0,0.0958,-3.524,1,0.0596,125.0,4,0.397,306320
68,Mood (feat. iann dior),0.174,0.701,0.716,0.0,0.324,-3.671,0,0.0361,91.007,4,0.732,302468
69,MANSORY,0.0982,0.907,0.649,0.0,0.0786,-6.479,1,0.234,94.99,4,0.561,301406
70,Calling My Phone,0.451,0.907,0.393,1.35e-06,0.135,-7.636,0,0.0539,104.949,4,0.202,299553
71,Someone You Loved,0.751,0.501,0.405,0.0,0.105,-5.679,1,0.0319,109.891,4,0.446,299095
