,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Sucker,"Jonas Brothers",1595824,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO
2,"7 rings","Ariana Grande",1326330,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
3,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1321446,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
4,Wow.,"Post Malone",1316859,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
5,"break up with your girlfriend, i'm bored","Ariana Grande",1229950,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS
6,Talk,Khalid,1170336,https://open.spotify.com/track/0rTV5WefWd1J3OwIheTzxM
7,"3 Nights","Dominic Fike",1075232,https://open.spotify.com/track/1tNJrcVe6gwLEiZCtprs1u
8,"i'm so tired...",Lauv,1073426,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
9,"wish you were gay","Billie Eilish",1010765,https://open.spotify.com/track/4txc3txsIt81diMzGhrVPS
10,"My Bad",Khalid,1008001,https://open.spotify.com/track/1DUSuNhF8P5vUGNPpQiZa5
11,"Dancing With A Stranger (with Normani)","Sam Smith",1007638,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
12,"Without Me",Halsey,941036,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
13,"Here With Me",Marshmello,939289,https://open.spotify.com/track/5icOoE6VgqFKohjWWNp0Ac
14,"bury a friend","Billie Eilish",899135,https://open.spotify.com/track/4NzMOnvSJVNKF7nw5NkXIP
15,Shallow,"Lady Gaga",874248,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
16,"Who Do You Love","The Chainsmokers",852007,https://open.spotify.com/track/11cDEev79fPKi6uJCjUhu8
17,"Eastside (with Halsey & Khalid)","benny blanco",827932,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
18,"Sweet but Psycho","Ava Max",796881,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
19,"MIDDLE CHILD","J. Cole",795187,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
20,Happier,Marshmello,793185,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
21,"7 Minutes","Dean Lewis",776629,https://open.spotify.com/track/2BkyYZmU4JuWW2sYi9EzpC
22,Fast,"Juice WRLD",769481,https://open.spotify.com/track/6MjNilJCVKJq0LfFvo5jWJ
23,Waiting,KIAN,762294,https://open.spotify.com/track/0TBFJanfWaByPIi3f7RR82
24,"thank u, next","Ariana Grande",731994,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
25,"Leave Me Lonely","Hilltop Hoods",713313,https://open.spotify.com/track/26gEW3DUEK0n8n5fvnYrPE
26,"Please Me","Cardi B",709157,https://open.spotify.com/track/0PG9fbaaHFHfre2gUVo7AN
27,"Murder On My Mind","YNW Melly",707468,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC
28,"11 Minutes (with Halsey feat. Travis Barker)",YUNGBLUD,704437,https://open.spotify.com/track/4mGdjNMo0RonTlOEb7cYg4
29,"SICKO MODE","Travis Scott",688937,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
30,"Be Alright","Dean Lewis",660425,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
31,Better,Khalid,639564,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
32,Youngblood,"5 Seconds of Summer",615524,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
33,"Woke Up Late (feat. Hailee Steinfeld)","Drax Project",609530,https://open.spotify.com/track/3qLBz3j26AHO2jBYUQWLA6
34,"Going Bad (feat. Drake)","Meek Mill",600461,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
35,"Don't Call Me Up",Mabel,597603,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
36,"when the party's over","Billie Eilish",590776,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI
37,Soaked,Bene,585380,https://open.spotify.com/track/70TEuKwiK0bd5phEQkbvT4
38,Thotiana,Blueface,583257,https://open.spotify.com/track/3oh6SCCeLuXhFpEyepla6G
39,"Giant (with Rag'n'Bone Man)","Calvin Harris",576777,https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd
40,Confidence,"Ocean Alley",570222,https://open.spotify.com/track/7to68V64Cu6zk0UDo5tyw3
41,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)","benny blanco",568043,https://open.spotify.com/track/1WSGTYKLEpKfNQYYW5Oymt
42,"Body (feat. brando)","Loud Luxury",562011,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
43,"Swervin (feat. 6ix9ine)","A Boogie Wit da Hoodie",557626,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6
44,Robbery,"Juice WRLD",553917,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
45,"Better Now","Post Malone",546823,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
46,"Walk Me Home",P!nk,539667,https://open.spotify.com/track/7DHApOHsIFo7EyfieArYGE
47,Shotgun,"George Ezra",530867,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
48,"Pure Water (with Migos)",Mustard,527748,https://open.spotify.com/track/63cd4JkwGgYJrbOizbfmsp
49,"Bad Liar","Imagine Dragons",515500,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3
50,lovely,"Billie Eilish",504614,https://open.spotify.com/track/1NJcg626wLln4pGHpiV7mf
51,"Bohemian Rhapsody - Remastered 2011",Queen,467926,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J
52,"Nothing Breaks Like a Heart (feat. Miley Cyrus)","Mark Ronson",462815,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF
53,"Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding",450202,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
54,"Look Back at It","A Boogie Wit da Hoodie",449866,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8
55,"Saturday Nights",Khalid,436126,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8
56,"Nights Like This (feat. Ty Dolla $ign)",Kehlani,413756,https://open.spotify.com/track/6ZRuF2n1CQxyxxAAWsKJOy
57,2002,Anne-Marie,410708,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
58,"Let Me Down Slowly","Alec Benjamin",403414,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
59,"Peer Pressure (feat. Julia Michaels)","James Bay",402999,https://open.spotify.com/track/4JWQC6gyYoPRnxRxk0ta2M
60,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",402810,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z
61,"High Hopes","Panic! At The Disco",393808,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
62,"R.I.P. (feat. Rita Ora & Anitta)","Sofía Reyes",393602,https://open.spotify.com/track/6JqpFboOH2bq9pzaYbkKBn
63,"Lucid Dreams","Juice WRLD",393097,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
64,"Drink Too Much","G Flip",384291,https://open.spotify.com/track/0Kay5aNjJKULrS9TbpPZCW
65,"rockstar (feat. 21 Savage)","Post Malone",379057,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
66,"Last Hurrah","Bebe Rexha",375344,https://open.spotify.com/track/0i0wnv9UoFdZ5MfuFGQzMy
67,"In My Mind",Dynoro,373651,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
68,"Taste (feat. Offset)",Tyga,372806,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
69,"I Fall Apart","Post Malone",371075,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
70,"Old Town Road","Lil Nas X",360562,https://open.spotify.com/track/53CJANUxooaqGOtdsBTh7O
71,"Mo Bamba","Sheck Wes",357931,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr
72,"Hear Me Calling","Juice WRLD",357779,https://open.spotify.com/track/13ZyrkCDmRz5xY3seuAWYk
73,SAD!,XXXTENTACION,357131,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
74,"Numb Numb Juice","ScHoolboy Q",356704,https://open.spotify.com/track/4dTiQezDWmEOWcdCbWVWMp
75,"Love Someone","Lukas Graham",350261,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r
76,"Faucet Failure","Ski Mask The Slump God",348083,https://open.spotify.com/track/1ThmUihH9dF8EV08ku5AXN
77,365,Zedd,346856,https://open.spotify.com/track/2XWjPtKdi5sucFYtVav07d
78,"Let You Love Me","Rita Ora",343978,https://open.spotify.com/track/5Fla3zyOCcIRqrDoKLU0DP
79,"So Am I","Ava Max",343796,https://open.spotify.com/track/0uUNN1nSoUx1A4fkDCWDQ7
80,"Psycho (feat. Ty Dolla $ign)","Post Malone",342637,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
81,"a lot","21 Savage",341445,https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d
82,1999,"Charli XCX",338903,https://open.spotify.com/track/05mAIVLkIWc2d1UBYZBCp8
83,"Thotiana (feat. Cardi B, YG) [Remix]",Blueface,337711,https://open.spotify.com/track/1JkrD47SDpAbyvqKtolcea
84,"I Like Me Better",Lauv,336776,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
85,"Promises (with Sam Smith)","Calvin Harris",335393,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
86,"Lost In Japan","Shawn Mendes",334332,https://open.spotify.com/track/79esEXlqqmq0GPz0xQSZTV
87,"Girls Like You (feat. Cardi B)","Maroon 5",329533,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
88,Groceries,Mallrat,326209,https://open.spotify.com/track/4x0pNOZ5r6kJMjsvsoliBm
89,"Ruin My Life","Zara Larsson",324854,https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU
90,"Jocelyn Flores",XXXTENTACION,313613,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
91,"ocean eyes","Billie Eilish",313453,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU
92,"Mr. Brightside","The Killers",307217,https://open.spotify.com/track/7oK9VyNzrYvRFo7nQEYkWN
93,"Almost (Sweet Music)",Hozier,306857,https://open.spotify.com/track/7uttm8Iurm5uK67Vr9G2Sp
94,Rise,"Jonas Blue",305432,https://open.spotify.com/track/3KLygy1YWhmrQx0GRs7IOx
95,"God's Plan",Drake,305397,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
96,"Say You Won't Let Go","James Arthur",304422,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
