r,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Position,Track Name,Artist,Streams,URL
1,Rolex,Capital Bra,6628660,https://open.spotify.com/track/38lQ7lYhN3eSWepnZHaiBF
2,Cherry Lady,Capital Bra,4168021,https://open.spotify.com/track/3r1cV21xPMkgCmxk8VqWOB
3,Harami,Samra,3784336,https://open.spotify.com/track/5xIODxqlpUnRVA9ewZUCug
4,cOcO MAmA,Dardan,3507895,https://open.spotify.com/track/0oOPa0AlLnjCO6eci0HIdH
5,Blei (feat. Veysel),Kontra K,3391979,https://open.spotify.com/track/5kLUig6aFQQzY1n2TKzzYD
6,Affalterbach,Shindy,3159737,https://open.spotify.com/track/1L8LtC2s161XwY6YrtnQjw
7,Wir ticken,Capital Bra,3066801,https://open.spotify.com/track/1ag6DENIjtcmRFCx5JjUng
8,Blackberry Sky,Eno,3056209,https://open.spotify.com/track/4cawYWrqMRz0T0hOIVxk6j
9,Bye Bye,Capital Bra,3042282,https://open.spotify.com/track/60yqRJXgkrPEvP977ZIOWb
10,Wolke 10,MERO,2823393,https://open.spotify.com/track/200cTjC6si5Xz9af2QeHi2
11,Shoote ma Shoote,Samra,2769199,https://open.spotify.com/track/7FOQJQcTDqzXZJ72hZikCl
12,bad guy,Billie Eilish,2758790,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
13,Prinzessa,Capital Bra,2720086,https://open.spotify.com/track/0Tq0EhQpVeQJwV3E3P5Jti
14,Mary,Bausa,2586290,https://open.spotify.com/track/6BZhkqUtaFJm57Hm5TTQSH
15,Old Town Road,Lil Nas X,2407184,https://open.spotify.com/track/53CJANUxooaqGOtdsBTh7O
16,Puerto Rico,Fero47,2380442,https://open.spotify.com/track/0ypCvaP431mEM6znlVHNRP
17,Cabriolet,Capital Bra,2296140,https://open.spotify.com/track/5544wzOCuqHpqNELk3zYxA
18,Click Click,Capital Bra,2132569,https://open.spotify.com/track/0AKDcdzjQ7CNjrqfXgwnMt
19,Steh auf,Capital Bra,2111174,https://open.spotify.com/track/2IeMkz2ienHzdse2MsvKYv
20,Con Calma,Daddy Yankee,2109953,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
21,SOS,Avicii,2107242,https://open.spotify.com/track/6nDKrPlXdpomGBgAlO7UdP
22,Benzema,Capital Bra,2079853,https://open.spotify.com/track/0gyO8zq1Hw5GTQ33EXcc40
23,Gib Ihm,Shirin David,2069305,https://open.spotify.com/track/5iIgIxtMNeogKaFUfvuAbs
24,Don't Call Me Up,Mabel,2014618,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
25,Capital Bra je m'appelle,Capital Bra,2007471,https://open.spotify.com/track/5bAZzGAgjY3SZHmciyh8h7
26,Van der Vaart,Capital Bra,1966481,https://open.spotify.com/track/22X5tbeWf9jQQjl7zb63eU
27,Alleen,KC Rebell,1906339,https://open.spotify.com/track/3UDsmMZsEMsvM82OcdqJWu
28,DNA,KC Rebell,1896089,https://open.spotify.com/track/4BD9yUEFI07WaDJ381DDMq
29,Old Town Road (feat. Billy Ray Cyrus) - Remix,Lil Nas X,1787311,https://open.spotify.com/track/6u7jPi22kF8CTQ3rb9DHE7
30,Pass auf wen du liebst,Ufo361,1775698,https://open.spotify.com/track/5NsCv3I7o0f6vSQScG01f1
31,Ya Salame,Luciano,1757378,https://open.spotify.com/track/0EDSU9JYeKABA14OcOuM7b
32,Schon ok,Capital Bra,1734376,https://open.spotify.com/track/2s5nIYmnd65kDMLsPw1VuW
33,ICE,Shirin David,1716064,https://open.spotify.com/track/2YC4rnhpt0sTIUcrIRHZSQ
34,Sollte so sein,Capital Bra,1658221,https://open.spotify.com/track/08i2ITRSVDkuZ6vXhFMcGg
35,Mexican Mafia,Capital Bra,1656201,https://open.spotify.com/track/5QvFVebeoSu9DLmxp2Eg8v
36,Jay Jay,MERO,1580315,https://open.spotify.com/track/3YxCKq3YPnTekAofhaHABZ
37,Leg,Capital Bra,1568132,https://open.spotify.com/track/1fsDGaOPuMGv4lkdCA5yPK
38,Yapma,C ARMA,1538293,https://open.spotify.com/track/1194zYf7UfSXP4omxVTmPa
39,Moonlight,Gaullin,1505435,https://open.spotify.com/track/0A5gdlrpAuQqZ2iFgnqBFW
40,Kalt,Capital Bra,1465756,https://open.spotify.com/track/19e0eJYmPzJtj516CM6hqH
41,bis um 3,KALIM,1430133,https://open.spotify.com/track/03SfDYmOPflD23iTL5qjiq
42,Sweet but Psycho,Ava Max,1377295,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
43,Schwarze Locken,Capital Bra,1375112,https://open.spotify.com/track/2eovhRkEArV30G5LzLjqXn
44,Blech,Capital Bra,1337754,https://open.spotify.com/track/5zeI6Co8KzH5EpQud4YY3Z
45,Bad Liar,Imagine Dragons,1310926,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3
46,Sucker,Jonas Brothers,1300277,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO
47,Let Me Down Slowly,Alec Benjamin,1183539,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
48,500 PS,Bonez MC,1181486,https://open.spotify.com/track/4UOXo3xWnxYdTf3sFyRaUG
49,Wow.,Post Malone,1179449,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
50,Bling Bling,Juju,1170715,https://open.spotify.com/track/4HhcTI5UY0dgzC3gfUK6wy
51,DEUTSCHLAND,Rammstein,1160856,https://open.spotify.com/track/1T8IRUJBga0JXioJZvxjBR
52,Here With Me,Marshmello,1160238,https://open.spotify.com/track/5icOoE6VgqFKohjWWNp0Ac
53,Boy With Luv (feat. Halsey),BTS,1120453,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
54,Hobby Hobby,MERO,1110378,https://open.spotify.com/track/0dmrz4V5kiezQAqQ3VqGob
