,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Position,Track Name,Artist,Streams,URL
1,Roller,Apache 207,4637824,https://open.spotify.com/track/6hw1Sy9wZ8UCxYGdpKrU6M
2,KEIN SCHLAF,Nimo,4177283,https://open.spotify.com/track/6416zJN0FGPmh1Ph4BH2h3
3,COLT,Samra,3719501,https://open.spotify.com/track/76IVpz47q3ghkxoUeTTEKb
4,Dance Monkey,Tones And I,3504722,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
5,Der Bratan bleibt der gleiche,Capital Bra,2827183,https://open.spotify.com/track/2M39v73rNJmAXUXIW0oagP
6,Skifahren (feat. Joshi Mizu),The Cratez,2779185,https://open.spotify.com/track/1E1YyZjbteIz2XQyLvtRxD
7,All I Want for Christmas Is You,Mariah Carey,2737675,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
8,Alien,RIN,2719785,https://open.spotify.com/track/2RaKlveGCllSaXloN8kmzV
9,Keine Liebe,RIN,2692612,https://open.spotify.com/track/4OVF6uwZlMOSlZmHDnwliX
10,200 km/h,Apache 207,2664027,https://open.spotify.com/track/2PGA1AsJal6cyMNmKyE56q
11,Wieso tust Du dir das an?,Apache 207,2585079,https://open.spotify.com/track/6dNB3XdAzx7kTf5wa8Rg89
12,95 BPM,Samra,2532457,https://open.spotify.com/track/6WSwle8wTdJhOGEukwTxWf
13,Last Christmas,Wham!,2517628,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
14,110,Capital Bra,2460830,https://open.spotify.com/track/67ojvEGRPAUCOohuMPqoRC
15,Falling,Trevor Daniel,2231119,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
16,Ayy Macarena,Tyga,2228820,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX
17,Blinding Lights,The Weeknd,2029325,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
18,Tiffany,Shindy,1949816,https://open.spotify.com/track/2L0H5LWEuIAvrzfzTruyCB
19,2002,Sido,1932696,https://open.spotify.com/track/2u8AXJyk8pICzj2wyPBL0b
20,KARMA,Nimo,1907214,https://open.spotify.com/track/6oX9RuILbVIglevEhbg8iM
21,Doch in der Nacht,Apache 207,1891218,https://open.spotify.com/track/3uhTOxvu2h2YEm0uPNF2vi
22,Ride It,Regard,1833160,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
23,Himmel grau,Kontra K,1813592,https://open.spotify.com/track/1xdj09kwlmFmVONYaYyNsY
24,CASINO ROYAL,Kianush,1753098,https://open.spotify.com/track/3Dkfcd3DbXGVmM05KCRuFA
25,Driving Home for Christmas - 2019 Remaster,Chris Rea,1722752,https://open.spotify.com/track/27qAMKrDdKEs8HDXcvR24R
26,Vermissen (feat. Henning May),Juju,1712486,https://open.spotify.com/track/07f2b3CTdgKKlhv0mqUksz
27,ROXANNE,Arizona Zervas,1634251,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
28,Merry Christmas Everyone,Shakin' Stevens,1574365,https://open.spotify.com/track/4rRIovg4TvxLUiUrpGI6lE
29,Santa Tell Me,Ariana Grande,1548822,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
30,Wonderful Dream (Holidays Are Coming) - Radio Version,Melanie Thornton,1524341,https://open.spotify.com/track/0SvD6EdetxVtXei2JhkV4B
31,hot girl bummer,blackbear,1473120,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
32,everything i wanted,Billie Eilish,1460134,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
33,Don't Start Now,Dua Lipa,1424143,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
34,Sorry,Veysel,1410043,https://open.spotify.com/track/4usaWLgpOAmNT8RLWVmNiB
35,Lucid Dreams,Juice WRLD,1370436,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
36,YAYO,Kollegah,1354569,https://open.spotify.com/track/32bW7B954YY6p2JuKaf4JP
37,Daye,Fero47,1352028,https://open.spotify.com/track/1vQPHu34f8qNnGQoyQ3i9v
38,Désolé,Fero47,1345150,https://open.spotify.com/track/5pXlCsfB8VUXAQqQCFAcB7
39,Kein Problem,Apache 207,1338041,https://open.spotify.com/track/3Zigq1lfHmFRlyoRrh9k2s
40,Tilidin,Capital Bra,1335068,https://open.spotify.com/track/0Dlcu2fgHklOnajVu2dUNU
41,Wonderful Christmastime [Edited Version] - Remastered 2011 / Edited Version,Paul McCartney,1281598,https://open.spotify.com/track/7Lbxvt42JsNSKVCaN63qhD
42,Happy Xmas (War Is Over) - Remastered 2010,John Lennon,1271106,https://open.spotify.com/track/3zJw3rugfpVrmBeDDnUYzy
43,Honda Civic,The Cratez,1250974,https://open.spotify.com/track/0WFgtxiLNr99YaoSdYR3Ud
44,Someone You Loved,Lewis Capaldi,1232552,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
45,Turn Me On (feat. Vula),Riton,1226421,https://open.spotify.com/track/0qaWEvPkts34WF68r8Dzx9
46,Memories,Maroon 5,1220782,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
47,Sex mit dir,Apache 207,1220059,https://open.spotify.com/track/0PEwVF6TStGXMTnQMAk9kl
48,It's Beginning to Look a Lot like Christmas,Michael Bublé,1200365,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
49,Bietigheimication,RIN,1194845,https://open.spotify.com/track/4Y5ShamuGjxfQWdwY1Kz5R
50,RITMO (Bad Boys For Life),Black Eyed Peas,1189037,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
51,Roses - Imanbek Remix,SAINt JHN,1182605,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
52,Lose Control,MEDUZA,1149871,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
53,Light,Jerome,1129735,https://open.spotify.com/track/1lht8jb3c6rEiVaqX94enH
54,HIGHEST IN THE ROOM,Travis Scott,1110706,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
55,Circles,Post Malone,1085085,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
56,Mon Ami,Eno,1084269,https://open.spotify.com/track/1EahDyajDQl5zRfmlDqpYx
57,Thank God It's Christmas - Non-Album Single,Queen,1071355,https://open.spotify.com/track/2xGO2UjzxeVQSIkyg98vck
58,Underneath the Tree,Kelly Clarkson,1056350,https://open.spotify.com/track/3nAp4IvdMPPWEH9uuXFFV5
59,Wieder Lila,Samra,1054892,https://open.spotify.com/track/2kkcJ8tSDV42LdWcPjy6We
60,Mistletoe,Justin Bieber,1044622,https://open.spotify.com/track/7xapw9Oy21WpfEcib2ErSA
61,Señorita,Shawn Mendes,1036589,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
62,Jingle Bell Rock,Bobby Helms,1026238,https://open.spotify.com/track/3hBXvHLlTHvnbwrPbeoyAj
63,Feliz Navidad,José Feliciano,1016678,https://open.spotify.com/track/7taXf5odg9xCAZERYfyOkS
64,Unnormal,RAF Camora,1015187,https://open.spotify.com/track/7CzSP7spDpZBP8edbtPIwI
65,PHANTOM (feat. Summer Cem),reezy,1014867,https://open.spotify.com/track/1s0nANz8q6gEZOms034GbU
66,bad guy,Billie Eilish,983098,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
67,Christmas Time,Bryan Adams,978270,https://open.spotify.com/track/6aoWJSqAgHXacunJ2tdijv
68,Swish,Summer Cem,975131,https://open.spotify.com/track/4ktwDUoKdVlk50lUlSIMEY
69,Jingle Bell Rock - Daryl's Version,Daryl Hall & John Oates,957578,https://open.spotify.com/track/6pVW5LRWgeLaHudxauOTJU
70,Hallelujah,Pentatonix,953350,https://open.spotify.com/track/550rQQCGkrTzvp4SfpOPzx
71,Lose You To Love Me,Selena Gomez,952624,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
72,Hollywood,RIN,948613,https://open.spotify.com/track/034jxfixe0Gogd6p0reMnP
73,Seele,Azet,945343,https://open.spotify.com/track/0b9tA3TNHCzfbTh9mGloNx
