,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Sick Boy","The Chainsmokers",127562,https://open.spotify.com/track/7jqDzXJS0K0Re8uphYNit0
2,"God's Plan",Drake,123241,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
3,"River (feat. Ed Sheeran)",Eminem,123237,https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD
4,"Was du Liebe nennst",Bausa,117748,https://open.spotify.com/track/4hKWUzhQWsOkgT6LnDEASe
5,Rooftop,"Nico Santos",106462,https://open.spotify.com/track/637yH6Qs3wXdgjPjO7QGdr
6,rockstar,"Post Malone",100653,https://open.spotify.com/track/1OmcAT5Y8eg5bUPv9qJT4R
7,"Let You Down",NF,98784,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr
8,"Beverly Hills",Ufo361,94323,https://open.spotify.com/track/0FJeo3KAJ5on89PXmo3FiG
9,"Havana (feat. Young Thug)","Camila Cabello",91412,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
10,"Him & I (with Halsey)",G-Eazy,89157,https://open.spotify.com/track/5k38wzpLb15YgncyWdTZE4
11,Crazy,"Lost Frequencies",88662,https://open.spotify.com/track/1ZtEZjYb4e0V0gqwRYeeAY
12,"Qa bone",Azet,87393,https://open.spotify.com/track/6X0pg9AHaLYLq8Cy5j8Suz
13,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,84122,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
14,Wolves,"Selena Gomez",83542,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC
15,Silence,Marshmello,81485,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
16,Primo,"RAF Camora",75373,https://open.spotify.com/track/7y5chiQbuvviOYUfUmOPqo
17,"Échame La Culpa","Luis Fonsi",74677,https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK
18,"Gotham City","RAF Camora",73710,https://open.spotify.com/track/2axf5shPhjS8qdaGr5MWaS
19,"So Far Away (feat. Jamie Scott & Romy Dya)","Martin Garrix",72535,https://open.spotify.com/track/0OlnLZY4cmQzT6ZGttvWBM
20,IDGAF,"Dua Lipa",70395,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
21,"Sag Nix","RAF Camora",69168,https://open.spotify.com/track/0tW4YbVJ0z6CeQjYBFd09V
22,"Leave a Light On","Tom Walker",66187,https://open.spotify.com/track/6lOWoTqVnAWXchddtTH31W
23,"Katchi - Ofenbach vs. Nick Waterhouse",Ofenbach,65528,https://open.spotify.com/track/2NF8A7C6tICScdRaZ0BrEe
24,Stargazing,Kygo,65206,https://open.spotify.com/track/0Zbbxnx4SGGHoIow4PpISP
25,"Never Be the Same","Camila Cabello",64494,https://open.spotify.com/track/4eWQlBRaTjPPUlzacqEeoQ
26,Anywhere,"Rita Ora",64293,https://open.spotify.com/track/7EI6Iki24tBHAMxtb4xQN2
27,Perfect,"Ed Sheeran",63046,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
