,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,positions,"Ariana Grande",1653293,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
2,"Mood (feat. iann dior)",24kGoldn,1523997,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
3,"Therefore I Am","Billie Eilish",1505335,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
4,"Head & Heart (feat. MNEK)","Joel Corry",1303804,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
5,"What You Know Bout Love","Pop Smoke",1259557,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
6,"SO DONE","The Kid LAROI",1176972,https://open.spotify.com/track/3qgPpwtuRu5oP8EtFSj8HE
7,"Holy (feat. Chance The Rapper)","Justin Bieber",1111383,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
8,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",1083275,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
9,"WAP (feat. Megan Thee Stallion)","Cardi B",1053286,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
10,"you broke me first","Tate McRae",1016197,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
11,"Levitating (feat. DaBaby)","Dua Lipa",966523,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
12,"Put Your Records On","Ritt Momney",963091,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
13,"Lonely (with benny blanco)","Justin Bieber",907148,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
14,"Take You Dancing","Jason Derulo",878758,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3
15,"Watermelon Sugar","Harry Styles",864026,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
16,"Dreams - 2004 Remaster","Fleetwood Mac",806773,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
17,34+35,"Ariana Grande",785769,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
18,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",747811,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
19,"Breaking Me",Topic,739003,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
20,"Blinding Lights","The Weeknd",721465,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
21,"Savage Love (Laxed - Siren Beat)","Jawsh 685",713416,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
22,Wonder,"Shawn Mendes",691757,https://open.spotify.com/track/5KCbr5ndeby4y4ggthdiAb
23,pov,"Ariana Grande",680042,https://open.spotify.com/track/3UoULw70kMsiVXxW0L3A33
24,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,674834,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
25,"Midnight Sky","Miley Cyrus",657059,https://open.spotify.com/track/27ycaQnQAxaPiyeg3nr2aB
