,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,
Position,Track Name,Artist,Streams,URL
1,Old Town Road (feat. Billy Ray Cyrus) - Remix,Lil Nas X,2330571,https://open.spotify.com/track/6u7jPi22kF8CTQ3rb9DHE7
2,Old Town Road,Lil Nas X,2127851,https://open.spotify.com/track/53CJANUxooaqGOtdsBTh7O
3,bad guy,Billie Eilish,1919565,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
4,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,1100321,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
5,wish you were gay,Billie Eilish,1053596,https://open.spotify.com/track/3Fj47GNK2kUF0uaEDgXLaD
6,Wow.,Post Malone,999161,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
7,Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,968722,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6
8,Outta My Head (with John Mayer),Khalid,943985,https://open.spotify.com/track/09oZ9eXQ2fo6YDrPzJqAoP
9,My Bad,Khalid,937479,https://open.spotify.com/track/2XKFnwB6djxrJCjR3PdeRb
10,Sucker,Jonas Brothers,909759,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO
11,7 rings,Ariana Grande,907963,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
12,MIDDLE CHILD,J. Cole,889962,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
13,Going Bad (feat. Drake),Meek Mill,888822,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
14,bury a friend,Billie Eilish,878176,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
15,Talk (feat. Disclosure),Khalid,847499,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
16,Better,Khalid,836893,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
17,Kill This Love,BLACKPINK,820071,https://open.spotify.com/track/4pUCKHjJ4Ijewc37rRrvHn
18,MONOPOLY (with Victoria Mon?t),Ariana Grande,802379,https://open.spotify.com/track/6tsOcBnaKgzK22yEiqRh8P
19,Murder On My Mind,YNW Melly,776399,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC
20,Pure Water (with Migos),Mustard,775483,https://open.spotify.com/track/63cd4JkwGgYJrbOizbfmsp
21,"break up with your girlfriend, i'm bored",Ariana Grande,774983,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS
22,when the party's over,Billie Eilish,761789,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
23,Shallow,Lady Gaga,717533,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
24,Don't Pretend (feat. SAFE),Khalid,712667,https://open.spotify.com/track/1E6DEDWDKHoOW0fcFuDghV
25,Saturday Nights,Khalid,691090,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8
26,Here With Me,Marshmello,666917,https://open.spotify.com/track/5icOoE6VgqFKohjWWNp0Ac
27,all the good girls go to hell,Billie Eilish,663362,https://open.spotify.com/track/6IRdLKIyS4p7XNiP8r6rsx
28,Look Back at It,A Boogie Wit da Hoodie,653659,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8
29,Dancing With A Stranger (with Normani),Sam Smith,645115,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
30,my strange addiction,Billie Eilish,644000,https://open.spotify.com/track/3Tc57t9l2O8FwQZtQOvPXK
31,Price On My Head (feat. The Weeknd),NAV,630247,https://open.spotify.com/track/4hqOmrCCJKyiuwDexd8c2t
32,xanny,Billie Eilish,597451,https://open.spotify.com/track/4QIo4oxwzzafcBWkKjDpXY
33,Happier,Marshmello,595882,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
34,Freaky,Tory Lanez,592711,https://open.spotify.com/track/0NJp8GyCOWnQh71xKSPfuV
35,you should see me in a crown,Billie Eilish,581667,https://open.spotify.com/track/3XF5xLJHOQQRbWya6hBp7d
36,Without Me,Halsey,580438,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
37,Eastside (with Halsey & Khalid),benny blanco,575135,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
38,Racks in the Middle (feat. Roddy Ricch and Hit-Boy),Nipsey Hussle,570405,https://open.spotify.com/track/6ya8ejoKgw906Y8LWclqrp
39,Let Me Down Slowly,Alec Benjamin,565094,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
40,Robbery,Juice WRLD,561227,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
41,Mixed Personalities (feat. Kanye West),YNW Melly,553494,https://open.spotify.com/track/6vWEAOUSxohKxhp0K1BsxL
42,Drip Too Hard (Lil Baby & Gunna),Lil Baby,528054,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
43,SICKO MODE,Travis Scott,527865,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
44,Faucet Failure,Ski Mask The Slump God,526066,https://open.spotify.com/track/1ThmUihH9dF8EV08ku5AXN
45,Don't Call Me Up,Mabel,507245,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
46,Bad Luck,Khalid,503102,https://open.spotify.com/track/2vsuel3g4zaLYSOY0mOMbi
47,"thank u, next",Ariana Grande,494763,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
48,i love you,Billie Eilish,480252,https://open.spotify.com/track/6CcJMwBtXByIz4zQLzFkKc
49,Cool,Jonas Brothers,475311,https://open.spotify.com/track/3QmolSZqjjLksTUvZJ6pPS
50,Right Back,Khalid,468165,https://open.spotify.com/track/5A1w94uzc1kO1Zhe8WWxC3
51,ilomilo,Billie Eilish,466713,https://open.spotify.com/track/7qEKqBCD2vE5vIBsrUitpD
52,lovely,Billie Eilish,465959,https://open.spotify.com/track/1NJcg626wLln4pGHpiV7mf
53,i'm so tired...,Lauv,463485,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
54,Paradise,Bazzi,459802,https://open.spotify.com/track/7njKgVl3AnLflRad38o7AG
55,High Hopes,Panic! At The Disco,459523,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
56,Better Now,Post Malone,455209,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
57,a lot,21 Savage,454845,https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d
58,ZEZE (feat. Travis Scott & Offset),Kodak Black,449101,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z
59,listen before i go,Billie Eilish,436095,https://open.spotify.com/track/0tMSssfxAL2oV8Vri0mFHE
60,Sweet but Psycho,Ava Max,434406,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
61,Con Calma,Daddy Yankee,432238,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
62,Who Do You Love,The Chainsmokers,422592,https://open.spotify.com/track/7ql71hBakyMi0Lxiq3Mugs
63,Pop Out (feat. Lil Tjay),Polo G,421882,https://open.spotify.com/track/5AjINjwKyRvQJhSe2zpPHi
64,Self,Khalid,420192,https://open.spotify.com/track/1WqLtczgKdbHFHhefOU0y7
65,Lucid Dreams,Juice WRLD,415747,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
66,Free Spirit,Khalid,415025,https://open.spotify.com/track/2kAIpGWnlFLQh48iut6Zzq
67,"I CanÅft Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)",benny blanco,414861,https://open.spotify.com/track/1WSGTYKLEpKfNQYYW5Oymt
68,Thotiana,Blueface,414599,https://open.spotify.com/track/3oh6SCCeLuXhFpEyepla6G
69,Mo Bamba,Sheck Wes,414351,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr
70,Be Alright,Dean Lewis,408392,https://open.spotify.com/track/2H4gf1wLxvYreMj1jcaN0k
71,Youngblood,5 Seconds of Summer,407421,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
72,Hundred,Khalid,394340,https://open.spotify.com/track/0HEckRWFSknIupbGzavk5d
73,Paradise,Khalid,383374,https://open.spotify.com/track/6fOOKqQWcSy33ApU1wqkkW
74,Intro,Khalid,382604,https://open.spotify.com/track/5BfMJ6iytQnu1r7iiCYSXe
75,8,Billie Eilish,381081,https://open.spotify.com/track/6X29iaaazwho3ab7GNue5r
76,Twenty One,Khalid,367750,https://open.spotify.com/track/1NgCWYuBLfqBDA3b8MgSVU
77,I,Lil Skies,364765,https://open.spotify.com/track/4ZT9FnbFu1PaBfV3itxiqT
78,Taste (feat. Offset),Tyga,361668,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
79,rockstar (feat. 21 Savage),Post Malone,360945,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
80,The Bones,Maren Morris,360741,https://open.spotify.com/track/3npzogdOEiVsieXmmhBepL
81,Space Cadet (feat. Gunna),Metro Boomin,353733,https://open.spotify.com/track/1fewSx2d5KIZ04wsooEBOz
82,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,352007,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
83,Envy Me,Calboy,349034,https://open.spotify.com/track/05t7JMip6JrLuSrMV5yYjX
84,Leave Me Alone,Flipp Dinero,347473,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g
85,Bohemian Rhapsody - Remastered 2011,Queen,347344,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
86,Please Me,Cardi B,347236,https://open.spotify.com/track/0PG9fbaaHFHfre2gUVo7AN
87,SAD!,XXXTENTACION,342923,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
88,Splashin,Rich The Kid,336541,https://open.spotify.com/track/3KLo7ByvjCNyBrfz5DZ2mO
89,Body (feat. brando),Loud Luxury,334562,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
90,Wow. - Remix,Post Malone,334455,https://open.spotify.com/track/0fcq51a3gOI6gPvzc0YLsk
91,Red Room,Offset,333506,https://open.spotify.com/track/4TWflhgevIGo448fWc6mQq
92,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,333448,https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e
93,Nonstop,Drake,329705,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
94,Walk Me Home,P!nk,328171,https://open.spotify.com/track/7DHApOHsIFo7EyfieArYGE
95,I Like Me Better,Lauv,326949,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
96,MIA (feat. Drake),Bad Bunny,323240,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
97,Pure Cocaine,Lil Baby,322081,https://open.spotify.com/track/577YBGuskWkVDCxZrLRB4v
98,Fast,Juice WRLD,317545,https://open.spotify.com/track/6MjNilJCVKJq0LfFvo5jWJ
99,Beautiful Crazy,Luke Combs,316799,https://open.spotify.com/track/2rxQMGVafnNaRaXlRMWPde
