,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Position,Track Name,Artist,Streams,URL
1,Unterwegs,KitschKrieg,4260896,https://open.spotify.com/track/7mrWTjhYctgEQb0lJKrVWy
2,Frühstück in Paris,Capital Bra,3385320,https://open.spotify.com/track/6qAxQhNfM909QrDGLYEocf
3,Mood (feat. iann dior),24kGoldn,3319183,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
4,2012,Bausa,3114328,https://open.spotify.com/track/6bM4daGlfZHtKMQp8tEqVz
5,Sirenen (feat. AK Ausserkontrolle),Kontra K,3041156,https://open.spotify.com/track/5AVPelpkccFdZdepfo2GhM
6,Savage Love (Laxed - Siren Beat),Jawsh 685,2706034,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
7,Bläulich,Apache 207,2661217,https://open.spotify.com/track/2WRTnY0slmFgWcrmEr8dPj
8,Lebst du noch,Samra,2239649,https://open.spotify.com/track/2P3kqNIRm9q2VkuQXUPUXH
9,Morning Sun,Shindy,2090653,https://open.spotify.com/track/1NcVOQ0fu8erZf2XkQuAEB
10,Head & Heart (feat. MNEK),Joel Corry,2058747,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
11,WAP (feat. Megan Thee Stallion),Cardi B,1981939,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
12,AF1,Elias,1960540,https://open.spotify.com/track/7uCpwrRNkm6ncwAWByIzW9
13,ROCKSTAR (feat. Roddy Ricch),DaBaby,1950986,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
14,Unterwegs,Apache 207,1873083,https://open.spotify.com/track/7oJW8vNkosiWuKJtsq3mZs
15,In meinem Benz,AK AUSSERKONTROLLE,1859683,https://open.spotify.com/track/3dy7SaVShdnjwtx9IXhtzg
16,Never Let Me Down,VIZE,1838896,https://open.spotify.com/track/5TGcyccg8Hkgn9jB7gUpMN
17,Lovefool,twocolors,1780137,https://open.spotify.com/track/51Of5p3lKZeOg6itfs4og4
18,Andere Welt,Capital Bra,1760829,https://open.spotify.com/track/5PAAUJTKLT0nCmHUlLdPXb
19,Airwaves,Pashanim,1748691,https://open.spotify.com/track/5CqkgDH8QZjSqqI3HmYxDD
20,Hollywood,LA Vision,1738082,https://open.spotify.com/track/1XdMp6v9Q3N80WnKSbGfl4
21,Alane,Robin Schulz,1620280,https://open.spotify.com/track/2u6Jm2klS4yvAlbSHlxUwI
22,Playlist,Ufo361,1607769,https://open.spotify.com/track/1mfMAQJWZ9K4vKOahwkYQ3
23,Mood Swings (feat. Lil Tjay),Pop Smoke,1589072,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
24,Watermelon Sugar,Harry Styles,1577081,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
25,AMG,Kool Savas,1575775,https://open.spotify.com/track/4EmiHs5KnkApKW8pkfWdWW
26,Blinding Lights,The Weeknd,1552419,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
27,Head Shoulders Knees & Toes (feat. Norma Jean Martine),Ofenbach,1545588,https://open.spotify.com/track/6i7zAdNhzUN2k1HcrBxPHG
28,Sie ruft,Apache 207,1499521,https://open.spotify.com/track/4CyCHkhRsDXUeP5K4Y3xjU
29,Tilidin Weg,Bonez MC,1444325,https://open.spotify.com/track/1g3J9W88hTG173ySZR6E9S
30,Fame,Apache 207,1433563,https://open.spotify.com/track/0QjjaCaXE45mvhCnV3C0TA
31,13,Jamule,1432280,https://open.spotify.com/track/2YnUB2mFDQRZSFzo73UNxd
32,Lonely,Tujamo,1431736,https://open.spotify.com/track/5LOJdJPzuevskkoAtLj8hb
33,GREECE (feat. Drake),DJ Khaled,1416049,https://open.spotify.com/track/35RJhm1pEovTBwnNR0zWad
34,Laugh Now Cry Later (feat. Lil Durk),Drake,1385671,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
35,Sinne,Sarhad,1351768,https://open.spotify.com/track/1XTUu81IEyoi5nU5H6Bf3H
36,WEISSER RAUCH,FOURTY,1336664,https://open.spotify.com/track/6bRR9tU3WUBsC4aywSgHEO
37,Come & Go (with Marshmello),Juice WRLD,1336282,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
38,CHROME HEARTS,reezy,1318802,https://open.spotify.com/track/2HRoorQkhGZn6GSjEjubu5
39,fastlane,Jamule,1287291,https://open.spotify.com/track/7xvofve6KAoCIsqVVxH20J
40,Roller,Apache 207,1284126,https://open.spotify.com/track/6hw1Sy9wZ8UCxYGdpKrU6M
41,Ma Bae,Dardan,1268680,https://open.spotify.com/track/3G67H7EzEhwITQn1gPuPwA
42,"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,1259548,https://open.spotify.com/track/2DQNYMRjisN3KAPj1bEwOI
43,XXL,Miksu / Macloud,1257787,https://open.spotify.com/track/0p3euGPg5LgFeQGC7bBFuR
44,Roses - Imanbek Remix,SAINt JHN,1235378,https://open.spotify.com/track/2Wo6QQD1KMDWeFkkjLqwx5
45,Breaking Me,Topic,1221395,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
46,24 Stunden,Samra,1220231,https://open.spotify.com/track/7LCElzlYw3myTHvC2MQWve
47,Boot,Apache 207,1189996,https://open.spotify.com/track/12KENAKQY5JvAsRURN7TzB
48,D&G,Azet,1172454,https://open.spotify.com/track/4n2l0xAsdI0MMO4NKDEQPT
49,Übermorgen,Mark Forster,1163388,https://open.spotify.com/track/1NP7bzm8UksJUWXsuFoOwE
