,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"God's Plan",Drake,4554524,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
2,Barking,Ramz,2746929,https://open.spotify.com/track/7amMgNDcObIDkIXv4xcvc2
3,IDGAF,"Dua Lipa",2602541,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
4,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,2512831,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
5,"All The Stars (with SZA)","Kendrick Lamar",2486211,https://open.spotify.com/track/2Imq77E6CEJR5TPUxlJvTY
6,"River (feat. Ed Sheeran)",Eminem,2086268,https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD
7,FRIENDS,Marshmello,2054933,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
8,"This Is Me","Keala Settle",1955966,https://open.spotify.com/track/2xGjteMU3E1tkEPVFBO08U
9,"Finesse - Remix; feat. Cardi B","Bruno Mars",1951977,https://open.spotify.com/track/3Vo4wInECJQuz9BIBMOu8i
10,"Pray For Me (with Kendrick Lamar)","The Weeknd",1926117,https://open.spotify.com/track/4ofvoCdXq99vpMZO4Cfp8x
11,Breathe,"Jax Jones",1748401,https://open.spotify.com/track/6tvQzeCPwOytDlBYCIOY0n
12,"Tip Toe (feat. French Montana)","Jason Derulo",1728391,https://open.spotify.com/track/2z4pcBLQXF2BXKFvd0BuB6
13,"Rewrite The Stars","Zac Efron",1669137,https://open.spotify.com/track/630sXRhIcfwr2e4RdNtjKN
14,"My Lover - Radio Edit",Not3s,1665696,https://open.spotify.com/track/0A9y4c4dkI68IEnsRGtWil
15,rockstar,"Post Malone",1628181,https://open.spotify.com/track/1OmcAT5Y8eg5bUPv9qJT4R
16,"Feel It Still","Portugal. The Man",1579611,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK
17,"Never Be the Same","Camila Cabello",1554712,https://open.spotify.com/track/4eWQlBRaTjPPUlzacqEeoQ
18,"Havana (feat. Young Thug)","Camila Cabello",1455760,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
19,"I Know You (feat. Bastille)","Craig David",1453789,https://open.spotify.com/track/5lRzEC0Hyj92nEr9JkDxM2
20,"Fine Line (with Not3s)",Mabel,1398286,https://open.spotify.com/track/3CmDfdlhSnRvoNeCwXWvh1
21,"Look Alive (feat. Drake)","BlocBoy JB",1369699,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
22,"The Greatest Show","Hugh Jackman",1361677,https://open.spotify.com/track/43ay9lQZ5rfNcOOHhRF2cM
23,Strangers,Sigrid,1331429,https://open.spotify.com/track/3fJaqjV813edLN5wrxUPkc
24,"For You (Fifty Shades Freed) (& Rita Ora)","Liam Payne",1294587,https://open.spotify.com/track/5hM6sP0Gh1jD57drszNueC
25,"Him & I (with Halsey)",G-Eazy,1288997,https://open.spotify.com/track/5k38wzpLb15YgncyWdTZE4
26,"Let You Down",NF,1287855,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr
27,Decline,RAYE,1241325,https://open.spotify.com/track/5STWwZgJ5gHzXdOsZ1hTqH
28,"New Rules","Dua Lipa",1235324,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
29,Anywhere,"Rita Ora",1224895,https://open.spotify.com/track/7EI6Iki24tBHAMxtb4xQN2
30,Jumanji,"B Young",1208691,https://open.spotify.com/track/4PzsYXrHh4r2BxtpNjtvoF
31,"I Miss You (feat. Julia Michaels)","Clean Bandit",1186672,https://open.spotify.com/track/2xmrfQpmS2iJExTlklLoAL
32,17,MK,1175834,https://open.spotify.com/track/15DwFznkBJir7AK9PyMyRR
33,"No Words",Dave,1167598,https://open.spotify.com/track/4USHZ3omhEBGjHLD9BIJYs
34,"A Million Dreams","Ziv Zaifman",1139165,https://open.spotify.com/track/0RoA7ObU6phWpqhlC9zH4Z
35,"I Fall Apart","Post Malone",1135429,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
36,"The Other Side","Hugh Jackman",1083464,https://open.spotify.com/track/2cKovq3l6OJjhVVDbVKOsr
37,"Never Enough","Loren Allred",1063983,https://open.spotify.com/track/0Gl5s8IhMmQE5YQwM8Qx1J
38,"Bad (feat. Yungen, MoStack, Mr Eazi & Not3s)","Steel Banglez",1049672,https://open.spotify.com/track/5vySkXA0v40CDwofIvhc1Y
39,"Sick Boy","The Chainsmokers",1043230,https://open.spotify.com/track/7jqDzXJS0K0Re8uphYNit0
40,"Bouff Daddy","J Hus",1031465,https://open.spotify.com/track/28qdL1yHti3BSu6AdLzWbg
41,Silence,Marshmello,1000045,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
42,"She Loves Control","Camila Cabello",996109,https://open.spotify.com/track/5HwnezK198pJCEj1l2Adjy
43,Mine,Bazzi,947322,https://open.spotify.com/track/6tHWl8ows5JOZq9Yfaqn3M
44,"Shape of You","Ed Sheeran",915699,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
45,"Come Alive","Hugh Jackman",895446,https://open.spotify.com/track/5xNUR50KxswPRAvx7S163g
46,Naked,"James Arthur",884046,https://open.spotify.com/track/7krbSH3rd8lhIZvuzTV3Bl
47,"Black Panther","Kendrick Lamar",877594,https://open.spotify.com/track/5qN4HFkapdAOV94XPryVof
48,Wolves,"Selena Gomez",867927,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC
49,"From Now On","Hugh Jackman",855980,https://open.spotify.com/track/3IkWmgGsXbsafrunwPojXO
50,Perfect,"Ed Sheeran",854644,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
51,"Check (with RAYE)","Kojo Funds",823174,https://open.spotify.com/track/4i8ObH2xPP4DSNniUJlgar
52,"X (with 2 Chainz & Saudi)","ScHoolboy Q",789608,https://open.spotify.com/track/4LmAnpjlhWTahvRkYR8xJa
53,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld",783879,https://open.spotify.com/track/5AEtlRudpgdT5FtNiuly6Y
54,"King's Dead (with Kendrick Lamar, Future & James Blake)","Jay Rock",742931,https://open.spotify.com/track/51rXHuKN8Loc4sUlKPODgH
55,"Too Good At Goodbyes","Sam Smith",733177,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
56,"Game Changer",MIST,729965,https://open.spotify.com/track/4XQsLG3pgqXiGWcevRF1vE
57,"The Middle",Zedd,718371,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
58,Unforgettable,"French Montana",715958,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
59,Cola,CamelPhat,710263,https://open.spotify.com/track/1HrMWH5GUdK6Yi94rbANJA
60,"The Ways (with Swae Lee)",Khalid,691055,https://open.spotify.com/track/5jyyPsIGM2yqkZN9R3TmvN
61,"Let Me Down","Jorja Smith",686143,https://open.spotify.com/track/2tpYmda4mM7XFvpbhOfERH
62,"Nuh Ready Nuh Ready (feat. PARTYNEXTDOOR)","Calvin Harris",678988,https://open.spotify.com/track/2rYyq0b3XWwmWl0k727OVG
63,"Say Something (feat. Chris Stapleton)","Justin Timberlake",678220,https://open.spotify.com/track/1LhMopPAallLeaeNutqbgS
64,"Perfect Duet (Ed Sheeran & Beyoncé)","Ed Sheeran",665191,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI
65,"Wild Love","James Bay",664601,https://open.spotify.com/track/6JnRLa50GuHzF0ucg9AGMI
66,HUMBLE.,"Kendrick Lamar",657362,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
67,Tightrope,"Michelle Williams",651189,https://open.spotify.com/track/0GVuLQtPXFaL18ijEOqoAa
68,"Big Shot (with Travis Scott)","Kendrick Lamar",649384,https://open.spotify.com/track/5cXg9IQS34FzLVdHhp7hu7
69,"XO Tour Llif3","Lil Uzi Vert",636643,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
70,"Finders Keepers",Mabel,632863,https://open.spotify.com/track/6KfNna0zfHtWJJ803hFBWX
71,"I Am","Jorja Smith",626347,https://open.spotify.com/track/0DJBgBiYeSn6n1AXAkFVE8
72,"Stir Fry",Migos,625059,https://open.spotify.com/track/2UVbBKQOdFAekPTRsnkzcf
73,"Blinded By Your Grace, Pt. 2 (feat. MNEK)",Stormzy,613612,https://open.spotify.com/track/0ihguwGVwKihJ1Nj8fGQlY
74,"Mr. Brightside","The Killers",601397,https://open.spotify.com/track/7oK9VyNzrYvRFo7nQEYkWN
75,"Man's Not Hot","Big Shaq",593438,https://open.spotify.com/track/2nUJvBO87SkxCViQsLc9Zr
76,"Bad Vibe",M.O,590816,https://open.spotify.com/track/2aeKv96tpmi1T3ctpAZBqB
77,Rihanna,"Yxng Bane",580094,https://open.spotify.com/track/5kJEUjZUh1xPRUHQc8hEnq
78,"Young Dumb & Broke",Khalid,579734,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
79,"A Million Dreams (Reprise)","Austyn Johnson",565492,https://open.spotify.com/track/66y7x28jXOPrcmu3D5Zjh6
80,Congratulations,"Post Malone",557894,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
81,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",555967,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn
82,"Opps (with Yugen Blakrok)","Vince Staples",542460,https://open.spotify.com/track/7bUcBztfGqO7cSI2gMZeCI
83,"Symphony (feat. Zara Larsson)","Clean Bandit",531079,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
84,"Wavey (feat. Alika)",CLiQ,529243,https://open.spotify.com/track/5KvRFKrsapVHYNzoM7rDUw
85,"Dusk Till Dawn - Radio Edit",ZAYN,520381,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv
86,"Hurtin' Me","Stefflon Don",508305,https://open.spotify.com/track/2VoJe7vkKkigs7C3CGnSXL
87,Paramedic!,"SOB X RBE",505770,https://open.spotify.com/track/2tPcTFiQF9MbVUyjZ3zDhA
88,"Galway Girl","Ed Sheeran",505430,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
89,Unsigned,"Hardy Caprio",504564,https://open.spotify.com/track/09QDTOldsJkM9ykxdTtAlf
90,"Capital Letters","Hailee Steinfeld",495983,https://open.spotify.com/track/3towKHKVOXCCcL1fHv6xFO
91,"How Long","Charlie Puth",494226,https://open.spotify.com/track/32DGGj6KlNuBr6WaqRxpxi
