,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,
Position,Track Name,Artist,Streams,URL
1,Jaloux,Dadju,1766156,https://open.spotify.com/track/0QnEGWGECQUPuE3m8L6hdT
2,Pr?t ? partir (feat. Ninho),SCH,1683793,https://open.spotify.com/track/0ZKi6Khl1E9EoOQadSXN5m
3,Ramenez la coupe ? la maison,Vegedream,1508084,https://open.spotify.com/track/1m0UFnuTktOkksvjbF9z0m
4,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,1503294,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
5,Copines,Aya Nakamura,1342587,https://open.spotify.com/track/3AZg5nZgMquXJ67KgpngKX
6,Air Max,Rim'K,1341075,https://open.spotify.com/track/6qk9lEM6UIxNbAuI0PpOLu
7,Le code,SCH,1290262,https://open.spotify.com/track/4EHacNxfg1CVjRUX9YMLH4
8,VNTM,SCH,1148309,https://open.spotify.com/track/6wyvsRs4LXPJNH5DgD7IXU
9,Otto,SCH,1136158,https://open.spotify.com/track/6GzVDBNNPqBa465hLchSvQ
10,BB,Booba,1095880,https://open.spotify.com/track/0YCMh9HQkRpAtkj0i1sZqH
11,Ma 6t a craqu? (feat. Ninho),Kpoint,1066526,https://open.spotify.com/track/2NUIWpL6IsYGkwfSN7basS
12,Sur le drapeau,Supr?me NTM,1030711,https://open.spotify.com/track/42Xesu4U4nM3CCjMk5X3kM
13,Bella,MHD,1028485,https://open.spotify.com/track/0O4XHiuVt3dBaOzSI49BtF
14,In My Mind,Dynoro,1023629,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
15,Tout oublier,Ang?le,973538,https://open.spotify.com/track/06O3hxudc6V0BOuoCFSy71
16,Pharmacie,SCH,966871,https://open.spotify.com/track/5mHp6ulR4rvScb4ubFsNad
17,Tokarev,SCH,958466,https://open.spotify.com/track/16znV4n3VrHaHIkNcU5s6c
18,Train de vie,Koba LaD,945924,https://open.spotify.com/track/6FqNHDHEsUTKqVWXBkMd9y
19,Promises (with Sam Smith),Calvin Harris,845495,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
20,La C,Koba LaD,804792,https://open.spotify.com/track/5PtFV78R0DRvzsTqk1S0Vt
21,Facile,SCH,801255,https://open.spotify.com/track/4ai70kw4ToHz51iKd7VHA9
