,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,
Position,Track Name,Artist,Streams,URL
1,Ne reviens pas,Gradur,4667520,https://open.spotify.com/track/4TnFANpjVwVKWzkxNzIyFH
2,Moulaga,Heuss L'enfoir?,3281758,https://open.spotify.com/track/5BfCoUcWNXcpyJfjXRIeyC
3,Dance Monkey,Tones And I,2260214,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
4,Distant,Maes,2085805,https://open.spotify.com/track/2iuNKcIOuHb9VIplN7NDoa
5,POPOPOP,Gambi,1971508,https://open.spotify.com/track/18HNGxDOcshRU2Hdu8tMOM
6,God Bless (feat. Damso),Hamza,1815305,https://open.spotify.com/track/2oT2g4vkjRaFOcUtdOf9eg
7,All I Want for Christmas Is You,Mariah Carey,1690683,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
8,Blinding Lights,The Weeknd,1674000,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
9,40%,Aya Nakamura,1524919,https://open.spotify.com/track/47LFcy7prvEY5D08d26zOo
10,Woin Woin,Larry,1368277,https://open.spotify.com/track/5Oh8sPyFYM4gAR3KmmDH7I
11,Oui ou non,Ang?le,1359942,https://open.spotify.com/track/7rBP4bLjMLNkix1nGHjheP
12,C?te Ouest,47ter,1261641,https://open.spotify.com/track/4ZuuPLV4qYiznagLAFPHcW
13,Loin de moi,Naza,1247960,https://open.spotify.com/track/30kxl4FnaEFS2qZkec3Zak
14,Jamais,Mister V,1201571,https://open.spotify.com/track/2MCAs3ttHSuDm1RHL0rqTF
15,H? OH,Gambi,1191882,https://open.spotify.com/track/1bWafkUCOp6luXRs1cm3w9
16,ROXANNE,Arizona Zervas,1101535,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
17,Mayday (feat. Ninho),SCH,1056888,https://open.spotify.com/track/1SVuEeerYIwjCRsF5MGzX3
18,RITMO (Bad Boys For Life),Black Eyed Peas,1018769,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
19,Compliqu?,Dadju,1009581,https://open.spotify.com/track/5eFzibilHIMCdcQgtkHw1F
20,Memories,Maroon 5,1006911,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
21,La vie qu'on m?ne,Ninho,988520,https://open.spotify.com/track/0Jh6iWjna1wk5le0Ahn7No
22,93% [Tijuana],GLK,954288,https://open.spotify.com/track/45mzuuUWaRRLwIDifDferf
23,Baian?,Bakermat,946955,https://open.spotify.com/track/430efk5Jc5wGay4EWP4snS
24,Ma vie,Dadju,943286,https://open.spotify.com/track/5HQw9ij3dkr7ZJYUYe82ho
25,Street,Maes,939385,https://open.spotify.com/track/0MtMUDO6tzHq1ux9rwSJhl
26,Last Christmas,Wham!,937596,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
