,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"I Love It (& Lil Pump)","Kanye West",28516766,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
2,"In My Feelings",Drake,27863504,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
3,"Lucky You (feat. Joyner Lucas)",Eminem,26963023,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
4,"Eastside (with Halsey & Khalid)","benny blanco",24227312,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
5,"Promises (with Sam Smith)","Calvin Harris",23666223,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
6,"Girls Like You (feat. Cardi B)","Maroon 5",21481286,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
7,"In My Mind",Dynoro,21439591,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
8,Happier,Marshmello,21422869,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
9,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,20365210,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
10,"SICKO MODE","Travis Scott",20170718,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
11,"Lucid Dreams","Juice WRLD",19858246,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
12,"No Brainer","DJ Khaled",17791581,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
13,"The Ringer",Eminem,17126144,https://open.spotify.com/track/2jt2WxXMCD4zjACthkJQVE
14,"Be Alright","Dean Lewis",16900938,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
15,"Taste (feat. Offset)",Tyga,16636602,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
16,"I Like It","Cardi B",16225457,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
17,SAD!,XXXTENTACION,16095099,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
18,"Vaina Loca",Ozuna,15602448,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA
19,"Electricity (with Dua Lipa)","Silk City",15553196,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
20,breathin,"Ariana Grande",15476708,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
21,"God is a woman","Ariana Grande",15275496,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
22,BEBE,6ix9ine,15167729,https://open.spotify.com/track/7ATATJztoWLcqDAcVVof0C
23,"Better Now","Post Malone",14521798,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
24,Rise,"Jonas Blue",14437255,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
25,"Body (feat. brando)","Loud Luxury",14388680,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
26,Fall,Eminem,14003282,https://open.spotify.com/track/58QhkbaAkLFnn7JwAnAato
27,Natural,"Imagine Dragons",13765244,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
28,"Solo (feat. Demi Lovato)","Clean Bandit",13717976,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
29,Youngblood,"5 Seconds of Summer",13585841,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
30,"Te Boté - Remix","Nio Garcia",13346931,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
31,"Jackie Chan",Tiësto,13106747,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
32,Nonstop,Drake,13039860,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
33,Moonlight,XXXTENTACION,12812466,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
34,"One Kiss (with Dua Lipa)","Calvin Harris",11973698,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
35,"Beautiful (feat. Camila Cabello)",Bazzi,11960600,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
36,"Not Alike (feat. Royce Da 5'9)",Eminem,11960552,https://open.spotify.com/track/28FGV3ORH14MYORd7s5dlU
37,Thunderclouds,Sia,11400387,https://open.spotify.com/track/5a8RPWgKSmcGBGcffmIrUi
38,"No Es Justo","J Balvin",11109048,https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7
39,Shotgun,"George Ezra",11090207,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
40,Greatest,Eminem,10985688,https://open.spotify.com/track/2XTquzYQAdT1Hk78bOUwsv
41,"Happy Now",Zedd,10946851,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
42,"Sin Pijama","Becky G",10852138,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww
43,"Self Care","Mac Miller",10776937,https://open.spotify.com/track/5bJ1DrEM4hNCafcDd1oxHx
44,"God's Plan",Drake,10415748,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
45,"Jocelyn Flores",XXXTENTACION,10119571,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
46,"no tears left to cry","Ariana Grande",10024278,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
47,"Whenever (feat. Conor Maynard)","Kris Kross Amsterdam",10007070,https://open.spotify.com/track/3DGar7krWlmrXRFHBcQF6z
48,Kamikaze,Eminem,9873578,https://open.spotify.com/track/2gsNpSn7VvvJuSrIDfRoYy
49,STARGAZING,"Travis Scott",9383126,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m
50,"rockstar (feat. 21 Savage)","Post Malone",9370893,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
51,changes,XXXTENTACION,9122729,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
52,"High Hopes","Panic! At The Disco",8796903,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
53,"Cuando Te Besé","Becky G",8711502,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy
54,"Praise The Lord (Da Shine) (feat. Skepta)","A$AP Rocky",8625273,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
55,"Psycho (feat. Ty Dolla $ign)","Post Malone",8432164,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
56,"Mala Mía",Maluma,8413067,https://open.spotify.com/track/62o8KoI44JfN7aYxgTnPvh
57,Clandestino,Shakira,8173844,https://open.spotify.com/track/7DrluKkTviBwCc8AV3VGmf
58,"Don't Leave Me Alone (feat. Anne-Marie)","David Guetta",8104384,https://open.spotify.com/track/2lYTJK94hb0fd1LQtb6Dhk
59,"Shape of You","Ed Sheeran",8078738,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
60,"Yes Indeed","Lil Baby",7931027,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
61,Nevermind,"Dennis Lloyd",7887150,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
