,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Position,Track Name,Artist,Streams,URL
1,"Bad Girls, Good Vibes",Ufo361,4081472,https://open.spotify.com/track/7IxGslFZA5QhgXbUsDmcjf
2,Berlin,Samra,3904811,https://open.spotify.com/track/4VyJtzcNhnV9gPEgjYzI8L
3,Angst,Loredana,3477058,https://open.spotify.com/track/3R3rQ7FbTJdsi5She10YvI
4,LOST,Fler,3435838,https://open.spotify.com/track/2dfIFz1lB9b9RtidYewxkr
5,Blinding Lights,The Weeknd,3429877,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
6,Sip,Luciano,2657109,https://open.spotify.com/track/4D4tA2ara3ihoOvjupr8cG
7,Matrix,Apache 207,2548995,https://open.spotify.com/track/7ygVaACDENw4PgLbN1awFE
8,Roller,Apache 207,2525059,https://open.spotify.com/track/6hw1Sy9wZ8UCxYGdpKrU6M
9,Breaking Me,Topic,2486152,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
10,D A YYY T O N A,Dardan,2371081,https://open.spotify.com/track/5Bj9rLRVpf5xxQwhlyOOeh
11,Baby,Joker Bra,2364081,https://open.spotify.com/track/1V7JaMp11LKGwKiVmSetf0
12,The Box,Roddy Ricch,2283930,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
13,Roses - Imanbek Remix,SAINt JHN,2248324,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
14,6 Uhr,Samra,2237280,https://open.spotify.com/track/57e7dy1hUpKVg1aUvKkx5R
15,Dance Monkey,Tones And I,2236142,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
16,100k Cash,Capital Bra,2005689,https://open.spotify.com/track/033if6Adj8fwBYsQzHOfQ8
17,In Your Eyes (feat. Alida),Robin Schulz,1952058,https://open.spotify.com/track/61ZM92T2zaXIVsqncThQzC
18,Kein Wort,Juju,1943420,https://open.spotify.com/track/1hoLUVBx0ixX3kn0EX0P5n
19,Bolon,Haftbefehl,1787655,https://open.spotify.com/track/7kcnYf6vuMRPHK0A6CtWFP
20,U23 (feat. Z),Mert,1704749,https://open.spotify.com/track/1iGM29PpHTyrra18Ft0w7O
21,Mios mit Bars,Luciano,1655283,https://open.spotify.com/track/7Ek9e3eIuktIFjpDRQfmHE
22,Don't Start Now,Dua Lipa,1533518,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
23,TEUER TEUER,Farid Bang,1525171,https://open.spotify.com/track/0m2ye3donWKvVsAKaSO14R
24,Falling,Trevor Daniel,1517773,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
25,Weiss,Samra,1488476,https://open.spotify.com/track/38YP1STiBe3AZevFFJILf4
26,Lass los,Dhurata Dora,1475530,https://open.spotify.com/track/0K5vPCPPPQYzrKHc17qB1I
27,Godzilla (feat. Juice WRLD),Eminem,1444511,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
28,Close Your Eyes,Felix Jaehn,1422999,https://open.spotify.com/track/7N06jo3EnV792VFaG8vuW6
29,200 km/h,Apache 207,1386682,https://open.spotify.com/track/2PGA1AsJal6cyMNmKyE56q
30,death bed (coffee for your head),Powfu,1334535,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
31,Rich Rich,Ufo361,1294305,https://open.spotify.com/track/3VFT90E0yYjdHSFoGv02us
32,Treppenhaus,LEA,1286042,https://open.spotify.com/track/3l72nWivgNKYMFC7OwMEO0
33,What If I Told You That I Love You,Ali Gatie,1267022,https://open.spotify.com/track/3cqPu20DGTGUoZtbJH2Dmi
34,Zu Ende,Samra,1240823,https://open.spotify.com/track/0Vl4eICpXMjtiK0RhdaWov
35,Intentions (feat. Quavo),Justin Bieber,1217379,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
36,110,Capital Bra,1201843,https://open.spotify.com/track/67ojvEGRPAUCOohuMPqoRC
37,Skifahren (feat. Joshi Mizu),The Cratez,1185469,https://open.spotify.com/track/7qwWwsa6otLM0UOEamls4s
38,Physical,Dua Lipa,1173877,https://open.spotify.com/track/5px6upUHM3fhOP621Edp4V
39,Karakol,Capo,1168451,https://open.spotify.com/track/0rl7zpqNO7xPbe2CDvyoks
40,Alien,RIN,1162985,https://open.spotify.com/track/2RaKlveGCllSaXloN8kmzV
41,Passt mir so gar nicht,Joker Bra,1134845,https://open.spotify.com/track/7AUPR6VYsmTu8LwDuJVgCe
42,Still Be Friends (feat. Tory Lanez & Tyga),G-Eazy,1133468,https://open.spotify.com/track/0JjM9bKm4wrwohMslcm892
43,ROXANNE,Arizona Zervas,1119598,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
44,Supalonely,BENEE,1119073,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
45,Ride It,Regard,1101446,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
46,2002,Sido,1080560,https://open.spotify.com/track/2u8AXJyk8pICzj2wyPBL0b
47,Turn Me On (feat. Vula),Riton,1072842,https://open.spotify.com/track/0qaWEvPkts34WF68r8Dzx9
48,Remember,Nimo,1053805,https://open.spotify.com/track/3yXXNEh8zkNo8hxDjr1tLj
49,AUF WIEDERSEHEN,Mozzik,1040786,https://open.spotify.com/track/6JZrs7FFUkTpinCxM1DG3E
50,KRIMINELL,Kianush,1024590,https://open.spotify.com/track/3ecKtWMr8HK99YOs7L6Ps3
51,Donuts,Gzuz,1015118,https://open.spotify.com/track/5XVPNr0CAoUn1jD033Ucoo
52,Say So,Doja Cat,1006958,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
