,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Mood (feat. iann dior)",24kGoldn,36456856,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
2,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",30094068,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
3,"WAP (feat. Megan Thee Stallion)","Cardi B",28881747,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
4,Hawái,Maluma,26711993,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
5,Dynamite,BTS,26198982,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY
6,"What You Know Bout Love","Pop Smoke",23128718,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
7,"Blinding Lights","The Weeknd",22747626,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
8,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",22340991,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
9,"Watermelon Sugar","Harry Styles",20927094,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
10,"Holy (feat. Chance The Rapper)","Justin Bieber",20896497,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
11,"Head & Heart (feat. MNEK)","Joel Corry",18674170,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
12,"Laugh Now Cry Later (feat. Lil Durk)",Drake,17856868,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
13,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,17682337,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
14,"you broke me first","Tate McRae",17543578,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
15,"Relación - Remix",Sech,17177266,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
16,"Savage Love (Laxed - Siren Beat)","Jawsh 685",16552834,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
17,Wonder,"Shawn Mendes",16243836,https://open.spotify.com/track/5KCbr5ndeby4y4ggthdiAb
18,"Lovesick Girls",BLACKPINK,16066412,https://open.spotify.com/track/4Ws314Ylb27BVsvlZOy30C
19,Heather,"Conan Gray",15846520,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
20,"Dreams - 2004 Remaster","Fleetwood Mac",15475652,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
21,"Ice Cream (with Selena Gomez)",BLACKPINK,14452710,https://open.spotify.com/track/4JUPEh2DVSXFGExu4Uxevz
22,"Roses - Imanbek Remix","SAINt JHN",14204137,https://open.spotify.com/track/2Wo6QQD1KMDWeFkkjLqwx5
23,"La Curiosidad","Jay Wheeler",14106708,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
24,"Put Your Records On","Ritt Momney",14004271,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
25,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",13665588,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
26,"Vida de Rico",Camilo,13650044,https://open.spotify.com/track/73nAK3HgQK8dak83Y2WQ8F
27,"La Tóxica",Farruko,13523058,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
28,"Someone You Loved","Lewis Capaldi",13336162,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
29,"Breaking Me",Topic,13281634,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
30,"POPSTAR (feat. Drake)","DJ Khaled",13189335,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
31,"Ay, DiOs Mío!","KAROL G",13170689,https://open.spotify.com/track/7x4ASXYEKfQBCewcZhK776
32,"Take You Dancing","Jason Derulo",12663949,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3
33,"Dance Monkey","Tones And I",12389967,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
34,"Mood Swings (feat. Lil Tjay)","Pop Smoke",12230188,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
