,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Pretender,"Official HIGE DANdism",818760,https://open.spotify.com/track/5LkWXxDxUTwEVHL0pfKL55
2,宿命,"Official HIGE DANdism",570240,https://open.spotify.com/track/3SjtQBle9ChDYCjJzWQkaY
3,マリーゴールド,Aimyon,514088,https://open.spotify.com/track/2cKiHG16JBiqHdi7Llq0r7
4,ノーダウト,"Official HIGE DANdism",455194,https://open.spotify.com/track/5DMEvbg3gUmiR5HIBWdveV
5,まちがいさがし,"Masaki Suda",434787,https://open.spotify.com/track/4Jj31lihp5Nvdi4lFRjrqc
6,白日,"King Gnu",428117,https://open.spotify.com/track/0mNO3xUzjsI17GXO1DRFCH
7,君はロックを聴かない,Aimyon,351849,https://open.spotify.com/track/59eluCMn0XbOWqeWQ91FTM
8,高嶺の花子さん,"back number",313875,https://open.spotify.com/track/2jdbZGFp8KVTuk0YxDNL4l
9,飛行艇,"King Gnu",309291,https://open.spotify.com/track/68KMKHen3fHDgD8z1aBWCK
10,さよならエレジー,"Masaki Suda",308965,https://open.spotify.com/track/0QKmcZNAST4GytJYmkN05D
11,青と夏,"Mrs. GREEN APPLE",299626,https://open.spotify.com/track/0a3587n25Xhw098UeEbeJq
12,"Stand By You","Official HIGE DANdism",299117,https://open.spotify.com/track/0XvOvUbvflmXxU8yqnF8Cp
13,今夜このまま,Aimyon,295499,https://open.spotify.com/track/6kKvmT4i0Dercz6f3kftg3
14,ハルノヒ,Aimyon,288283,https://open.spotify.com/track/7GYGVDPbi0zQUBIkuOPAY0
15,打上花火,DAOKO,280485,https://open.spotify.com/track/4IouQaO9GkaHC7AtMErdSa
16,HANABI,Mr.Children,272705,https://open.spotify.com/track/77lmDcPPyY6kK907gdgC6i
17,小さな恋のうた,MONGOL800,269403,https://open.spotify.com/track/7swIKcU4tFRk4iFJpi12Fg
18,真夏の夜の匂いがする,Aimyon,264104,https://open.spotify.com/track/34s49nvRfQy1kzx7DBqVRC
19,115万キロのフィルム,"Official HIGE DANdism",261326,https://open.spotify.com/track/278JqkBGkjDovOYAwE8TW7
20,ワタリドリ,[Alexandros],241857,https://open.spotify.com/track/0ve9Tpz8Yw0I4eXhWsy21o
21,366日,HY,236521,https://open.spotify.com/track/22aZD7yaGYfhgCYazL4nbc
22,愛を伝えたいだとか,Aimyon,230444,https://open.spotify.com/track/0N8Xztr4pBHJ7V0moJWhbO
23,ハッピーエンド,"back number",226356,https://open.spotify.com/track/0ssEfLe9aqPhMmLXKqBw6J
24,パプリカ,Foorin,225787,https://open.spotify.com/track/0bdYJCO9clK9ew61Z7GqMf
25,ロマンチシズム,"Mrs. GREEN APPLE",224785,https://open.spotify.com/track/7BwkDMUfGl0yttRXS13SAO
26,ただ君に晴れ,ヨルシカ,223876,https://open.spotify.com/track/3wJHCry960drNlAUGrJLmz
27,"Shape of You","Ed Sheeran",222143,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
28,Señorita,"Shawn Mendes",221057,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
29,新宝島,Sakanaction,217228,https://open.spotify.com/track/6ODZT1FGTE2q4two05giS1
30,愛をこめて花束を,Superfly,215512,https://open.spotify.com/track/7CmWXD3w1xOO53AAO4LRVQ
31,クリスマスソング,"back number",212154,https://open.spotify.com/track/5P8ZvBQoCrujjNcLAxO3Su
32,愛唄,GReeeeN,211865,https://open.spotify.com/track/7iXHLtPosbHvglVSJ4rxLq
33,"I Don't Care (with Justin Bieber)","Ed Sheeran",204780,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
34,トリコ,Nissy,198719,https://open.spotify.com/track/7H5uStZMOGpcVw7eW0eyTi
35,ひまわりの約束,"Motohiro Hata",198274,https://open.spotify.com/track/45jGOHwYKgsRYbAJ8DR61d
36,"boyfriend (with Social House)","Ariana Grande",198176,https://open.spotify.com/track/0Ryd8975WihbObpp5cPW1t
37,インフェルノ,"Mrs. GREEN APPLE",193940,https://open.spotify.com/track/64yajM6CxtLghmgB53VeXT
38,"Wherever you are","ONE OK ROCK",192555,https://open.spotify.com/track/7a7EIFzJLd7lcDRgThMQgm
39,"Beautiful People (feat. Khalid)","Ed Sheeran",190816,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
40,"If I Can't Have You","Shawn Mendes",187711,https://open.spotify.com/track/2bT1PH7Cw3J9p3t7nlXCdh
41,Lights,BTS,183820,https://open.spotify.com/track/44vXWYTcdrejrIQZEoHzl8
42,奏(かなで),"Sukima Switch",183120,https://open.spotify.com/track/5RbMlPFL4gVyEHW2lEOuzG
43,鱗(うろこ),"Motohiro Hata",182487,https://open.spotify.com/track/4IubwxgmXeZtDtYjTaT9gN
44,恋音と雨空,AAA,181522,https://open.spotify.com/track/46gSY0U7ZZCmd7EuJuo15N
45,貴方解剖純愛歌〜死ね〜,Aimyon,181510,https://open.spotify.com/track/2H3bOGOE50qEo5wAYoJiwL
46,君に届け,flumpool,176750,https://open.spotify.com/track/0kA7SWxWPYqSyIbMl51X5b
47,"WanteD! WanteD!","Mrs. GREEN APPLE",175808,https://open.spotify.com/track/7M3TZDUNvaNBo0qtWVaZif
48,"Kimiga Kureta Natsu","Leo Ieiri",166993,https://open.spotify.com/track/4bK6qPvD4xB8npRkZa1a55
49,"Boy With Luv (feat. Halsey)",BTS,164899,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
50,"Wasted Nights","ONE OK ROCK",162211,https://open.spotify.com/track/39LyUQIy7idLxPdsjyZsxe
51,ヒロイン,"back number",138387,https://open.spotify.com/track/3hBAYbAECEix9raaTq8S3H
52,キセキ,GReeeeN,138142,https://open.spotify.com/track/7ztdl6cnbJgHRdMkKldkts
53,FANCY,TWICE,134111,https://open.spotify.com/track/2FXd6kKCtBIc6UfN1gH1pA
54,花束,"back number",133756,https://open.spotify.com/track/3QIAwtEEDOrv0g5NKCGrXZ
55,点描の唄,"Mrs. GREEN APPLE",131612,https://open.spotify.com/track/1sIIlVrnPhrvmTrHtzM7tV
56,チェリー,SPITZ,130894,https://open.spotify.com/track/5Tj1wsJ6wE3Mf1MD0uKGnu
57,"bad guy (with Justin Bieber)","Billie Eilish",130752,https://open.spotify.com/track/3yNZ5r3LKfdmjoS3gkhUCT
58,U.S.A.,"DA PUMP",129710,https://open.spotify.com/track/5HXCP7b8k64WdZ1G0Bbc13
59,"bad guy","Billie Eilish",128867,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
60,Story,AI,128234,https://open.spotify.com/track/0V2axJ946WH1vt9t5SGMLV
61,丸ノ内サディスティック,"Sheena Ringo",127558,https://open.spotify.com/track/1mWN1USPKg632qQXG9sfDL
62,明日も,SHISHAMO,127544,https://open.spotify.com/track/2GICOigS4ByugDisRegs3M
63,GONG,WANIMA,124915,https://open.spotify.com/track/0wTDvm3s5COanWlqf91hdS
64,天体観測,"BUMP OF CHICKEN",123599,https://open.spotify.com/track/3hRRYgBeunE3PTmnzATTS0
65,ともに,WANIMA,123438,https://open.spotify.com/track/6FHgHDXiGnRfhrSok9xAz3
66,"Takeaway (feat. Lennon Stella)","The Chainsmokers",122546,https://open.spotify.com/track/6wo37KVqFJhtuxPTpLCcfe
67,満月の夜なら,Aimyon,121129,https://open.spotify.com/track/7DW5Dro8AHE7x19COl26E3
68,"My Boo","Shota Shimizu",120380,https://open.spotify.com/track/2gasr6aemUqZIBBN05EO03
69,バッドフォーミー,"Official HIGE DANdism",119841,https://open.spotify.com/track/5bIqpSL4zYypm5yhsOy7wX
70,若者のすべて,Fujifabric,119253,https://open.spotify.com/track/5dH4asCl80Mvbsoz6zJVyZ
71,シグナル,WANIMA,118563,https://open.spotify.com/track/4Ybp3UvVXvraRNwOCWnrNq
72,カタオモイ,Aimer,116180,https://open.spotify.com/track/6g93YtKKHU2H1qIqhLIL0Y
73,僕のこと,"Mrs. GREEN APPLE",116169,https://open.spotify.com/track/27VzBf5TfcPrhoylqxQ46v
74,春愁,"Mrs. GREEN APPLE",114110,https://open.spotify.com/track/5SHguvOUbyPTINNjCvRo8K
