,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,U.S.A.,"DA PUMP",178034,https://open.spotify.com/track/4qZyuyqLoZ3CaH79rGvJFR
2,打上花火,DAOKO,173858,https://open.spotify.com/track/4IouQaO9GkaHC7AtMErdSa
3,HANABI,Mr.Children,164236,https://open.spotify.com/track/77lmDcPPyY6kK907gdgC6i
4,マリーゴールド,Aimyon,149222,https://open.spotify.com/track/0jWVUKsIoyo3zw64RaEWYg
5,BDZ,TWICE,136607,https://open.spotify.com/track/6ceKChoZYLdw24Ph1CDFUJ
6,青と夏,"Mrs. GREEN APPLE",136374,https://open.spotify.com/track/0a3587n25Xhw098UeEbeJq
7,"No Brainer","DJ Khaled",133889,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
8,君はロックを聴かない,Aimyon,132747,https://open.spotify.com/track/59eluCMn0XbOWqeWQ91FTM
9,"Shape of You","Ed Sheeran",130304,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
10,恋音と雨空,AAA,125911,https://open.spotify.com/track/46gSY0U7ZZCmd7EuJuo15N
11,"Wherever you are","ONE OK ROCK",125440,https://open.spotify.com/track/0YAMQSmHk6BSUGTYpaoqTJ
12,"My Boo","Shota Shimizu",124517,https://open.spotify.com/track/2gasr6aemUqZIBBN05EO03
13,小さな恋のうた,MONGOL800,119878,https://open.spotify.com/track/7swIKcU4tFRk4iFJpi12Fg
14,愛をこめて花束を,Superfly,119090,https://open.spotify.com/track/7CmWXD3w1xOO53AAO4LRVQ
15,愛唄,GReeeeN,112694,https://open.spotify.com/track/6ANQEKJui81dRMb6xD3XrO
16,Rise,"Jonas Blue",111863,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
17,Change,"ONE OK ROCK",110551,https://open.spotify.com/track/6KBj27Bko8gh71gpx0PzIG
18,"In My Feelings",Drake,110165,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
19,愛を伝えたいだとか,Aimyon,103875,https://open.spotify.com/track/0N8Xztr4pBHJ7V0moJWhbO
20,アイノカタチ,MISIA,103492,https://open.spotify.com/track/2gzApyJhCWVdTRxL9HB1EO
21,DEJAVU,AAA,101787,https://open.spotify.com/track/4HxP6JOfuxnJUZY21zo4hF
22,花束を君に,"Hikaru Utada",101456,https://open.spotify.com/track/31yv1hR9gw1WSEmtqsaZbD
23,ワタリドリ,[Alexandros],101355,https://open.spotify.com/track/0ve9Tpz8Yw0I4eXhWsy21o
24,"no tears left to cry","Ariana Grande",99876,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
25,Story,AI,98882,https://open.spotify.com/track/0V2axJ946WH1vt9t5SGMLV
26,鱗(うろこ),"Motohiro Hata",96819,https://open.spotify.com/track/4IubwxgmXeZtDtYjTaT9gN
27,さよならエレジー,"Masaki Suda",96694,https://open.spotify.com/track/0QKmcZNAST4GytJYmkN05D
28,IDOL,BTS,96490,https://open.spotify.com/track/2AIWoHr9DF6y4KALCBKWQS
29,"Girls Like You (feat. Cardi B)","Maroon 5",93565,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
