,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Más Más Más","Rolf Sanchez",1565045,https://open.spotify.com/track/28hEtjNvlDhtb38fgXsLRa
2,"Head & Heart (feat. MNEK)","Joel Corry",1469690,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
3,"Vakantie (with Jonna Fraser)",Dopebwoy,1365424,https://open.spotify.com/track/2sE0IOF0pCl7hd4pi5QpgI
4,"Savage Love (Laxed - Siren Beat)","Jawsh 685",1344404,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
5,"Tout Est Bon",Boef,1327753,https://open.spotify.com/track/1tA3foex0E78CzVzNkDhdf
6,Tigers,"Bilal Wahib",1264922,https://open.spotify.com/track/7jnaow1bGpKO2VkgtYE8Vv
7,"De Overkant","Suzan & Freek",1238347,https://open.spotify.com/track/4afGO0WTInDhK2C3dolz8z
8,"Watermelon Sugar","Harry Styles",1183782,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
9,"Mij Niet Eens Gezien","Kris Kross Amsterdam",1128131,https://open.spotify.com/track/39X7P5VjmG0zk8efBJL2HD
10,MAMACITA,"Black Eyed Peas",1065058,https://open.spotify.com/track/24IgCW19L8lXKyFZwzFtD3
11,"Kings & Queens","Ava Max",1058234,https://open.spotify.com/track/76nqCfJOcFFWBJN32PAksn
12,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,967895,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
13,"Als Ik Je Niet Zie",Kevin,946684,https://open.spotify.com/track/1UHizDUE3b1zdku7aoa221
14,Alane,"Robin Schulz",907841,https://open.spotify.com/track/2u6Jm2klS4yvAlbSHlxUwI
15,"Banana (feat. Shaggy) - DJ FLe - Minisiren Remix",Conkarah,890897,https://open.spotify.com/track/0dZpw3h6KZhcHec61qwevZ
16,Kleur,Snelle,814093,https://open.spotify.com/track/6yBPWtwnlHgRTHfxK1MPwJ
17,"Rover (feat. DTG)",S1mba,782757,https://open.spotify.com/track/4slSrbTK1sNK4I1mDYEthf
18,"Jolie nana","Aya Nakamura",754261,https://open.spotify.com/track/34FbkFgAbv4ffvhL2XQMVm
19,"Mood Swings (feat. Lil Tjay)","Pop Smoke",746512,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
20,Secrets,Regard,722631,https://open.spotify.com/track/66W1rVTnEv86dIkFhoiElg
21,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",709148,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
22,"Breaking Me",Topic,685618,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
23,"WAP (feat. Megan Thee Stallion)","Cardi B",684494,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
24,"Some Say - Felix Jaehn Remix",Nea,679564,https://open.spotify.com/track/7C1trmcQQ5n5RNy4l6ziCv
25,"Paper Zien - Remix","Yssi SB",678798,https://open.spotify.com/track/1YnCInissFkmQTfZv3k2mT
26,"Waar Ga Je Heen","Emma Heesters",675531,https://open.spotify.com/track/5G6hrPIse64sqdsqVxBK78
27,Roadrunner,"Henkie T",670308,https://open.spotify.com/track/20Vh5314vpbUKSluk7Wnfz
28,"Mood (feat. iann dior)",24kGoldn,660931,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
29,"Laugh Now Cry Later (feat. Lil Durk)",Drake,650754,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
30,"Blinding Lights","The Weeknd",622055,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
31,"Love to Go","Lost Frequencies",612843,https://open.spotify.com/track/3bffZlBH65GZ2rVc9qiHg5
32,"In Die Life","Yssi SB",598912,https://open.spotify.com/track/1LlmGJW6fUvKM1aRYf6BOH
33,"Rain On Me (with Ariana Grande)","Lady Gaga",589013,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
34,"Roses - Imanbek Remix","SAINt JHN",581508,https://open.spotify.com/track/2Wo6QQD1KMDWeFkkjLqwx5
35,"X (with KAROL G)","Jonas Brothers",578009,https://open.spotify.com/track/77fvnWALKJR0ws1VUx09CY
36,Profiteren,"Henkie T",571744,https://open.spotify.com/track/6wyhRriC0gXk8GGJkhCNP3
37,Vergeten,Boef,554872,https://open.spotify.com/track/6uoKReqEKHziXfcDTckWC0
38,"Shawty Is A Freak","Henkie T",549213,https://open.spotify.com/track/4uucrqwWOlx6gkfcJ0jO6i
39,"Dom Pérignon","Qlas & Blacka",548572,https://open.spotify.com/track/29mysKbB8GplEzShqoA52S
40,"ily (i love you baby) (feat. Emilee)","Surf Mesa",547727,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
41,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",545409,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
42,Monsieur,"Henkie T",541708,https://open.spotify.com/track/3q48qreTeWJuaT2gUGuMMl
43,"Christian Dior",Dopebwoy,518443,https://open.spotify.com/track/101Guv5qCWiDv0rufQuhmX
44,"Video Vixen","Bilal Wahib",517590,https://open.spotify.com/track/0PEPCo71Ys1EBtTAnYCgw4
45,"my own world","Davina Michelle",517362,https://open.spotify.com/track/430N0ltKUH3gsCQyLsdGnG
46,"Lose Somebody",Kygo,511363,https://open.spotify.com/track/1sgDyuLooyvEML4oHspNza
47,Salt,"Ava Max",487097,https://open.spotify.com/track/7vgv8KZBSo0TPzyIWG9yzV
48,"Mocro Sh*t",Ashafar,474106,https://open.spotify.com/track/4KaBvpvtFM5OELSKKEMouy
49,"TKN (feat. Travis Scott)",ROSALÍA,453283,https://open.spotify.com/track/4w47S36wQGBhGg073q3nt7
50,Dynamite,BTS,446223,https://open.spotify.com/track/0v1x6rN6JHRapa03JElljE
51,"Go Crazy","Chris Brown",436944,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
52,"Pa Olvidarte (Beste Zangers Seizoen 2019)","Emma Heesters",432111,https://open.spotify.com/track/1RO8Q3w2Jkir8cvvGEApI0
53,"Nooit Thuis",Boef,430195,https://open.spotify.com/track/0jGExV1jNFFC6rwWANc5UH
54,Letters,"Lucas & Steve",415482,https://open.spotify.com/track/4FQHqppcx6WnsOqJ5QlOjH
55,"Jerusalema (feat. Nomcebo Zikode)","Master KG",414257,https://open.spotify.com/track/2MlOUXmcofMackX3bxfSwi
56,"Roller Coaster","Danny Vera",398681,https://open.spotify.com/track/5B5YKjgne3TZzNpMsN9aj1
57,"Midnight Sky","Miley Cyrus",386110,https://open.spotify.com/track/27ycaQnQAxaPiyeg3nr2aB
