,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Dance Monkey","Tones And I",2735678,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
2,Lippenstift,"Marco Borsato",1889667,https://open.spotify.com/track/3D9MKbMaHCZjSEcCWf4wDm
3,Reünie,Snelle,1868354,https://open.spotify.com/track/0C9JPibPAdaBvt60rbwEsJ
4,Señorita,"Shawn Mendes",1327894,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
5,Circles,"Post Malone",1324729,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
6,"Blauwe Dag","Suzan & Freek",1314411,https://open.spotify.com/track/0N1sqwppd1BwhNdjcIDEG2
7,Vroeger,Josylvio,1276589,https://open.spotify.com/track/0GSMnjB23fkFtVxyf7kwsb
8,"Hoe Het Danst","Marco Borsato",1174772,https://open.spotify.com/track/5cYOVkA2cnjKid9yigaMwq
9,"Loco Contigo (feat. J. Balvin & Tyga)","DJ Snake",1142617,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx
10,"HIGHEST IN THE ROOM","Travis Scott",1119397,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
11,"Waarom Zoeken Naar Liefde",Josylvio,1077618,https://open.spotify.com/track/1nq4fMyQbhDbQ0zGZ6Qz9L
12,"Someone You Loved","Lewis Capaldi",1069056,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
13,DomDoen,"Henkie T",1058345,https://open.spotify.com/track/5vJpSCkDDqLE6bNF4cRqRG
14,"Beautiful People (feat. Khalid)","Ed Sheeran",1054375,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
15,Instagram,"Dimitri Vegas & Like Mike",1042825,https://open.spotify.com/track/0U6bQIAh6MCGo1xjbIIx2S
16,"Zo Kan Het Dus Ook",Maan,1026735,https://open.spotify.com/track/0ZDkMMdWTw9ykmmIGUVnrS
17,"Goodbyes (Feat. Young Thug)","Post Malone",933738,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
18,"How Do You Sleep?","Sam Smith",922229,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
19,Memories,"Maroon 5",915084,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
20,Liar,"Camila Cabello",882392,https://open.spotify.com/track/7LzouaWGFCy4tkXDOOnEyM
21,"Post Malone (feat. RANI)","Sam Feldt",836357,https://open.spotify.com/track/36orMWv2PgvnzXsd5CJ0yL
22,"I Don't Care (with Justin Bieber)","Ed Sheeran",825930,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
23,"Ik Sta Jou Beter","Kris Kross Amsterdam",792405,https://open.spotify.com/track/12k0NUMsOO9SK7CnY5ABkU
24,"Piece Of Your Heart",MEDUZA,766806,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
25,"4 Life","Jonna Fraser",748175,https://open.spotify.com/track/4BV8ZyGLSNpt12q3OiZlOX
26,"10,000 Hours (with Justin Bieber)","Dan + Shay",719905,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
27,Ritual,Tiësto,717976,https://open.spotify.com/track/3M9Apu4OZfylLTFKvgEtKa
28,"Geboren Flex",Josylvio,707612,https://open.spotify.com/track/1ce2LueY8jN7x1a7jXXZsg
29,"Higher Love",Kygo,689818,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY
30,"Day One",Josylvio,682023,https://open.spotify.com/track/7GzjHq4DmGnp45xgzwWGPT
31,Plankgas,Snelle,661735,https://open.spotify.com/track/6lQYrZWozzmlstYZ0ktXq9
32,Moment,"Kris Kross Amsterdam",661669,https://open.spotify.com/track/0J6sITdD8JMUBKaadJLV1U
33,"All Around The World (La La La)",R3HAB,637452,https://open.spotify.com/track/02itaCXOdC54J0ISjqqFAp
34,Bankrekening,Josylvio,636727,https://open.spotify.com/track/6l4S2htNbRT56DtLBsF7Sx
35,"You Say","Lauren Daigle",636438,https://open.spotify.com/track/6Up545NUflOiXo8cEraH49
36,"Only You",Frenna,634959,https://open.spotify.com/track/6XhO1FHfsNc3ULWDePrQvk
37,"Game Over",Josylvio,628627,https://open.spotify.com/track/0DMDwpfOdDBLyQE0nfIJCB
38,"Pina/Some More","Henkie T",628368,https://open.spotify.com/track/71pMYGfliLcilHRMGPHtn2
39,Teeth,"5 Seconds of Summer",624832,https://open.spotify.com/track/26wLOs3ZuHJa2Ihhx6QIE6
40,"Zij Weet Het - Studio Versie","Tino Martin",597914,https://open.spotify.com/track/0rwf08N6Fm5K57S7e7FJty
41,"Get Mine",Josylvio,596889,https://open.spotify.com/track/6WgWBjA8MA6HC5CFX4gF8K
42,Shelbyana,Broederliefde,584283,https://open.spotify.com/track/7DB7w71TX2dsjOzDCM2T5I
43,"Mad Love",Mabel,561017,https://open.spotify.com/track/0bfWT3AgM7ZTuqesJvRP6H
44,"Ghetto Youth",Frenna,557779,https://open.spotify.com/track/4v0DontD9QPBxyqfvEZyhT
45,"Snelle Jongen Dunne Jasje","Henkie T",555130,https://open.spotify.com/track/0MwS9hVhUDm0LjOFxe92ZF
46,"God Is A Dancer (with Mabel)",Tiësto,539143,https://open.spotify.com/track/6fenHIxXuuzKB55wY4WCHP
47,Ransom,"Lil Tecca",527096,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
48,"GUAP (feat. Dopebwoy)",Boef,510689,https://open.spotify.com/track/7oZct7VoEYmscpKePu6k7z
49,"It's You","Ali Gatie",506827,https://open.spotify.com/track/6moU77g9RQyMzHNuKEaQKq
50,"Als Het Avond Is","Suzan & Freek",500690,https://open.spotify.com/track/1MWpdDDf3Yk0w6o4oviMFY
51,"Roller Coaster","Danny Vera",490911,https://open.spotify.com/track/7rO7Pc5dkC2EIW1OKsCJtQ
52,Lalala,Y2K,475012,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
53,"Je Kent ’t Wel",Chivv,471761,https://open.spotify.com/track/4wR3kb7ZhEwyy1L5SVhd7C
54,Narcotic,Younotus,456679,https://open.spotify.com/track/7M9w4C8WenlvWfNRAulZOX
55,"Only Human","Jonas Brothers",455848,https://open.spotify.com/track/0DiDStADDVh3SvAsoJAFMk
56,"No Love",Josylvio,454860,https://open.spotify.com/track/6h0f3viKsmmISvX8aACkXu
57,"Niet Meer","Henkie T",450784,https://open.spotify.com/track/2ea8npXr3hf6COAATpWmLN
58,Scherp,Ashafar,449447,https://open.spotify.com/track/3EwZENvkTpMm0Q2l89pb3x
59,China,"Anuel AA",444588,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
60,"bad guy","Billie Eilish",423023,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
61,"Mag Ik Daar Even Stil Bij Staan","Suzan & Freek",422195,https://open.spotify.com/track/3BNKqoRnHFyyfktrNpJgwW
62,Gimma,Josylvio,420555,https://open.spotify.com/track/1Br3BDTNMDNuvdAcMNKukQ
63,"Hij Is Van Mij (feat. Bizzey)","Kris Kross Amsterdam",418195,https://open.spotify.com/track/6716bTJI7qiHJFFSR0Ethe
64,"Duurt Te Lang (Beste Zangers Seizoen 2019)","Davina Michelle",416761,https://open.spotify.com/track/2rzZ0IGxgrGUAPwrWn80z7
65,Scars,Snelle,409920,https://open.spotify.com/track/3s3LHm3AI7jazWk0Rdg6Q3
66,Motivation,Normani,402606,https://open.spotify.com/track/0rIAC4PXANcKmitJfoqmVm
67,Saint-Tropez,"Post Malone",372695,https://open.spotify.com/track/05mDaV9Vb3wrzjF6OPZnhq
68,"Ride It",Regard,372516,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
69,24/7,Saffehbeats,371411,https://open.spotify.com/track/2bgogItBMKZTKZiEupORki
70,"Better Now","Davina Michelle",368079,https://open.spotify.com/track/1nWCCpZtykQD3gWpi53A3t
71,"Taste (Make It Shake) (Remix feat. Sevn Alias)",Aitch,362402,https://open.spotify.com/track/6Lc9kWLnMFcKHgTk6EVEnQ
72,Cake,Josylvio,361994,https://open.spotify.com/track/57RHlQhLA3ooY8DXMU2j7j
73,"Old Town Road - Remix","Lil Nas X",353035,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
74,Panini,"Lil Nas X",351054,https://open.spotify.com/track/1000nHvUdawXuUHgBod4Wv
75,"La La Love",Josylvio,348682,https://open.spotify.com/track/4sT24QHNX8xwOcbfGJObNX
76,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",345538,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
77,"Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey)","Ariana Grande",345107,https://open.spotify.com/track/3NkJNL3WqO1Lqc3uNDxvCN
78,Kilometers,Kevin,341762,https://open.spotify.com/track/2lRp4uhpmkkWZpKHiab1xs
79,"Don't Call Me Up",Mabel,335622,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
80,Babyfever,"Defano Holwijn",313051,https://open.spotify.com/track/764JOQeDnGAxKa8eL0WSJb
81,"hot girl bummer",blackbear,312013,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
82,"TikTok (feat. Boef)",Dopebwoy,309778,https://open.spotify.com/track/6X8HX33uK8ZVRXjdlQ4wCV
83,HAAT,Josylvio,307526,https://open.spotify.com/track/5gKIHYLjfqpPnwbBbStUho
84,Numb,Dotan,307425,https://open.spotify.com/track/0rP4uKBAEr4t3fSzR6a1G7
85,"Hollywood's Bleeding","Post Malone",305028,https://open.spotify.com/track/7sWRlDoTDX8geTR8zzr2vt
86,"Call You Mine","The Chainsmokers",302534,https://open.spotify.com/track/1SNiXDwSilLujcYdvfqVpT
87,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",302387,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
88,Noncha,ChildsPlay,301869,https://open.spotify.com/track/12SU50iyEcFogjYSQIXlt9
89,"Tan2 Ducks",Broederliefde,300625,https://open.spotify.com/track/2i2mja6NUgdRrYwa7y4j9U
90,"The Way You Take Time","Joe Buck",298368,https://open.spotify.com/track/2kFwiAtvJ9VT1c8PAoBkJj
91,"Take What You Want (feat. Ozzy Osbourne & Travis Scott)","Post Malone",293882,https://open.spotify.com/track/7CZyCXKG6d5ALeq41sLzbw
92,"Give Dem",Frenna,289898,https://open.spotify.com/track/1u2XfTsJai4u33yapHLzap
93,"What Lies Ahead",Kensington,288860,https://open.spotify.com/track/10QIy0kzHUXzZ0Oj8PIO8Z
94,Fuik,"Henkie T",285125,https://open.spotify.com/track/6zlYaRWFJkEF8mr1CLkbMW
95,Shallow,"Lady Gaga",283522,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
96,IJskoud,Nielson,279913,https://open.spotify.com/track/2zVNIG9cfMyFxt8XqJ64s4
97,Timeline,Bokke8,278873,https://open.spotify.com/track/1pDDHw0ZG8BasWEZJ4HeM6
98,Stoelverwarming,Josylvio,277959,https://open.spotify.com/track/2C17SIXt8v9IRoMsvGxq7a
99,"No Guidance (feat. Drake)","Chris Brown",273419,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
100,Arcade,"Duncan Laurence",271220,https://open.spotify.com/track/1Xi84slp6FryDSCbzq4UCD
101,"Ta Mere",Ashafar,271207,https://open.spotify.com/track/1Mk75HVvjXMIci5ROOjvAZ
102,"Enemies (feat. DaBaby)","Post Malone",270882,https://open.spotify.com/track/0Xek5rqai2jcOWCYWJfVCF
103,Body,Josylvio,270750,https://open.spotify.com/track/3UYDepOwfXuregtiutdyVT
104,POSITIE,Caza,270284,https://open.spotify.com/track/5dVXY5359o7XBmfoNCBMxg
105,Ai,Tabitha,263237,https://open.spotify.com/track/2dEoEy7wqvJ4xq90lrPEwU
106,"Money Baby",Josylvio,259931,https://open.spotify.com/track/0G2E4hf7QGII99LEpOCKX3
107,"Op De Weg",Jack,259864,https://open.spotify.com/track/5BK6VOih24mBmoQnjEqf0G
108,Graveyard,Halsey,259300,https://open.spotify.com/track/6V9fHiv84WlVTg7CSnIVY2
109,"Tis Oke Mop",ChildsPlay,258918,https://open.spotify.com/track/52BJZ4RgOfA6doHycdhKfL
110,"Walou Crisis (feat. 3robi & Mula B)",Dopebwoy,258337,https://open.spotify.com/track/4cEEHXGY0dsKtwmGFwhr9V
111,Panamera,Ashafar,257570,https://open.spotify.com/track/2S4exmZO3aVEcoxLdKhC47
112,"BON VIBES","Chip Charlez",255214,https://open.spotify.com/track/2zlp91MvE7y89ptUqPfPA2
113,"Verleden Tijd",Frenna,254814,https://open.spotify.com/track/7qkqUFKET2tAjVHLxlLYOe
114,"Work It",Tabitha,253657,https://open.spotify.com/track/2pNSi1RkuV0vNVRLI4SOtb
115,"How Would You Feel",Krezip,248381,https://open.spotify.com/track/36imWInJ35eqnKkKjt3gfh
116,"Dichterbij Je","Lil Kleine",247773,https://open.spotify.com/track/5TU8eIPFfQ7uUeOITnxxpb
117,"On the Low","Burna Boy",244873,https://open.spotify.com/track/1PoJXULCvl03b1fiZmMxmd
118,"Designers (feat. Dopebwoy & LouiVos)",IliassOpDeBeat,243584,https://open.spotify.com/track/3zycyBK3RiecrkrP8NPLxu
119,Fuifje,DoeMaarDave,243436,https://open.spotify.com/track/3UWlsRZTCjHhek6jAOUXA1
120,"Takeaway (feat. Lennon Stella)","The Chainsmokers",238858,https://open.spotify.com/track/6wo37KVqFJhtuxPTpLCcfe
121,Hup,Bizzey,237079,https://open.spotify.com/track/6r7fhB6FSkgbleWmUtTsdh
122,"Writing on the Wall (feat. Post Malone & Cardi B)","French Montana",236315,https://open.spotify.com/track/7x9nXsowok1JszkVztI5NI
123,"Bidden In De Jeep",Frenna,234958,https://open.spotify.com/track/6RKVbvilqMVJxWgMyoQ3jT
124,Anoniem,Chivv,234387,https://open.spotify.com/track/6mfpRp0OOJPR5zLGtBvbKe
125,"Hard 2 Get","Bryan Mg",234235,https://open.spotify.com/track/5aDKZysYr35N9Y0peupNXa
126,"Truth Hurts",Lizzo,233777,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh
127,Herres,"Sevn Alias",229208,https://open.spotify.com/track/411fSfMfrNGxVsIGK3drHT
128,"Home (feat. Bonn)","Martin Garrix",228675,https://open.spotify.com/track/4aTtHoSBB0CuQGA6vXBNyp
129,Waarom,Bryce,228368,https://open.spotify.com/track/1lbMiY9BEq6DQQ3Ecgew16
130,Papito,"Mula B",227699,https://open.spotify.com/track/68XYyDjpbq6HbLgpF6vEUv
131,"Vallende Ster","Kraantje Pappie",227434,https://open.spotify.com/track/4Dg2QpkNnOqZxF4NCbt6Ho
132,Skyward,"Davina Michelle",226252,https://open.spotify.com/track/4WfhbGhvurJtwd7r0SCyV7
133,"SOS (feat. Aloe Blacc)",Avicii,225205,https://open.spotify.com/track/2x0RZdkZcD8QRI53XT4GI5
134,"Nice To Meet Ya","Niall Horan",224573,https://open.spotify.com/track/3cphb8kdsjElYR7r5icK3H
135,"lovely (with Khalid)","Billie Eilish",224338,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
136,"If I Can't Have You","Shawn Mendes",223964,https://open.spotify.com/track/2bT1PH7Cw3J9p3t7nlXCdh
137,"boyfriend (with Social House)","Ariana Grande",221793,https://open.spotify.com/track/0Ryd8975WihbObpp5cPW1t
138,Boussa,DYSTINCT,215567,https://open.spotify.com/track/2FuA2qaoOR379dPqksalz4
139,"Tijd Is Geld (feat. Sevn Alias)",DJEZJA,215214,https://open.spotify.com/track/50OksTs8NwU1F01pzKDetk
140,"fuck, i'm lonely",Lauv,213746,https://open.spotify.com/track/322tcqPhma7F6hfCeLisx0
141,"Let Me Down Slowly","Alec Benjamin",212754,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
142,"Cry for Me","Camila Cabello",212319,https://open.spotify.com/track/40nPimvmG05WYS7983bawZ
143,AYA,Murda,211305,https://open.spotify.com/track/4IJEw3fDvS6XF4sDc3bvjK
