,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Taste (Make It Shake)",Aitch,2587812,https://open.spotify.com/track/3evfXgwjSY5zuFxAHjMW5S
2,Señorita,"Shawn Mendes",2561067,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
3,"Ladbroke Grove","AJ Tracey",2496571,https://open.spotify.com/track/7b4ky1LlQLFhXHmhZkFgqV
4,"3 Nights","Dominic Fike",2496434,https://open.spotify.com/track/1tNJrcVe6gwLEiZCtprs1u
5,Ransom,"Lil Tecca",2171267,https://open.spotify.com/track/6EOKwHETwSkZ9gW2b6ASE0
6,"Beautiful People (feat. Khalid)","Ed Sheeran",2140168,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
7,Sorry,"Joel Corry",2133656,https://open.spotify.com/track/6y1UtRcHQU07aUs3oxZ8Yn
8,"Take Me Back to London (feat. Stormzy)","Ed Sheeran",2072981,https://open.spotify.com/track/1AI7UPw3fgwAFkvAlZWhE0
9,"Higher Love",Kygo,2051971,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY
10,"Strike a Pose (feat. Aitch)","Young T & Bugsey",2036398,https://open.spotify.com/track/23GvTfcGK454ppLsts3W44
11,"Someone You Loved","Lewis Capaldi",1924517,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
12,Circles,"Post Malone",1914549,https://open.spotify.com/track/4VginDwYTP2eaHJzO0QMjG
13,"So High (feat. Fredo)",MIST,1752512,https://open.spotify.com/track/5aubXDnDNVKA5pS7EnR0mp
14,"How Do You Sleep?","Sam Smith",1747581,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
15,"Goodbyes (Feat. Young Thug)","Post Malone",1619433,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
16,"Location (feat. Burna Boy)",Dave,1560949,https://open.spotify.com/track/3z4CGd63tpUn9a6oQSG0CI
17,"I Don't Care (with Justin Bieber)","Ed Sheeran",1532810,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
18,Both,"Headie One",1515477,https://open.spotify.com/track/0SxjNrhMwarsbcgEy0pavJ
19,"boyfriend (with Social House)","Ariana Grande",1497867,https://open.spotify.com/track/0Ryd8975WihbObpp5cPW1t
20,"Mad Love",Mabel,1382970,https://open.spotify.com/track/0Zp10WiPeEi6EUJZvWcNT9
21,"Good as Hell",Lizzo,1360915,https://open.spotify.com/track/3Yh9lZcWyKrK9GjbhuS0hR
22,"Be Honest (feat. Burna Boy)","Jorja Smith",1307182,https://open.spotify.com/track/5pAbCxt9e3f81lOmjIXwzd
23,"Post Malone (feat. RANI)","Sam Feldt",1296960,https://open.spotify.com/track/36orMWv2PgvnzXsd5CJ0yL
24,"Hold Me While You Wait","Lewis Capaldi",1285026,https://open.spotify.com/track/60iSKGrGazRzICtMjADNSM
25,"bad guy","Billie Eilish",1262132,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
26,"Wish You Well",Sigala,1254696,https://open.spotify.com/track/1yAPglN5AGf7UoLK062ZYq
27,"Take Me Back To London (Remix) [feat. Stormzy, Jaykae & Aitch]","Ed Sheeran",1243106,https://open.spotify.com/track/2nyTaLu3TTrSS6CAxR3z0b
28,"Vossi Bop",Stormzy,1234215,https://open.spotify.com/track/44ZJ4hLD5onikKsVLQaILr
29,"Dance Monkey","Tones And I",1200790,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
30,"Harder (with Bebe Rexha)","Jax Jones",1156283,https://open.spotify.com/track/5RgBnDtHKFHgtVdqabjGE3
31,"No Guidance (feat. Drake)","Chris Brown",1141415,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
32,Outnumbered,"Dermot Kennedy",1138145,https://open.spotify.com/track/6UjZ2Yx2g2a52XxiA8ONxZ
33,Castles,"Freya Ridings",1133735,https://open.spotify.com/track/5tZWtGT65sMrDVPB5H444n
34,"fuck, i'm lonely",Lauv,1133485,https://open.spotify.com/track/322tcqPhma7F6hfCeLisx0
35,Lover,"Taylor Swift",1129029,https://open.spotify.com/track/1dGr1c8CrMLDpV6mPbImSI
36,"Truth Hurts",Lizzo,1106974,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh
37,"Piece Of Your Heart",MEDUZA,1085111,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
38,"Old Town Road - Remix","Lil Nas X",1036469,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
39,Motivation,Normani,1012449,https://open.spotify.com/track/0rIAC4PXANcKmitJfoqmVm
40,"Money In The Grave (Drake ft. Rick Ross)",Drake,989419,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
41,Lalala,Y2K,982877,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
42,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",979608,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
43,"You Need To Calm Down","Taylor Swift",933305,https://open.spotify.com/track/6RRNNciQGZEXnqk8SQ9yv5
44,"Keisha & Becky - Remix","Russ Millions",928272,https://open.spotify.com/track/5wIjM4q7oIgiLqn8Qfoyxh
45,Ritual,Tiësto,907842,https://open.spotify.com/track/3M9Apu4OZfylLTFKvgEtKa
46,"Cross Me (feat. Chance the Rapper & PnB Rock)","Ed Sheeran",879941,https://open.spotify.com/track/4wuCQX7JvAZLlrcmH4AeZF
47,"South of the Border (feat. Camila Cabello & Cardi B)","Ed Sheeran",875464,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
48,"The Man","Taylor Swift",874286,https://open.spotify.com/track/3RauEVgRgj1IuWdJ9fDs70
49,"Thiago Silva",Dave,855884,https://open.spotify.com/track/3DKCTIiJ97bS9TGiqcABjo
50,Panini,"Lil Nas X",844986,https://open.spotify.com/track/6fTt0CH2t0mdeB2N9XFG5r
51,"Ride It",Regard,808355,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
52,"Norman fucking Rockwell","Lana Del Rey",784609,https://open.spotify.com/track/3RIgHHpnFKj5Rni1shokDj
53,"Home P*ssy","D-Block Europe",743967,https://open.spotify.com/track/4QEMi9FXOolfFFlLFUIolw
54,Bruises,"Lewis Capaldi",742204,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
55,Crown,Stormzy,704191,https://open.spotify.com/track/1hxE8xAp7CrBsdpiRpiWFy
56,"The London (feat. J. Cole & Travis Scott)","Young Thug",675776,https://open.spotify.com/track/3s4mrPrEFFPF0LmAfutW0n
57,"Cruel Summer","Taylor Swift",648916,https://open.spotify.com/track/1BxfuPKGuaTgP7aM0Bbdwr
58,"Slide Away","Miley Cyrus",648623,https://open.spotify.com/track/44ADyYoY5liaRa3EOAl4uf
