,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Position,Track Name,Artist,Streams,URL
1,rockstar,Post Malone,11187425,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx
2,River (feat. Ed Sheeran),Eminem,7327656,https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD
3,Gucci Gang,Lil Pump,7273843,https://open.spotify.com/track/43ZyHQITOjhciSUUNPVRHc
4,No Limit,G-Eazy,7126193,https://open.spotify.com/track/2DQ1ITjI0YoLFzuADN1ZBW
5,Him & I (with Halsey),G-Eazy,7032070,https://open.spotify.com/track/5k38wzpLb15YgncyWdTZE4
6,I Fall Apart,Post Malone,6924789,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
7,Ric Flair Drip (& Metro Boomin),Offset,6705486,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
8,All I Want for Christmas Is You,Mariah Carey,6516590,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
9,Candy Paint,Post Malone,6164677,https://open.spotify.com/track/42CeaId2XNlxugDvyqHfDf
10,Havana,Camila Cabello,5535037,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb
11,Let You Down,NF,5148494,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr
12,XO Tour Llif3,Lil Uzi Vert,5135583,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
13,Bank Account,21 Savage,5063402,https://open.spotify.com/track/2fQrGHiQOvpL9UgPvtYy6G
14,Too Good At Goodbyes,Sam Smith,5052251,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
15,PICK IT UP (feat. A$AP Rocky),Famous Dex,4899540,https://open.spotify.com/track/3ncgNpxLoBQ65ABk4djDyd
16,Wolves,Selena Gomez,4560050,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC
17,MotorSport,Migos,4552119,https://open.spotify.com/track/1YZfcVLbbJwfizR5cDOp3q
18,Plain Jane,A$AP Ferg,4546721,https://open.spotify.com/track/4dVpf9jZjcORqGTLUaeYj9
