,name,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,streams,country,id
0,Bad and Boujee (feat. Lil Uzi Vert),0.061,0.927,0.665,0.0,0.123,-5.313,1,0.244,127.076,4,0.175,17158048,America,4Km5HrUvYTaSUfiSGPJeQR
1,Starboy,0.165,0.681,0.594,3.49e-06,0.134,-7.028,1,0.282,186.054,4,0.535,15373103,America,5aAx2yezTd8zXrkmtKl66Z
2,Black Beatles,0.142,0.794,0.632,0.0,0.128,-6.163,1,0.0649,145.926,4,0.355,11954720,America,6fujklziTHa8uoM5OQSfIo
3,Closer,0.414,0.748,0.524,0.0,0.111,-5.599,1,0.0338,95.01,4,0.661,12197622,America,7BKLCZ1jbUBVqRi2FVlTVw
4,Caroline,0.17,0.94,0.335,0.0,0.262,-10.179,0,0.505,120.04,4,0.707,4865290,America,5hTpBe8h35rJ67eAWHQsJx
5,Bad Things (with Camila Cabello),0.214,0.697,0.691,0.0,0.185,-4.757,1,0.146,137.853,4,0.305,9506956,America,1PSBzsahR2AKwLJgx8ehBj
6,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",0.0631,0.735,0.451,1.3e-05,0.325,-8.374,1,0.0585,117.973,4,0.0862,9386614,America,3NdDpSvN911VPGivFlV5d0
7,Deja Vu,0.352,0.657,0.421,0.000218,0.187,-11.378,1,0.412,174.063,4,0.181,8135516,America,6I6NX6tjGsxFAsIfGzY9lJ
8,Broccoli (feat. Lil Yachty),0.236,0.886,0.525,0.0,0.057,-7.39,1,0.131,145.99,4,0.708,8879205,America,7yyRTcZmCiyzzJlNzGC9Ol
9,Bounce Back,0.106,0.78,0.575,0.0,0.129,-5.628,0,0.139,81.502,4,0.273,9053971,America,0SGkqnVQo9KPytSri1H6cF
10,I Feel It Coming,0.426,0.773,0.819,0.0,0.0679,-5.946,0,0.118,92.99,4,0.585,8671563,America,5GXAXm5YOmYT0kL5jHvYBt
11,24K Magic,0.034,0.818,0.803,0.0,0.153,-4.282,1,0.0797,106.97,4,0.632,7565500,America,6b8Be6ljOzmkOmFslEb23P
12,Don't Wanna Know,0.338,0.783,0.623,0.0,0.0975,-6.126,1,0.08,100.048,4,0.447,7407202,America,5MFzQMkrl1FOOng9tq6R9r
13,Chill Bill (feat. J. Davi$ & Spooks),0.0312,0.886,0.427,0.00099,0.0906,-10.028,1,0.145,108.034,4,0.23,7001015,America,5uDASfU19gDxSjW8cnCaBp
14,Party Monster,0.189,0.573,0.63,2.31e-05,0.259,-8.389,1,0.105,77.525,4,0.218,6875795,America,4F7A0DXBrmUAkp32uenhZt
15,Let Me Love You,0.0784,0.476,0.718,1.02e-05,0.122,-5.309,1,0.0576,199.864,4,0.142,7677154,America,4pdPtRcBmOSQDlJ3Fk945m
16,X (feat. Future),0.373,0.835,0.413,0.00133,0.101,-9.81,1,0.396,149.004,4,0.111,7274819,America,6fwdbPMwP1zVStm8FybmkO
17,No Heart,0.136,0.906,0.444,6.44e-05,0.173,-8.692,0,0.384,140.063,4,0.678,6653908,America,4gmmRb6bZJffOOiww1JGTO
18,One Dance,0.00784,0.791,0.619,0.00423,0.351,-5.886,1,0.0532,103.989,4,0.371,7369799,America,1xznGGDReH1oQq0xzbwXa3
19,Starving,0.371,0.636,0.633,0.0,0.102,-4.23,1,0.126,99.721,4,0.512,6703065,America,1qOLh0tI7trd1zdDKxYZTe
20,In the Name of Love,0.0592,0.49,0.485,0.0,0.337,-6.237,0,0.0406,133.889,4,0.196,6623252,America,04DwTuZ2VBdJCCC5TROn7L
21,Side To Side,0.0408,0.648,0.738,0.0,0.292,-5.883,0,0.247,159.145,4,0.603,6267418,America,4pLwZjInHj3SimIyN9SnOz
22,Say You Won't Let Go,0.695,0.358,0.557,0.0,0.0902,-7.398,1,0.059,85.043,4,0.494,6313263,America,5uCax9HTNlzGybIStD3vDh
23,Sneakin’,0.00496,0.806,0.558,1.45e-06,0.16,-6.538,1,0.172,85.011,4,0.26,5993598,America,4ckuS4Nj4FZ7i3Def3Br8W
24,Heathens,0.0841,0.732,0.396,3.58e-05,0.105,-9.348,0,0.0286,90.024,4,0.548,5942842,America,6i0V12jOa3mr6uu4WYhUBr
25,Neighbors,0.319,0.898,0.283,0.000383,0.11,-12.335,0,0.356,138.97,4,0.469,5472874,America,0utlOiJy2weVl9WTkcEWHy
26,Jingle Bell Rock,0.614,0.741,0.34,0.0,0.0955,-13.421,1,0.0446,119.606,4,0.838,2904013,America,1cImYkHOQMFE7AZC9aOk4y
27,OOOUUU,0.533,0.635,0.847,0.0,0.154,-3.152,1,0.447,166.072,4,0.568,5847453,America,7JYsArznYOjX2jsrT3UEnL
28,All I Want for Christmas Is You,0.164,0.336,0.627,0.0,0.0708,-7.463,1,0.0384,150.273,4,0.35,2860142,America,0bYg9bo50gSsH3LtXe2SQn
29,Immortal,0.455,0.744,0.43,2.73e-06,0.126,-10.604,0,0.309,92.039,4,0.266,4849128,America,6AGON2BGdPmPMJGiiNuuwl
30,All We Know,0.097,0.662,0.586,0.00272,0.115,-8.821,1,0.0307,90.0,4,0.296,5427751,America,2rizacJSyD9S1IQUxUxnsK
31,Scars To Your Beautiful,0.0285,0.573,0.739,0.0,0.111,-5.74,1,0.129,97.085,4,0.451,5245915,America,0prNGof3XqfTvNDxHonvdK
32,Six Feet Under,0.129,0.772,0.504,0.0,0.125,-8.219,0,0.0761,140.035,4,0.244,4926953,America,4mU5iXHeLgbR94siF7p1sY
33,You Was Right,0.069,0.843,0.359,0.0,0.12,-7.417,1,0.461,81.987,4,0.156,5310176,America,2ANLarE8yHVsLWW21nj79M
